year,agency_code,welcome_url
2018,230336,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230340,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230342,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230344,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230346,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230348,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230350,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230351,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230352,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230355,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230357,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230359,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230361,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230362,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230364,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230368,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230370,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230376,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,230380,https://sites.google.com/a/clevelandcountyschools.org/ccs/about-us/nc-report-card-information
2018,250304,https://www.cravenk12.org/Page/1458
2018,250306,https://www.cravenk12.org/Page/1458
2018,250308,https://www.cravenk12.org/Page/1458
2018,250312,https://www.cravenk12.org/Page/1458
2018,250314,https://www.cravenk12.org/Page/1458
2018,250316,https://www.cravenk12.org/Page/1458
2018,250320,https://www.cravenk12.org/Page/1458
2018,250321,https://www.cravenk12.org/Page/1458
2018,250324,https://www.cravenk12.org/Page/1458
2018,250328,https://www.cravenk12.org/Page/1458
2018,250332,https://www.cravenk12.org/Page/1458
2018,250336,https://www.cravenk12.org/Page/1458
2018,250340,https://www.cravenk12.org/Page/1458
2018,250344,https://www.cravenk12.org/Page/1458
2018,250348,https://www.cravenk12.org/Page/1458
2018,250350,https://www.cravenk12.org/Page/1458
2018,250356,https://www.cravenk12.org/Page/1458
2018,250360,https://www.cravenk12.org/Page/1458
2018,250362,https://www.cravenk12.org/Page/1458
2018,250364,https://www.cravenk12.org/Page/1458
2018,250368,https://www.cravenk12.org/Page/1458
2018,250372,https://www.cravenk12.org/Page/1458
2018,250376,https://www.cravenk12.org/Page/1458
2018,250378,https://www.cravenk12.org/Page/1458
2018,250380,https://www.cravenk12.org/Page/1458
2018,260302,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260306,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260308,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260310,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260312,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260316,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260318,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260320,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260321,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260322,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260325,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260326,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260332,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260336,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260338,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260340,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260342,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260344,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260347,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260348,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260352,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260354,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260356,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260357,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260358,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260359,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260361,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260362,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260363,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260364,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260365,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260366,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260367,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260368,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260369,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260370,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260371,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260372,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260373,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260374,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260375,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260380,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260382,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260383,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260386,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260388,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260396,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260397,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260398,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
2018,260400,http://ccs.k12.nc.us/17-18-report-card-message-from-the-superintendent/
