year,agency_code,category_code,total_expense,pct_salary,pct_benefits,pct_services,pct_supplies,pct_instruct_equip,pct_building,pct_other,local_perpupil,state_perpupil,federal_perpupil
2004,750LEA,,8340.45,0.678,0.129,0.078,0.078,0.028,,0.009,1956.13,5376.4,1007.92
2004,080LEA,,8013.66,0.674,0.129,0.072,0.086,0.021,,0.018,1431.2,5685.9,896.56
2004,270LEA,,7439.04,0.677,0.135,0.07,0.1,0.009,,0.009,2068.3,4873.11,497.63
2004,210LEA,,8117.78,0.681,0.133,0.076,0.092,0.013,,0.005,1590.44,5684.32,843.02
2004,360LEA,,6404.18,0.695,0.129,0.072,0.092,0.006,,0.006,1370.98,4310.68,722.52
2004,740LEA,,6886.59,0.693,0.138,0.064,0.098,0.003,,0.004,1522.66,4575.92,788.01
2004,681LEA,,9105.51,0.718,0.13,0.085,0.057,0.004,,0.006,4180.14,4461.24,464.13
2004,590LEA,,6914.62,0.672,0.132,0.089,0.095,0.006,,0.006,1172.13,4785.77,956.72
2004,070LEA,,7363.68,0.661,0.129,0.084,0.094,0.025,,0.007,1372.75,4864.8,1126.13
2004,700LEA,,7072.77,0.683,0.135,0.077,0.088,0.009,,0.008,1506.02,4768.82,797.93
2004,821LEA,,7223.78,0.69,0.136,0.083,0.081,0.004,,0.006,1497.06,4794.07,932.65
2004,330LEA,,7211.49,0.687,0.131,0.078,0.087,0.005,,0.012,1054.92,4994.15,1162.42
2004,400LEA,,7914.04,0.659,0.129,0.098,0.083,0.021,,0.01,1229,5561.49,1123.55
2004,500LEA,,7991.63,0.668,0.136,0.063,0.114,0.009,,0.01,2119.24,5012.49,859.9
2004,421LEA,,7320.4,0.678,0.143,0.091,0.081,0.002,,0.005,1676.6,4833.55,810.25
2004,430LEA,,6314.34,0.687,0.134,0.055,0.101,0.019,,0.004,1084.84,4512.35,717.15
2004,420LEA,,8083.18,0.675,0.134,0.078,0.089,0.018,,0.006,887.16,5274.15,1921.87
2004,862LEA,,7515.13,0.688,0.127,0.088,0.077,0.001,,0.019,1894.07,4923.16,697.9
2004,480LEA,,13376.98,0.654,0.127,0.092,0.093,0.019,,0.015,2752.32,9337.03,1287.63
2004,440LEA,,7365.83,0.687,0.133,0.051,0.085,0.036,,0.008,1975.9,4628.01,761.92
2004,870LEA,,8604.09,0.647,0.133,0.093,0.085,0.033,,0.009,1124.42,5928.13,1551.54
2004,850LEA,,7160.19,0.661,0.132,0.098,0.09,0.014,,0.005,1456.21,4966.22,737.76
2004,92K000,,6357.79,0.601,0.104,0.224,0.043,0.023,,0.005,2014.28,4231.94,111.57
2004,950LEA,,7423.85,0.728,0.145,0.048,0.066,0.008,,0.005,2140.39,4740.62,542.84
2004,861LEA,,7566.38,0.687,0.132,0.069,0.096,0.005,,0.011,1746.75,5249.35,570.28
2004,570LEA,,8150.71,0.632,0.127,0.078,0.11,0.045,,0.008,1360.25,5915.88,874.58
2004,380LEA,,8973.84,0.657,0.135,0.072,0.112,0.017,,0.007,870.88,6614.98,1487.98
2004,410LEA,,7383.93,0.681,0.129,0.107,0.073,0.006,,0.004,2373.08,4345.85,665
2004,830LEA,,7990.76,0.698,0.137,0.068,0.088,0.004,,0.005,1485.14,5084.77,1420.85
2004,840LEA,,6578.91,0.695,0.141,0.072,0.085,0.001,,0.006,1384.43,4565.83,628.65
2004,880LEA,,7469.88,0.68,0.132,0.089,0.082,0.01,,0.007,1911.5,4889.88,668.5
2004,370LEA,,8402.9,0.718,0.131,0.051,0.062,0.027,,0.011,1495.76,6182.37,724.77
2004,010LEA,,6481.14,0.674,0.132,0.08,0.097,0.012,,0.005,1530.15,4256.17,694.82
2004,450LEA,,6792.01,0.681,0.133,0.074,0.099,0.007,,0.006,1597.76,4482.35,711.9
2004,490LEA,,6257.11,0.7,0.139,0.056,0.092,0.006,,0.007,1490.02,4281.37,485.72
2004,930LEA,,7836.2,0.659,0.13,0.087,0.096,0.02,,0.008,1026.1,5582,1228.1
2004,390LEA,,6472.51,0.687,0.134,0.072,0.093,0.004,,0.01,1321.68,4541.33,609.5
2004,770LEA,,6873.34,0.674,0.135,0.066,0.114,0.006,,0.005,949.5,4970.79,953.05
2004,820LEA,,6841.28,0.665,0.135,0.085,0.092,0.016,,0.007,1127.54,4763.93,949.81
2004,640LEA,,6791.61,0.693,0.131,0.086,0.081,0.004,,0.005,1187.8,4790.09,813.72
2004,550LEA,,6451.45,0.674,0.133,0.09,0.094,0.005,,0.004,1474.48,4456.13,520.84
2004,110LEA,,6834.87,0.721,0.139,0.048,0.082,0.002,,0.008,1695.16,4467.58,672.13
2004,050LEA,,8033.11,0.697,0.143,0.064,0.083,0.005,,0.008,1256.12,5724.96,1052.03
2004,300LEA,,6508.26,0.718,0.138,0.048,0.082,0.006,,0.008,1487.18,4573.41,447.67
2004,240LEA,,7035.94,0.685,0.139,0.077,0.077,0.009,,0.013,972.48,5073.37,990.09
2004,231LEA,,7284.41,0.66,0.132,0.08,0.119,0.004,,0.005,1644.4,4637.28,1002.73
2004,132LEA,,6728.67,0.671,0.128,0.1,0.084,0.012,,0.005,1554.71,4388.78,785.18
2004,182LEA,,7436.85,0.715,0.14,0.074,0.064,0.003,,0.004,1618,4749.67,1069.18
2004,180LEA,,6334.42,0.697,0.135,0.065,0.09,0.008,,0.005,1471.49,4392.26,470.67
2004,980LEA,,6748.66,0.688,0.136,0.071,0.093,0.006,,0.006,1371.51,4539.55,837.6
2004,140LEA,,6312.87,0.7,0.141,0.058,0.092,0.003,,0.006,1269.99,4464.92,577.96
2004,130LEA,,6312,0.681,0.13,0.064,0.101,0.019,,0.005,1631.28,4231.97,448.75
2004,111LEA,,10102.37,0.703,0.135,0.089,0.064,0.004,,0.005,3753.63,5057.35,1291.39
2004,040LEA,,7402.75,0.651,0.124,0.081,0.11,0.028,,0.006,1107.94,5064.41,1230.4
2004,030LEA,,8727.87,0.693,0.134,0.059,0.093,0.014,,0.007,1469.99,6405.94,851.94
2004,150LEA,,7120.21,0.658,0.128,0.095,0.093,0.018,,0.008,740.68,5882.51,497.02
2004,120LEA,,6485.52,0.704,0.142,0.065,0.074,0.007,,0.008,1232.19,4507.11,746.22
2004,350LEA,,6755.01,0.654,0.137,0.076,0.1,0.025,,0.008,1423.01,4554.65,777.35
2004,580LEA,,7785.61,0.677,0.134,0.079,0.091,0.014,,0.005,1350.64,5296.08,1138.89
2004,290LEA,,5854.02,0.703,0.142,0.054,0.081,0.015,,0.005,1226.98,4209.95,417.09
2004,730LEA,,6522.16,0.683,0.133,0.067,0.1,0.008,,0.009,1303.76,4541.23,677.17
2004,780LEA,,6650.54,0.661,0.131,0.1,0.084,0.019,,0.005,945.45,4728.86,976.23
2004,760LEA,,5984.39,0.704,0.137,0.057,0.094,0.003,,0.005,1142.76,4360.58,481.05
2004,720LEA,,9218.84,0.667,0.132,0.082,0.101,0.012,,0.006,1229.57,6463.68,1525.59
2004,710LEA,,6994.71,0.665,0.133,0.083,0.109,0.004,,0.006,1483.43,4621.22,890.06
2004,320LEA,,7911.87,0.705,0.135,0.07,0.076,0.007,,0.007,2725.16,4566.33,620.38
2004,910LEA,,7083.9,0.675,0.136,0.09,0.08,0.013,,0.006,1279.57,4771.12,1033.21
2004,960LEA,,6434.7,0.69,0.139,0.078,0.085,0.003,,0.005,1075.21,4532.04,827.45
2004,800LEA,,6466.01,0.708,0.141,0.049,0.089,0.008,,0.005,1368.49,4409.94,687.58
2004,510LEA,,6648.36,0.69,0.132,0.063,0.111,0.002,,0.002,1651.47,4413.33,583.56
2004,670LEA,,6361.35,0.677,0.136,0.07,0.085,0.027,,0.005,1221.31,4472.05,667.99
2004,340LEA,,7210.83,0.711,0.136,0.057,0.077,0.01,,0.009,2114.75,4509.39,586.69
2004,810LEA,,6632.5,0.7,0.141,0.048,0.094,0.004,,0.013,1176.95,4747.93,707.62
2004,530LEA,,6632.75,0.699,0.135,0.066,0.089,0.005,,0.006,1300.12,4575.23,757.4
2004,60H000,,8341.46,0.48,0.092,0.258,0.146,0,,0.024,1535.54,5274.93,1530.99
2004,01B000,,6345.04,0.477,0.119,0.323,0.049,0.005,,0.027,1911.17,4153.7,280.17
2005,36B000,,6152.26,0.511,0.116,0.107,0.095,0.077,,0.094,1387.05,4534.38,230.83
2005,60C000,,12457.91,0.513,0.142,0.236,0.08,0,,0.029,5258.3,5017.64,2181.97
2004,19B000,,6673.93,0.53,0.106,0.264,0.09,0.001,,0.009,2025.39,4375.07,273.47
2004,06B000,,12112.84,0.553,0.127,0.213,0.093,0.012,,0.002,1919.93,6385.06,3807.85
2005,11B000,,7580.42,0.504,0.095,0.171,0.12,0.068,,0.042,1946.15,4747.74,886.53
2005,12A000,,13675.14,0.537,0.093,0.16,0.091,0.05,,0.069,5678.39,5474.7,2522.05
2005,20A000,,8947.97,0.555,0.079,0.172,0.085,0.003,,0.106,1772.99,6523.15,651.83
2005,06A000,,23241.68,0.454,0.098,0.375,0.037,0,,0.036,13407.31,7005.29,2829.08
2005,06B000,,11820.8,0.632,0.135,0.141,0.085,0.006,,0.001,2427.26,6043.83,3349.71
2005,07A000,,6958.92,0.48,0.121,0.109,0.049,0.141,,0.1,1626.91,5207.65,124.36
2005,01B000,,6131.73,0.415,0.114,0.37,0.061,0.02,,0.02,2208.1,3711.98,211.65
2005,19A000,,7557.66,0.528,0.137,0.224,0.083,0.012,,0.016,2720.2,4675.17,162.29
2005,32J000,,9348.65,0.409,0.101,0.336,0.111,0.02,,0.023,2112.92,4663.88,2571.85
2005,18B000,,8424.95,0.425,0.074,0.416,0.046,0.016,,0.023,2319.61,4999.41,1105.93
