year,agency_code,category_code,avg_sat_score,pct_sat_participation
2003,140386,,1051,0.374
2003,140390,,1019,0.292
2003,140LEA,,1033,0.37
2003,150304,,980,0.568
2003,150LEA,,980,0.568
2003,160313,,970,0.515
2003,160314,,1017,0.736
2003,160344,,1040,0.725
2003,160LEA,,1018,0.669
2003,170316,,870,0.485
2003,170LEA,,870,0.485
2003,180308,,965,0.446
2003,180320,,998,0.458
2003,180340,,1066,0.606
2003,180348,,936,0.459
2003,180376,,1029,0.685
2003,180LEA,,1016,0.551
2003,181322,,1053,0.761
2003,181LEA,,1053,0.733
2003,182316,,1006,0.616
2003,182LEA,,1006,0.616
2003,190316,,989,0.637
2003,190336,,1007,0.59
2003,190342,,1003,0.691
2003,190LEA,,1000,0.641
2003,19B000,,1183,0.941
2003,200308,,979,0.696
2003,200312,,1003,0.429
2003,200328,,1063,0.615
2003,200LEA,,1032,0.558
2003,210312,,976,0.51
2003,210LEA,,976,0.51
2003,220310,,1009,0.611
2003,220LEA,,1009,0.611
2003,230312,,956,0.5
2003,230324,,994,0.539
2003,230LEA,,978,0.522
2003,231324,,988,0.616
2003,231LEA,,988,0.61
2003,232332,,1049,0.689
2003,232LEA,,1049,0.689
2003,240334,,860,0.452
2003,240371,,977,0.333
2003,240380,,818,0.408
2003,240LEA,,888,0.389
2003,241316,,888,0.726
2003,241LEA,,888,0.722
2003,250340,,1008,0.58
2003,250356,,997,0.66
2003,250372,,981,0.453
2003,250LEA,,998,0.587
2003,260318,,957,0.532
2003,260322,,896,0.336
2003,260325,,1005,0.344
2003,260359,,855,0.513
2003,260388,,1066,0.603
2003,260408,,945,0.539
2003,260411,,899,0.853
2003,260424,,945,0.438
2003,260427,,907,0.555
2003,260446,,1054,0.728
2003,260455,,873,0.627
2003,260LEA,,946,0.509
2003,270306,,988,0.46
2003,270LEA,,988,0.46
2003,280304,,948,0.8
2003,280316,,1017,0.814
2003,280LEA,,1006,0.809
2003,290308,,957,0.492
2003,290324,,978,0.467
2003,290336,,1004,0.608
2003,290348,,1027,0.683
2003,290365,,1014,0.538
2003,290388,,961,0.45
2003,290LEA,,997,0.55
2003,450334,,1070,0.662
2003,450341,,1014,0.405
2003,450352,,1055,0.694
2003,450LEA,,1049,0.568
2003,460320,,799,0.552
2003,460LEA,,799,0.552
2003,470312,,899,0.476
2003,470LEA,,899,0.467
2003,480307,,959,0.448
2003,480LEA,,1007,0.5
2003,490335,,1010,0.637
2003,490346,,996,0.448
2003,490354,,966,0.613
2003,490362,,1000,0.731
2003,490380,,984,0.45
2003,490LEA,,991,0.566
2003,491312,,999,0.619
2003,491LEA,,999,0.619
2003,500316,,1074,0.875
2003,500340,,1038,0.569
2003,500LEA,,1042,0.579
2003,510324,,1028,0.602
2003,510368,,993,0.5
2003,510376,,1004,0.492
2003,510399,,990,0.502
2003,510402,,1036,0.368
2003,510LEA,,1015,0.487
2003,520320,,829,0.388
2003,520LEA,,829,0.388
2003,530336,,985,0.581
2003,530LEA,,985,0.577
2003,540315,,979,0.653
2003,540324,,927,0.519
2003,540336,,969,0.431
2003,540LEA,,960,0.534
2003,550320,,990,0.588
2003,550332,,977,0.5
2003,550368,,964,0.388
2003,550LEA,,981,0.497
2003,560320,,993,0.6
2003,560324,,1132,0.647
2003,560332,,940,0.333
2003,560LEA,,1003,0.593
2003,570318,,1036,0.483
2003,570LEA,,1036,0.483
2003,580304,,1074,0.429
2003,580328,,953,0.535
2003,580344,,837,0.506
2003,580368,,932,0.643
2003,580LEA,,928,0.559
2003,590330,,1019,0.483
2003,590LEA,,1019,0.483
2003,600361,,980,0.715
2003,600376,,854,0.472
2003,600377,,1042,0.706
2003,600386,,857,0.26
2003,600396,,802,0.472
2003,600405,,1048,0.873
2003,600415,,968,0.787
2003,600426,,981,0.618
2003,600466,,1097,0.812
2003,600480,,1039,0.743
2003,600482,,1065,0.662
2003,600490,,890,0.532
2003,600508,,1098,0.937
2003,600535,,1027,0.811
2003,600576,,793,0.697
2003,600579,,873,0.426
2003,600592,,976,0.739
2003,600LEA,,1001,0.7
2003,610334,,998,0.482
2003,610LEA,,998,0.482
2003,620316,,933,0.378
2003,620340,,895,0.289
2003,620LEA,,914,0.33
2003,630332,,1071,0.317
2003,630336,,1040,0.563
2003,630360,,1038,0.427
2003,630LEA,,1044,0.465
2003,640350,,944,0.556
2003,640361,,908,0.662
2003,640364,,940,0.475
2003,640LEA,,929,0.559
2003,650326,,1015,0.703
2003,650327,,1015,0.569
2003,650342,,1081,0.793
2003,650352,,1027,0.654
2003,650354,,754,0.068
2003,650LEA,,1037,0.657
2003,660324,,796,0.706
2003,660336,,785,0.615
2003,660LEA,,790,0.653
2003,670320,,1014,0.43
2003,670324,,1024,0.597
2003,670333,,910,0.492
2003,670340,,1002,0.432
2003,670344,,998,0.442
2003,670352,,966,0.631
2003,670364,,1011,0.549
2003,670LEA,,994,0.528
2003,680332,,1007,0.753
2003,680LEA,,1007,0.753
2003,681308,,1175,0.905
2003,681314,,1181,0.931
2003,681LEA,,1178,0.916
2003,68B000,,981,0.184
2003,690320,,962,0.532
2003,690LEA,,962,0.532
2003,700317,,929,0.693
2003,700319,,929,0.606
2003,700LEA,,929,0.653
2003,710321,,907,0.559
2003,710326,,923,0.73
2003,710342,,1014,0.714
2003,710LEA,,965,0.688
2003,720316,,924,0.544
2003,720LEA,,924,0.544
2003,730352,,952,0.63
2003,730LEA,,952,0.63
2003,740309,,931,0.482
2003,740333,,1002,0.607
2003,740344,,931,0.514
2003,740366,,1034,0.769
2003,740374,,907,0.377
2003,740LEA,,993,0.599
2003,750318,,1063,0.572
2003,750LEA,,1063,0.572
2003,760318,,962,0.435
2003,760348,,919,0.453
2003,760358,,982,0.454
2003,760380,,992,0.531
2003,760LEA,,966,0.47
2003,761304,,1000,0.741
2003,761LEA,,1000,0.741
2003,770348,,935,0.373
2003,770LEA,,935,0.365
2003,780325,,856,0.418
2003,780342,,888,0.572
2003,780391,,801,0.483
2003,780401,,881,0.461
2003,780402,,787,0.346
2003,780420,,896,0.437
2003,780LEA,,869,0.48
2003,790314,,968,0.632
2003,790354,,954,0.668
2003,790366,,938,0.5
2003,790378,,962,0.545
2003,790LEA,,957,0.59
2003,800340,,1012,0.549
2003,800376,,942,0.382
2003,800396,,1033,0.563
2003,800400,,960,0.477
2003,800408,,986,0.471
2003,800LEA,,989,0.465
2003,810324,,932,0.247
2003,810340,,920,0.553
2003,810384,,985,0.519
2003,810LEA,,950,0.446
2003,81A000,,1139,1.25
2003,820348,,957,0.333
2003,820349,,870,0.367
2003,820352,,981,0.391
2003,820388,,896,0.362
2003,820LEA,,932,0.366
2003,821308,,943,0.54
2003,821LEA,,943,0.54
2003,830346,,907,0.577
2003,830LEA,,907,0.566
2003,83A000,,748,0.25
2003,840302,,962,0.647
2003,840332,,943,0.506
2003,840356,,897,0.57
2003,840368,,1010,0.516
2003,840LEA,,960,0.552
2003,850332,,1018,0.608
2003,850352,,939,0.484
2003,850358,,968,0.541
2003,850LEA,,969,0.522
2003,860316,,1005,0.571
2003,860336,,1020,0.258
2003,860352,,1026,0.37
2003,860LEA,,1015,0.384
2003,861308,,1072,0.647
2003,861LEA,,1072,0.647
2003,862312,,1021,0.576
2003,862LEA,,1021,0.576
2003,870314,,1032,0.488
2003,870LEA,,1032,0.471
2003,880308,,1108,0.642
2003,880328,,1013,0.467
2003,880LEA,,1087,0.546
2003,890304,,905,0.426
2003,890LEA,,905,0.426
2003,900316,,957,0.548
2003,900336,,888,0.642
2003,900344,,1050,0.57
2003,900348,,1043,0.588
2003,900360,,986,0.677
2003,900377,,1058,0.788
2003,900LEA,,1008,0.626
2003,910364,,813,0.464
2003,910370,,921,0.568
2003,910LEA,,873,0.517
2003,920316,,1107,0.793
2003,920318,,1091,0.817
2003,920348,,1080,0.901
2003,920368,,1062,0.739
2003,920411,,962,0.609
2003,920412,,1146,0.9
2003,920428,,1016,0.65
2003,920436,,986,0.57
2003,920441,,1111,0.934
2003,920473,,1092,0.846
2003,920500,,1040,0.75
2003,920552,,1041,0.879
2003,920562,,1027,0.84
2003,920588,,1029,0.639
2003,920595,,1057,0.796
2003,920LEA,,1067,0.774
2003,92K000,,1190,0.898
2003,930352,,862,0.62
2003,930LEA,,862,0.62
2003,940308,,862,0.576
2003,940316,,803,0.619
2003,940LEA,,816,0.61
2003,950336,,1078,0.721
2003,950LEA,,1078,0.721
2003,960324,,980,0.486
2003,960330,,1007,0.662
2003,960335,,806,0.442
2003,960372,,934,0.466
2003,960380,,928,0.441
2003,960386,,966,0.51
2003,960LEA,,951,0.499
2003,970320,,985,0.276
2003,970356,,964,0.379
2003,970388,,1035,0.434
2003,970390,,1025,0.613
2003,970LEA,,1009,0.446
2003,980318,,886,0.482
2003,980336,,1022,0.476
2003,980342,,1026,0.444
2003,980LEA,,977,0.465
2003,990322,,1000,0.56
2003,990326,,991,0.509
2003,990LEA,,997,0.541
2003,995330,,1034,0.434
2003,995LEA,,1034,0.434
2003,NATION,,,0.48
2004,010324,,1020,0.461
2004,010348,,943,0.471
2004,010360,,828,0.333
2004,010388,,1018,0.407
2004,010396,,1006,0.812
2004,010400,,966,0.67
2004,010LEA,,982,0.54
2004,01B000,,912,0.909
2004,020302,,982,0.403
2004,020LEA,,982,0.403
2004,030304,,981,0.551
2004,030LEA,,981,0.551
2004,040306,,849,0.519
2004,040LEA,,849,0.519
2004,050302,,986,0.621
2004,050LEA,,986,0.621
2004,060302,,1021,0.477
2004,060LEA,,1021,0.477
2004,06B000,,,0.5
2004,070330,,1003,0.375
2004,070339,,912,0.511
2004,070342,,976,0.51
2004,070LEA,,966,0.47
2004,080312,,807,0.564
2004,080LEA,,807,0.564
2004,090330,,894,0.586
2004,090368,,897,0.614
2004,090LEA,,895,0.599
2004,100326,,909,0.308
2004,100334,,1011,0.472
2004,100348,,992,0.529
