year,agency_code,category_code,esea_att
2013,390360,E,Met
2013,390362,E,Met
2013,390364,E,Met
2013,390368,E,Met
2013,390700,H,Did Not Meet
2013,390704,H,Did Not Meet
2013,390705,H,Did Not Meet
2013,390LEA,,Met
2013,400308,H,Did Not Meet
2013,400312,M,Met
2013,400315,H,Did Not Meet
2013,400318,E,Met
2013,400321,E,Did Not Meet
2013,400332,E,Met
2013,400LEA,,Met
2013,410304,E,Met
2013,410307,E,Met
2013,410310,E,Met
2013,410313,M,Met
2013,410316,M,Met
2013,410319,H,Did Not Meet
2013,410322,E,Met
2013,410325,M,Met
2013,410326,H,Did Not Meet
2013,410328,E,Met
2013,410331,E,Met
2013,410334,E,Met
2013,410337,E,Met
2013,410340,E,Met
2013,410341,M,Met
2013,410343,E,Met
2013,410346,E,Met
2013,410349,E,Met
2013,410355,H,Did Not Meet
2013,410358,H,Did Not Meet
2013,410361,E,Met
2013,410364,E,Met
2013,410366,E,Met
2013,410367,M,Met
2013,410370,E,Met
2013,410373,E,Met
2013,410376,E,Met
2013,410379,A,Did Not Meet
2013,410382,E,Met
2013,410385,E,Met
2013,410388,E,Met
2013,410390,H,Did Not Meet
2013,410391,T,Did Not Meet
2013,410394,H,Did Not Meet
2013,410395,H,Did Not Meet
2013,410396,M,Met
2013,410397,M,Met
2013,410398,A,Met
2013,410399,H,Did Not Meet
2013,410400,E,Met
2013,410401,H,Did Not Meet
2013,410402,M,Met
2013,410403,E,Met
2013,410406,H,Did Not Meet
2013,410407,H,Did Not Meet
2013,410408,H,Did Not Meet
2013,410409,E,Met
2013,410412,E,Met
2013,410415,M,Met
2013,410418,E,Met
2013,410421,M,Met
2013,410423,E,Met
2013,410424,E,Met
2013,410427,I,Met
2013,410430,E,Met
2013,410436,E,Met
2013,410437,M,Met
2013,410439,E,Met
2013,410442,M,Met
2013,410448,I,Met
2013,410451,E,Met
2013,410454,E,Met
2013,410457,A,Met
2013,410460,M,Met
2013,410461,E,Met
2013,410462,E,Met
2013,410463,M,Met
2013,410464,A,Met
2013,410466,E,Met
2013,410469,E,Met
2013,410472,E,Met
2013,410478,E,Met
2013,410481,E,Met
2013,410483,H,Did Not Meet
2013,410484,H,Did Not Meet
2013,410486,E,Met
2013,410487,M,Met
2013,410488,M,Met
2013,410489,H,Did Not Meet
2013,410490,H,Did Not Meet
2013,410491,E,Met
2013,410493,M,Met
2013,410496,E,Met
2013,410499,E,Met
2013,410502,E,Met
2013,410505,E,Met
2013,410508,H,Did Not Meet
2013,410511,E,Met
2013,410514,E,Met
2013,410517,E,Met
2013,410522,E,Met
2013,410523,E,Met
2013,410529,H,Did Not Meet
2013,410530,E,Met
2013,410532,E,Met
2013,410533,T,Did Not Meet
2013,410534,T,Did Not Meet
2013,410535,E,Met
2013,410538,E,Met
2013,410541,E,Met
2013,410544,H,Did Not Meet
2013,410545,H,Did Not Meet
2013,410547,H,Did Not Meet
2013,410550,M,Met
2013,410553,E,Met
2013,410556,H,Did Not Meet
2013,410559,E,Met
2013,410562,H,Did Not Meet
2013,410565,M,Met
2013,410568,E,Met
2013,410569,H,Did Not Meet
2013,410571,E,Met
2013,410574,E,Met
2013,410577,E,Met
2013,410578,E,Met
2013,410579,H,Met
2013,410580,E,Met
2013,410583,E,Met
2013,410586,E,Met
2013,410589,H,Did Not Meet
2013,410592,M,Met
2013,410595,H,Did Not Meet
2013,410598,E,Met
2013,410LEA,,Met
2013,41B000,I,Met
2013,41C000,I,Met
2013,41D000,E,Met
2013,41F000,A,Met
2013,41G000,E,Met
2013,41H000,E,Did Not Meet
2013,420304,E,Met
2013,420316,E,Met
2013,420324,M,Met
2013,420328,E,Met
2013,420336,E,Met
2013,420340,E,Met
2013,420346,H,Did Not Meet
2013,420348,E,Met
2013,420356,E,Did Not Meet
2013,420358,H,Did Not Meet
2013,420376,M,Met
