year,agency_code,grade,pct_prof,pct_prof_masking
2018,600341,6,28.1,
2018,600341,9,12.2,
2018,600344,6,55.8,
2018,600345,6,80.9,
2018,600351,6,31.6,
2018,600353,6,73.3,
2018,600361,9,42.2,
2018,600364,9,17.5,
2018,600366,6,39.2,
2018,600374,6,20.4,
2018,600377,9,42.1,
2018,600381,6,25.0,
2018,600386,9,41.7,
2018,600394,6,57.3,
2018,600397,9,8.4,
2018,600399,6,68.9,
2018,600405,9,18.5,
2018,600413,6,86.7,
2018,600415,9,43.1,
2018,600426,9,30.0,
2018,600428,6,28.7,
2018,600429,6,62.8,
2018,600431,6,85.0,
2018,600434,6,45.8,
2018,600439,6,5.0,2.0
2018,600439,9,5.7,
2018,600445,9,36.0,
2018,600448,6,20.1,
2018,600450,6,41.8,
2018,600455,6,62.7,
2018,600457,9,24.1,
2018,600461,9,5.0,2.0
2018,600462,6,29.9,
2018,600466,9,60.1,
2018,600479,6,43.1,
2018,600480,9,33.3,
2018,600481,6,32.2,
2018,600482,6,47.7,
2018,600482,9,68.6,
2018,600488,6,53.4,
2018,600489,6,9.7,
2018,600492,6,73.8,
2018,600496,9,42.6,
2018,600497,6,74.0,
2018,600498,9,41.5,
2018,600499,9,50.0,
2018,600508,9,77.0,
2018,600509,6,40.8,
2018,600513,6,80.5,
2018,600514,6,24.2,
2018,600517,6,17.6,
2018,600518,6,39.9,
2018,600520,6,20.8,
2018,600532,6,70.9,
2018,600535,9,46.2,
2018,600537,6,78.9,
2018,600538,6,45.9,
2018,600553,6,19.4,
2018,600567,9,71.4,
2018,600569,9,52.3,
2018,600574,6,13.5,
2018,600576,9,8.0,
2018,600577,6,16.7,
2018,600579,9,16.1,
2018,600582,9,43.3,
2018,600592,9,15.9,
2018,600693,9,23.0,
2018,600694,9,50.3,
2018,600695,9,26.6,
2018,600696,9,19.6,
2018,600697,9,38.0,
2018,60B000,6,36.4,
2018,60B000,9,43.5,
2018,60D000,6,75.8,
2018,60D000,9,69.6,
2018,60F000,6,95.0,1.0
2018,60G000,6,55.3,
2018,60G000,9,40.7,
2018,60I000,6,80.0,
2018,60I000,9,65.8,
2018,60J000,6,67.2,
2018,60K000,6,25.0,
2018,60K000,9,14.9,
2018,60L000,6,29.8,
2018,60M000,6,66.7,
2018,60P000,6,26.7,
2018,60Q000,6,18.3,
2018,60S000,6,45.9,
2018,60S000,9,56.0,
2018,60V000,6,8.3,
2018,60V000,9,15.5,
2018,60Y000,6,53.3,
2018,610302,6,52.2,
2018,610326,6,64.7,
2018,610332,9,72.7,
2018,610334,9,39.8,
2018,61J000,6,40.0,
2018,61M000,6,63.3,
2018,61N000,6,75.0,
2018,61Q000,6,30.9,
2018,61R000,6,56.5,
2018,61U000,6,5.0,2.0
2018,620314,6,30.2,
2018,620316,9,21.5,
2018,620339,6,44.4,
2018,620340,9,20.0,
2018,620350,9,62.7,
2018,630317,6,40.9,
2018,630320,6,35.0,
2018,630328,6,51.7,
2018,630331,6,58.3,
2018,630332,9,32.8,
2018,630336,9,44.0,
2018,630350,6,37.6,
2018,630360,9,36.7,
2018,630374,6,66.8,
2018,630376,6,43.9,
2018,63B000,6,52.2,
2018,63B000,9,22.2,
2018,640320,6,32.1,
2018,640329,6,28.9,
2018,640334,6,17.7,
2018,640335,6,19.8,
2018,640346,9,17.3,
2018,640347,9,50.0,
2018,640350,9,23.2,
2018,640358,6,31.0,
2018,640361,9,18.7,
2018,640362,6,35.0,
2018,640364,9,29.3,
2018,64A000,6,17.6,
2018,64A000,9,8.5,
2018,650310,6,63.3,
2018,650325,6,52.5,
2018,650326,9,41.5,
2018,650327,9,47.7,
2018,650332,6,40.0,
2018,650340,9,89.3,
2018,650342,9,54.5,
2018,650343,6,50.2,
2018,650350,6,65.6,
2018,650351,6,56.7,
2018,650352,9,24.9,
2018,650354,9,18.2,
2018,650355,9,5.0,2.0
2018,650364,6,73.9,
2018,650392,6,25.4,
2018,650394,9,68.0,
2018,650395,9,50.0,
2018,650409,6,6.5,
2018,65A000,6,59.6,
2018,65B000,6,7.7,
2018,65D000,6,33.3,
2018,65F000,6,73.5,
2018,65G000,6,30.3,
2018,660308,6,22.4,
2018,660325,6,34.1,
2018,660336,9,5.0,2.0
2018,660400,9,29.3,
2018,66A000,6,40.4,
2018,66A000,9,40.2,
2018,670300,9,95.0,1.0
2018,670318,6,47.8,
2018,670320,9,38.6,
2018,670322,6,36.7,
2018,670324,9,27.1,
2018,670325,6,39.1,
2018,670331,6,56.1,
2018,670333,9,23.1,
2018,670336,6,48.6,
2018,670340,9,43.1,
2018,670344,9,27.7,
2018,670345,6,34.8,
2018,670351,6,49.8,
2018,670352,9,40.1,
2018,670356,6,38.2,
2018,670364,9,30.0,
2018,67B000,6,10.0,
2018,680304,6,47.3,
2018,680310,9,47.1,
2018,680316,6,62.2,
2018,680327,6,56.3,
2018,680332,9,46.7,
