year,agency_code,status,subgroup,ccc_count,ccc_pct
2009,040304,COMP1Y,ELS,,
2009,040304,COMP1Y,MALE,,
2009,040304,COMP1Y,MU7,,
2009,040304,COMP1Y,SWD,,
2009,040304,COMP1Y,WH7,,50
2009,040304,NOCOMP1Y,AM7,,
2009,040304,NOCOMP1Y,AS7,,
2009,040304,NOCOMP1Y,ALL,,50
2009,040304,NOCOMP1Y,BL7,,50
2009,040304,NOCOMP1Y,EDS,,
2009,040304,NOCOMP1Y,FEM,,66.66
2009,040304,NOCOMP1Y,HI7,,
2009,040304,NOCOMP1Y,ELS,,
2009,040304,NOCOMP1Y,MALE,,
2009,040304,NOCOMP1Y,MU7,,
2009,040304,NOCOMP1Y,SWD,,
2009,040304,NOCOMP1Y,WH7,,50
2009,040305,COMP1Y,AM7,,
2009,040305,COMP1Y,AS7,,
2009,040305,COMP1Y,ALL,,
2009,040305,COMP1Y,BL7,,
2009,040305,COMP1Y,EDS,,
2009,040305,COMP1Y,FEM,,
2009,040305,COMP1Y,HI7,,
2009,040305,COMP1Y,ELS,,
2009,040305,COMP1Y,MALE,,
2009,040305,COMP1Y,MU7,,
2009,040305,COMP1Y,SWD,,
2009,040305,COMP1Y,WH7,,
2009,040305,NOCOMP1Y,AM7,,
2009,040305,NOCOMP1Y,AS7,,
2009,040305,NOCOMP1Y,ALL,5,
2009,040305,NOCOMP1Y,BL7,5,
2009,040305,NOCOMP1Y,EDS,,
2009,040305,NOCOMP1Y,FEM,,
2009,040305,NOCOMP1Y,HI7,,
2009,040305,NOCOMP1Y,ELS,,
2009,040305,NOCOMP1Y,MALE,,
2009,040305,NOCOMP1Y,MU7,,
2009,040305,NOCOMP1Y,SWD,,
2009,040305,NOCOMP1Y,WH7,,
2009,040306,COMP1Y,AM7,,
2009,040306,COMP1Y,AS7,,
2009,040306,COMP1Y,ALL,45,48.38
2009,040306,COMP1Y,BL7,23,41.07
2009,040306,COMP1Y,EDS,,
2009,040306,COMP1Y,FEM,33,58.92
2009,040306,COMP1Y,HI7,,
2009,040306,COMP1Y,ELS,,
2009,040306,COMP1Y,MALE,12,32.43
2009,040306,COMP1Y,MU7,,
2009,040306,COMP1Y,SWD,,
2009,040306,COMP1Y,WH7,22,66.66
2009,040306,NOCOMP1Y,AM7,,
2009,040306,NOCOMP1Y,AS7,,
2009,040306,NOCOMP1Y,ALL,48,48.38
2009,040306,NOCOMP1Y,BL7,33,41.07
2009,040306,NOCOMP1Y,EDS,,
2009,040306,NOCOMP1Y,FEM,23,58.92
2009,040306,NOCOMP1Y,HI7,,
2009,040306,NOCOMP1Y,ELS,,
2009,040306,NOCOMP1Y,MALE,25,32.43
2009,040306,NOCOMP1Y,MU7,,
2009,040306,NOCOMP1Y,SWD,,
2009,040306,NOCOMP1Y,WH7,11,66.66
2009,040LEA,COMP1Y,AM7,,
2009,040LEA,COMP1Y,AS7,,
2009,040LEA,COMP1Y,ALL,47,46.07
2009,040LEA,COMP1Y,BL7,24,38.09
2009,040LEA,COMP1Y,EDS,,
2009,040LEA,COMP1Y,FEM,35,56.45
2009,040LEA,COMP1Y,HI7,,
2009,040LEA,COMP1Y,ELS,,
2009,040LEA,COMP1Y,MALE,12,30
2009,040LEA,COMP1Y,MU7,,
2009,040LEA,COMP1Y,SWD,,
2009,040LEA,COMP1Y,WH7,23,65.71
2009,040LEA,NOCOMP1Y,AM7,,
2009,040LEA,NOCOMP1Y,AS7,,
2009,040LEA,NOCOMP1Y,ALL,55,46.07
2009,040LEA,NOCOMP1Y,BL7,39,38.09
2009,040LEA,NOCOMP1Y,EDS,,
2009,040LEA,NOCOMP1Y,FEM,27,56.45
2009,040LEA,NOCOMP1Y,HI7,,
2009,040LEA,NOCOMP1Y,ELS,,
2009,040LEA,NOCOMP1Y,MALE,28,30
2009,040LEA,NOCOMP1Y,MU7,,
2009,040LEA,NOCOMP1Y,SWD,,
2009,040LEA,NOCOMP1Y,WH7,12,65.71
2009,050302,COMP1Y,AM7,,
2009,050302,COMP1Y,AS7,,95
2009,050302,COMP1Y,ALL,85,62.96
2009,050302,COMP1Y,BL7,,
2009,050302,COMP1Y,EDS,18,64.28
2009,050302,COMP1Y,FEM,41,64.06
2009,050302,COMP1Y,HI7,,33.33
2009,050302,COMP1Y,ELS,,
2009,050302,COMP1Y,MALE,44,61.97
2009,050302,COMP1Y,MU7,,95
2009,050302,COMP1Y,SWD,,
2009,050302,COMP1Y,WH7,82,63.07
2009,050302,NOCOMP1Y,AM7,,
2009,050302,NOCOMP1Y,AS7,,95
2009,050302,NOCOMP1Y,ALL,50,62.96
2009,050302,NOCOMP1Y,BL7,,
2009,050302,NOCOMP1Y,EDS,10,64.28
2009,050302,NOCOMP1Y,FEM,23,64.06
2009,050302,NOCOMP1Y,HI7,,33.33
2009,050302,NOCOMP1Y,ELS,,
2009,050302,NOCOMP1Y,MALE,27,61.97
2009,050302,NOCOMP1Y,MU7,,95
2009,050302,NOCOMP1Y,SWD,,
2009,050302,NOCOMP1Y,WH7,48,63.07
2009,050LEA,COMP1Y,AM7,,
2009,050LEA,COMP1Y,AS7,,95
2009,050LEA,COMP1Y,ALL,85,62.96
2009,050LEA,COMP1Y,BL7,,
2009,050LEA,COMP1Y,EDS,18,64.28
2009,050LEA,COMP1Y,FEM,41,64.06
2009,050LEA,COMP1Y,HI7,,33.33
2009,050LEA,COMP1Y,ELS,,
2009,050LEA,COMP1Y,MALE,44,61.97
2009,050LEA,COMP1Y,MU7,,95
2009,050LEA,COMP1Y,SWD,,
2009,050LEA,COMP1Y,WH7,82,63.07
2009,050LEA,NOCOMP1Y,AM7,,
2009,050LEA,NOCOMP1Y,AS7,,95
2009,050LEA,NOCOMP1Y,ALL,50,62.96
2009,050LEA,NOCOMP1Y,BL7,,
2009,050LEA,NOCOMP1Y,EDS,10,64.28
2009,050LEA,NOCOMP1Y,FEM,23,64.06
2009,050LEA,NOCOMP1Y,HI7,,33.33
2009,050LEA,NOCOMP1Y,ELS,,
2009,050LEA,NOCOMP1Y,MALE,27,61.97
2009,050LEA,NOCOMP1Y,MU7,,95
2009,050LEA,NOCOMP1Y,SWD,,
2009,050LEA,NOCOMP1Y,WH7,48,63.07
2009,060302,COMP1Y,AM7,,
2009,060302,COMP1Y,AS7,,
2009,060302,COMP1Y,ALL,46,51.11
2009,060302,COMP1Y,BL7,,
2009,060302,COMP1Y,EDS,14,48.27
2009,060302,COMP1Y,FEM,32,68.08
2009,060302,COMP1Y,HI7,,50
2009,060302,COMP1Y,ELS,,
2009,060302,COMP1Y,MALE,14,32.55
2009,060302,COMP1Y,MU7,,95
2009,060302,COMP1Y,SWD,,66.66
2009,060302,COMP1Y,WH7,44,50.57
2009,060302,NOCOMP1Y,AM7,,
2009,060302,NOCOMP1Y,AS7,,
2009,060302,NOCOMP1Y,ALL,44,51.11
2009,060302,NOCOMP1Y,BL7,,
2009,060302,NOCOMP1Y,EDS,15,48.27
2009,060302,NOCOMP1Y,FEM,15,68.08
2009,060302,NOCOMP1Y,HI7,,50
2009,060302,NOCOMP1Y,ELS,,
2009,060302,NOCOMP1Y,MALE,29,32.55
2009,060302,NOCOMP1Y,MU7,,95
2009,060302,NOCOMP1Y,SWD,,66.66
2009,060302,NOCOMP1Y,WH7,43,50.57
2009,060LEA,COMP1Y,AM7,,
2009,060LEA,COMP1Y,AS7,,
2009,060LEA,COMP1Y,ALL,46,51.11
2009,060LEA,COMP1Y,BL7,,
2009,060LEA,COMP1Y,EDS,14,48.27
2009,060LEA,COMP1Y,FEM,32,68.08
2009,060LEA,COMP1Y,HI7,,50
2009,060LEA,COMP1Y,ELS,,
2009,060LEA,COMP1Y,MALE,14,32.55
2009,060LEA,COMP1Y,MU7,,95
2009,060LEA,COMP1Y,SWD,,66.66
2009,060LEA,COMP1Y,WH7,44,50.57
2009,060LEA,NOCOMP1Y,AM7,,
2009,060LEA,NOCOMP1Y,AS7,,
2009,060LEA,NOCOMP1Y,ALL,44,51.11
2009,060LEA,NOCOMP1Y,BL7,,
2009,060LEA,NOCOMP1Y,EDS,15,48.27
