year,agency_code,total_nbpts_num,category_code,nbpts_num
2006,240344,7976,I,
2006,240348,7976,I,
2006,240352,7976,I,1
2006,240354,7976,E,1
2006,240356,7976,M,5
2006,240370,7976,I,
2006,240371,7976,H,6
2006,240372,7976,E,1
2006,240376,7976,M,1
2006,240380,7976,H,3
2006,240388,7976,I,
2006,240LEA,7976,E,2
2006,240LEA,7976,H,4
2006,240LEA,7976,I,3
2006,240LEA,7976,M,2
2006,240LEA,7976,T,
2006,241304,7976,M,2
2006,241308,7976,E,3
2006,241312,7976,T,
2006,241316,7976,H,2
2006,241320,7976,E,5
2006,241LEA,7976,E,4
2006,241LEA,7976,H,2
2006,241LEA,7976,M,2
2006,241LEA,7976,T,
2006,250304,7976,E,2
2006,250306,7976,E,6
2006,250308,7976,E,12
2006,250312,7976,E,9
2006,250320,7976,E,8
2006,250324,7976,M,4
2006,250328,7976,E,2
2006,250332,7976,M,6
2006,250336,7976,E,2
2006,250340,7976,H,7
2006,250344,7976,M,1
2006,250348,7976,E,6
2006,250350,7976,E,7
2006,250356,7976,H,18
2006,250360,7976,E,6
2006,250362,7976,E,1
2006,250364,7976,E,2
2006,250368,7976,M,1
2006,250372,7976,H,12
2006,250376,7976,M,4
2006,250378,7976,E,
2006,250380,7976,E,7
2006,250LEA,7976,E,5
2006,250LEA,7976,H,12
2006,250LEA,7976,M,3
2006,260302,7976,E,2
2006,260306,7976,E,
2006,260308,7976,E,1
2006,260310,7976,E,2
2006,260312,7976,E,
2006,260316,7976,E,
2006,260318,7976,H,10
2006,260320,7976,E,5
2006,260321,7976,M,1
2006,260322,7976,H,3
2006,260324,7976,E,
2006,260325,7976,H,2
2006,260326,7976,E,1
2006,260332,7976,E,1
2006,260336,7976,M,2
2006,260338,7976,E,
2006,260340,7976,E,1
2006,260342,7976,E,3
2006,260344,7976,E,1
2006,260346,7976,H,
2006,260348,7976,E,3
2006,260352,7976,E,
2006,260354,7976,H,
2006,260356,7976,E,2
2006,260357,7976,H,2
2006,260358,7976,M,
2006,260359,7976,H,2
2006,260360,7976,E,
2006,260361,7976,E,
2006,260362,7976,M,1
2006,260363,7976,E,2
2006,260364,7976,E,5
2006,260365,7976,M,
2006,260366,7976,E,1
2006,260367,7976,E,1
2006,260368,7976,M,
2006,260369,7976,M,3
2006,260370,7976,E,1
2006,260371,7976,M,
2006,260372,7976,M,2
2006,260373,7976,E,3
2006,260380,7976,E,1
2006,260382,7976,E,1
2006,260383,7976,M,4
2006,260384,7976,E,
2006,260386,7976,E,1
2006,260388,7976,H,3
2006,260396,7976,E,4
2006,260397,7976,E,2
2006,260398,7976,E,4
2006,260400,7976,E,5
2006,260401,7976,E,1
2006,260402,7976,E,
2006,260404,7976,E,
2006,260405,7976,E,1
2006,260406,7976,M,3
2006,260407,7976,E,5
2006,260408,7976,H,3
2006,260409,7976,H,1
2006,260410,7976,E,2
2006,260411,7976,T,
2006,260412,7976,E,
2006,260413,7976,M,1
2006,260414,7976,E,1
2006,260415,7976,E,1
2006,260416,7976,E,1
2006,260418,7976,M,4
2006,260424,7976,H,4
2006,260425,7976,M,4
2006,260426,7976,E,1
2006,260427,7976,H,9
2006,260428,7976,M,2
2006,260430,7976,E,
2006,260432,7976,E,
2006,260434,7976,E,4
2006,260440,7976,E,1
2006,260444,7976,E,
