digital_media,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,agency_code,year,Book_TitlesPer_Student,wap,wap_class,media_school,devices,category_code
50,Yes,9:10,Yes,9:10,Both,9:10:11:12:13,100307,2018,1.62,21.0,1.4,2003.0,1.27,H
15,No,-,No,-,Staff,-,100308,2018,48.27,37.0,1.48,2004.0,0.36,T
2,No,-,No,-,Both,6:07:08,100309,2018,23.23,53.0,1.47,2007.0,1.38,M
3,No,-,No,-,Staff,-,100310,2018,32.37,43.0,1.43,2002.0,1.03,E
3,No,-,No,-,Both,6:07:08,100316,2018,15.67,68.0,1.19,2005.0,1.37,M
2,No,-,No,-,Staff,-,100320,2018,31.13,64.0,1.49,1997.0,0.86,E
5,No,-,No,-,Both,9:10:11:12,100326,2018,13.25,128.0,2.03,2001.0,0.87,H
5,No,-,No,-,Both,6:07:08,100332,2018,23.22,61.0,1.22,2001.0,0.89,M
5,No,-,No,-,Both,9:10:11:12,100334,2018,12.34,105.0,1.5,2001.0,1.31,H
10,No,-,No,-,Both,6:07:08,100335,2018,18.56,60.0,1.25,2002.0,1.36,M
4,No,-,No,-,Both,K:1:2:3:4:5,100336,2018,22.74,61.0,1.49,1999.0,1.28,E
5,No,-,No,-,Neither,-,100338,2018,16.01,54.0,1.13,2002.0,1.42,E
5,No,-,No,-,Staff,-,100339,2018,20.26,46.0,1.18,2004.0,0.96,E
4,No,-,No,-,Staff,-,100340,2018,27.26,54.0,1.35,1998.0,0.71,E
6,No,-,No,-,Neither,-,100342,2018,23.96,56.0,1.24,2002.0,1.25,E
3,No,-,No,-,Both,PK:K:1:2:3:4:5:6:7:8,100344,2018,30.15,63.0,2.42,2000.0,0.91,I
3,No,-,No,-,Both,9:10:11:12,100348,2018,12.9,124.0,1.51,2000.0,1.4,H
,,,,,,,100LEA,2018,19.39,1235.0,1.45,2001.0,1.06,
-,No,-,No,-,Neither,-,10A000,2018,,51.0,1.0,,8.18,I
-,No,-,No,-,Neither,-,10B000,2018,,35.0,1.67,,17.57,E
3,Yes,9:10:11:12,Yes,9:10:11:12,Staff,-,110303,2018,55.88,27.0,1.59,2001.0,0.35,H
