year,agency_code,subgroup,count,count_masked,den,den_masked,pct,pct_masked,masking
2018.0,800408,ELS,18.0,18.0,1057.0,1057.0,0.017,0.017,
2018.0,800410,ELS,7.0,7.0,650.0,650.0,0.0107,0.0107,
2018.0,810324,ELS,2.0,2.0,705.0,705.0,0.0028,0.0028,
2018.0,810328,ELS,1.0,1.0,281.0,281.0,0.0035,0.0035,
2018.0,810336,ELS,2.0,2.0,456.0,456.0,0.0043,0.0043,
2018.0,810340,ELS,3.0,3.0,713.0,713.0,0.0042,0.0042,
2018.0,810342,ELS,2.0,2.0,571.0,571.0,0.0035,0.0035,
2018.0,810344,ELS,1.0,1.0,609.0,609.0,0.0016,0.0016,
2018.0,810384,ELS,3.0,3.0,810.0,810.0,0.0037,0.0037,
2018.0,810388,ELS,2.0,2.0,360.0,360.0,0.0055,0.0055,
2018.0,820312,ELS,2.0,2.0,416.0,416.0,0.0048,0.0048,
2018.0,820320,ELS,2.0,2.0,346.0,346.0,0.0057,0.0057,
2018.0,820340,ELS,9.0,9.0,372.0,372.0,0.0241,0.0241,
2018.0,820346,ELS,21.0,21.0,511.0,511.0,0.040999999999999995,0.040999999999999995,
2018.0,820347,ELS,9.0,9.0,402.0,402.0,0.0223,0.0223,
2018.0,820348,ELS,28.0,28.0,532.0,532.0,0.0526,0.0526,
2018.0,820349,ELS,7.0,7.0,506.0,506.0,0.0138,0.0138,
2018.0,820352,ELS,13.0,13.0,782.0,782.0,0.0166,0.0166,
2018.0,820354,ELS,6.0,6.0,636.0,636.0,0.0094,0.0094,
2018.0,820364,ELS,1.0,1.0,349.0,349.0,0.0028,0.0028,
2018.0,820370,ELS,9.0,9.0,390.0,390.0,0.023,0.023,
2018.0,820372,ELS,9.0,9.0,425.0,425.0,0.0211,0.0211,
2018.0,820376,ELS,16.0,16.0,472.0,472.0,0.0338,0.0338,
2018.0,820384,ELS,32.0,32.0,555.0,555.0,0.0576,0.0576,
2018.0,820385,ELS,7.0,7.0,285.0,285.0,0.0245,0.0245,
2018.0,820388,ELS,15.0,15.0,512.0,512.0,0.0292,0.0292,
2018.0,821304,ELS,3.0,3.0,464.0,464.0,0.0064,0.0064,
2018.0,821308,ELS,17.0,17.0,840.0,840.0,0.0202,0.0202,
2018.0,821316,ELS,19.0,19.0,495.0,495.0,0.0383,0.0383,
2018.0,821320,ELS,4.0,4.0,676.0,676.0,0.0059,0.0059,
2018.0,821330,ELS,1.0,1.0,502.0,502.0,0.0019,0.0019,
2018.0,830343,ELS,3.0,3.0,1430.0,1430.0,0.002,0.002,
2018.0,840302,ELS,3.0,3.0,404.0,404.0,0.0074,0.0074,
2018.0,840304,ELS,1.0,1.0,300.0,300.0,0.0033,0.0033,
2018.0,840310,ELS,3.0,3.0,569.0,569.0,0.0052,0.0052,
2018.0,840320,ELS,2.0,2.0,425.0,425.0,0.0047,0.0047,
2018.0,840336,ELS,3.0,3.0,397.0,397.0,0.0075,0.0075,
2018.0,840342,ELS,1.0,1.0,302.0,302.0,0.0033,0.0033,
2018.0,840350,ELS,1.0,1.0,560.0,560.0,0.0017,0.0017,
2018.0,840356,ELS,1.0,1.0,502.0,502.0,0.0019,0.0019,
2018.0,840360,ELS,1.0,1.0,354.0,354.0,0.0028,0.0028,
2018.0,840368,ELS,3.0,3.0,725.0,725.0,0.0041,0.0041,
2018.0,850312,ELS,1.0,1.0,171.0,171.0,0.0058,0.0058,
2018.0,850316,ELS,1.0,1.0,420.0,420.0,0.0023,0.0023,
2018.0,850324,ELS,1.0,1.0,84.0,84.0,0.0119,0.0119,
2018.0,850338,ELS,2.0,2.0,280.0,280.0,0.0071,0.0071,
2018.0,850350,ELS,1.0,1.0,411.0,411.0,0.0024,0.0024,
2018.0,850352,ELS,1.0,1.0,480.0,480.0,0.002,0.002,
2018.0,860302,ELS,4.0,4.0,370.0,370.0,0.0108,0.0108,
2018.0,860306,ELS,7.0,7.0,598.0,598.0,0.0117,0.0117,
2018.0,860308,ELS,7.0,7.0,282.0,282.0,0.0248,0.0248,
2018.0,860316,ELS,3.0,3.0,595.0,595.0,0.005,0.005,
2018.0,860324,ELS,1.0,1.0,528.0,528.0,0.0018,0.0018,
2018.0,860326,ELS,4.0,4.0,364.0,364.0,0.0109,0.0109,
2018.0,860330,ELS,3.0,3.0,378.0,378.0,0.0079,0.0079,
2018.0,860332,ELS,1.0,1.0,159.0,159.0,0.0062,0.0062,
2018.0,860336,ELS,11.0,11.0,847.0,847.0,0.0129,0.0129,
2018.0,860340,ELS,3.0,3.0,436.0,436.0,0.0068,0.0068,
2018.0,860344,ELS,5.0,5.0,348.0,348.0,0.0143,0.0143,
2018.0,860348,ELS,1.0,1.0,270.0,270.0,0.0037,0.0037,
2018.0,860352,ELS,16.0,16.0,759.0,759.0,0.021,0.021,
2018.0,860356,ELS,5.0,5.0,212.0,212.0,0.0235,0.0235,
2018.0,860360,ELS,4.0,4.0,309.0,309.0,0.0129,0.0129,
2018.0,861304,ELS,2.0,2.0,633.0,633.0,0.0031,0.0031,
2018.0,861308,ELS,4.0,4.0,374.0,374.0,0.0106,0.0106,
2018.0,862308,ELS,7.0,7.0,341.0,341.0,0.0205,0.0205,
2018.0,862310,ELS,8.0,8.0,387.0,387.0,0.0206,0.0206,
