year,agency_code,category_code,grade_eoc,avg_size
2006,060332,,00,15
2006,060332,,01,14
2006,060332,,02,20
2006,060332,,03,21
2006,060332,,04,19
2006,060332,,05,16
2006,060LEA,,00,21
2006,060LEA,,01,19
2006,060LEA,,02,17
2006,060LEA,,03,16
2006,060LEA,,04,20
2006,060LEA,,05,18
2006,060LEA,,06,19
2006,060LEA,,07,20
2006,060LEA,,08,19
2006,060LEA,,Biology,21
2006,060LEA,,English II,21
2006,060LEA,,Math I,23
2006,06B000,,01,11
2006,06B000,,02,14
2006,06B000,,07,17
2006,06B000,,Biology,9
2006,06B000,,English II,6
2006,06B000,,Math I,5
2006,070302,,00,20
2006,070302,,01,18
2006,070306,,06,11
2006,070306,,07,12
2006,070306,,08,11
2006,070306,,Math I,11
2006,070308,,00,17
2006,070308,,01,21
2006,070308,,02,22
2006,070308,,03,21
2006,070308,,04,19
2006,070308,,05,23
2006,070308,,06,18
2006,070308,,07,20
2006,070308,,08,18
2006,070308,,Math I,11
2006,070310,,08,16
2006,070310,,Biology,7
2006,070310,,English II,8
2006,070310,,Math I,6
2006,070325,,05,24
2006,070325,,06,23
2006,070325,,07,26
2006,070325,,08,27
2006,070325,,Math I,25
2006,070326,,00,19
2006,070326,,01,21
2006,070326,,02,18
2006,070326,,03,15
2006,070326,,04,17
2006,070327,,02,16
2006,070327,,03,20
2006,070328,,04,19
2006,070328,,05,16
2006,070329,,00,17
2006,070329,,01,18
2006,070329,,02,19
2006,070329,,03,22
2006,070329,,04,25
2006,070329,,05,21
2006,070329,,06,18
2006,070329,,07,21
2006,070329,,08,22
2006,070329,,Math I,19
2006,070330,,Biology,20
2006,070330,,English II,18
2006,070330,,Math I,16
2006,070338,,06,20
2006,070338,,07,18
2006,070338,,08,22
2006,070338,,Math I,27
2006,070339,,Biology,20
2006,070339,,English II,21
2006,070339,,Math I,21
2006,070340,,00,22
2006,070340,,01,11
2006,070340,,02,11
2006,070340,,03,14
2006,070340,,04,10
2006,070340,,05,13
2006,070342,,Biology,26
2006,070342,,English II,21
2006,070342,,Math I,17
2006,070LEA,,00,19
2006,070LEA,,01,18
2006,070LEA,,02,17
2006,070LEA,,03,18
2006,070LEA,,04,18
2006,070LEA,,05,19
2006,070LEA,,06,18
2006,070LEA,,07,19
2006,070LEA,,08,19
2006,070LEA,,Biology,18
2006,070LEA,,English II,17
2006,070LEA,,Math I,17
2006,07A000,,00,21
2006,07A000,,02,22
2006,07A000,,04,25
2006,07A000,,05,27
2006,07A000,,07,13
2006,07A000,,Math I,5
2006,080304,,00,22
2006,080304,,01,18
2006,080304,,02,28
2006,080304,,03,26
2006,080304,,04,25
2006,080304,,05,29
2006,080310,,06,25
2006,080310,,07,23
2006,080310,,08,24
2006,080310,,Math I,23
2006,080312,,Biology,24
2006,080312,,English II,19
2006,080312,,Math I,23
2006,080320,,06,21
2006,080320,,07,17
2006,080320,,08,24
2006,080320,,Math I,27
2006,080336,,00,10
2006,080336,,01,17
2006,080336,,02,13
2006,080336,,03,12
2006,080336,,04,15
2006,080336,,05,17
2006,080348,,00,14
2006,080348,,01,11
2006,080348,,02,12
2006,080348,,03,13
2006,080348,,04,16
2006,080348,,05,14
2006,080350,,Biology,3
2006,080350,,English II,2
2006,080350,,Math I,2
2006,080356,,00,19
2006,080356,,01,16
2006,080356,,02,17
2006,080356,,03,23
2006,080356,,04,18
2006,080356,,05,20
2006,080360,,00,17
2006,080360,,01,15
2006,080360,,02,17
2006,080360,,03,20
2006,080360,,04,15
2006,080360,,05,16
2006,080362,,00,18
2006,080362,,01,19
2006,080362,,02,17
2006,080362,,03,19
2006,080362,,04,23
2006,080362,,05,25
2006,080LEA,,00,17
2006,080LEA,,01,16
2006,080LEA,,02,17
2006,080LEA,,03,19
2006,080LEA,,04,19
2006,080LEA,,05,20
2006,080LEA,,06,23
2006,080LEA,,07,20
2006,080LEA,,08,24
2006,080LEA,,Biology,14
2006,080LEA,,English II,11
2006,080LEA,,Math I,20
2006,090304,,00,10
2006,090304,,01,14
2006,090304,,02,17
2006,090304,,03,15
2006,090304,,04,19
2006,090304,,05,18
2006,090315,,05,25
2006,090315,,06,20
2006,090315,,07,20
2006,090315,,08,20
2006,090317,,00,19
2006,090317,,01,16
2006,090317,,02,16
2006,090317,,03,18
