year,agency_code,category_code,highqual_class_pct
2012,060701,H,1
2013,060701,H,1
2014,060701,H,
2015,060701,H,1
2016,060701,H,0.978
2006,060LEA,E,1
2006,060LEA,H,0.888
2006,060LEA,I,0.75
2006,060LEA,M,0.957
2007,060LEA,E,1
2007,060LEA,H,1
2007,060LEA,I,1
2007,060LEA,M,1
2008,060LEA,E,0.982
2008,060LEA,H,0.957
2008,060LEA,I,1
2008,060LEA,M,1
2009,060LEA,E,1
2009,060LEA,H,1
2009,060LEA,I,
2009,060LEA,M,1
2010,060LEA,E,0.985
2010,060LEA,H,0.908
2010,060LEA,M,0.988
2011,060LEA,E,1
2011,060LEA,H,0.978
2011,060LEA,M,0.978
2012,060LEA,E,0.984
2012,060LEA,H,1
2012,060LEA,M,1
2013,060LEA,E,0.985
2013,060LEA,H,0.999
2013,060LEA,M,1
2013,060LEA,T,
2014,060LEA,E,
2014,060LEA,H,
2014,060LEA,M,
2014,060LEA,T,
2015,060LEA,E,1
2015,060LEA,H,1
2015,060LEA,M,0.98
2015,060LEA,T,0.825
2016,060LEA,E,0.995
2016,060LEA,H,0.995
2016,060LEA,M,0.984
2016,060LEA,T,0.8
2006,06A000,A,0
2007,06A000,A,
2008,06A000,A,
2009,06A000,A,
2010,06A000,A,0.2
2011,06A000,A,0.625
2012,06A000,A,0.318
2013,06A000,A,0.567
2014,06A000,A,
2015,06A000,A,0.539
2016,06A000,A,0.4
2006,06B000,A,0.811
2007,06B000,A,0.825
2008,06B000,A,0.769
2009,06B000,A,0.847
2010,06B000,A,0.713
2011,06B000,A,0.64
2012,06B000,A,0.662
2013,06B000,A,0.822
2014,06B000,A,
2015,06B000,A,0.647
2016,06B000,A,0.643
2006,070302,E,0.939
2007,070302,E,0.971
2008,070302,E,1
2009,070302,E,1
2010,070302,E,1
2011,070302,E,1
2012,070302,E,1
2013,070302,E,1
2014,070302,E,
2015,070302,E,0.958
2016,070302,E,0.972
2006,070306,M,0.936
2007,070306,M,0.933
2008,070306,,
2006,070308,I,0.941
2007,070308,I,0.988
2008,070308,I,1
2009,070308,I,1
2010,070308,I,1
2011,070308,I,1
2012,070308,I,1
2013,070308,I,1
2014,070308,I,
2015,070308,I,1
2016,070308,I,1
2006,070310,T,0.69
2007,070310,T,1
2008,070310,T,1
2009,070310,T,1
2010,070310,T,0.857
2011,070310,T,0.918
2012,070310,T,0.626
2013,070310,T,0.666
2014,070310,T,
2015,070310,T,0.758
2016,070310,T,0.7
2009,070311,H,1
2010,070311,H,1
2011,070311,H,0.938
2012,070311,H,1
2013,070311,H,1
2014,070311,H,
2015,070311,H,0.909
2016,070311,H,1
2006,070325,M,0.955
2007,070325,M,1
2008,070325,M,0.979
2009,070325,M,0.958
2010,070325,M,1
2011,070325,M,1
2012,070325,M,0.968
2013,070325,M,0.97
2014,070325,M,
2015,070325,M,0.99
2016,070325,M,0.957
2006,070326,E,1
2007,070326,E,1
2008,070326,E,0.946
2009,070326,E,0.989
2010,070326,E,0.982
2011,070326,E,1
2012,070326,E,1
2013,070326,E,1
2014,070326,E,
2015,070326,E,0.971
2016,070326,E,1
2006,070327,E,0.971
2007,070327,E,1
2008,070327,E,1
2009,070327,E,1
2010,070327,E,1
2011,070327,E,1
2012,070327,E,1
2013,070327,E,1
2014,070327,E,
2015,070327,E,0.971
2016,070327,E,1
2006,070328,E,0.903
2007,070328,E,1
2008,070328,E,0.968
2009,070328,E,1
2010,070328,E,1
2011,070328,E,1
2012,070328,E,1
2013,070328,E,1
2014,070328,E,
2015,070328,E,0.952
2016,070328,E,1
2006,070329,I,0.961
2007,070329,I,1
2008,070329,I,0.974
2009,070329,I,0.934
2010,070329,I,0.972
2011,070329,I,0.967
2012,070329,I,0.977
2013,070329,I,0.961
2014,070329,I,
2015,070329,I,0.995
2016,070329,I,0.971
2006,070330,H,0.911
2007,070330,H,0.962
2008,070330,H,1
2009,070330,H,0.989
2010,070330,H,0.929
2011,070330,H,0.958
2012,070330,H,0.993
2013,070330,H,0.947
2014,070330,H,
2015,070330,H,0.952
2016,070330,H,0.971
2006,070338,M,0.957
2007,070338,M,1
2008,070338,M,0.956
2009,070338,M,0.933
2010,070338,M,1
2011,070338,M,0.95
2012,070338,M,0.957
2013,070338,M,0.961
2014,070338,M,
2015,070338,M,0.938
2016,070338,M,0.968
2006,070339,H,0.852
2007,070339,H,0.957
2008,070339,H,0.893
2009,070339,H,0.925
2010,070339,H,0.882
2011,070339,H,0.983
2012,070339,H,0.954
2013,070339,H,0.971
2014,070339,H,
2015,070339,H,0.84
2016,070339,H,0.96
2006,070340,E,1
2007,070340,E,1
2008,070340,I,0.973
2009,070340,I,1
2010,070340,I,0.992
2011,070340,I,0.986
2012,070340,I,1
2013,070340,I,0.956
2014,070340,I,
2015,070340,I,1
2016,070340,I,0.865
2006,070342,H,0.813
2007,070342,H,0.957
2008,070342,H,0.967
2009,070342,H,0.949
2010,070342,H,0.927
2011,070342,H,0.904
2012,070342,H,0.921
2013,070342,H,0.877
2014,070342,H,
2015,070342,H,0.906
2016,070342,H,0.967
2006,070LEA,E,0.958
2006,070LEA,H,0.849
2006,070LEA,I,0.951
2006,070LEA,M,0.953
2006,070LEA,T,0.69
2007,070LEA,E,0.993
2007,070LEA,H,0.958
2007,070LEA,I,0.994
