LEA Name,unit_code,School Name,SBE District,SPG Grade,SPG Score,Reading SPG Grade,Reading  SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Read Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,The ACT Score,ACT WorkKeys Score,Math Course Rigor Score,Cohort Graduation Rate Standard Score,State Gap Compared
Brunswick County Schools,100326,North Brunswick High,Southeast,C,63.0,,,,,Met,80.6,59,,,,30,49,54,48,57,100,85,
Brunswick County Schools,100332,Shallotte Middle,Southeast,C,60.0,C,64.0,D,43.0,Met,71.9,57,61,39,85,100,,,,,,,
Brunswick County Schools,100334,South Brunswick High,Southeast,B,74.0,,,,,Exceeded,90.9,69,,,,58,57,66,66,72,93,84,
Brunswick County Schools,100335,South Brunswick Middle,Southeast,C,61.0,C,62.0,D,51.0,Met,83.1,55,58,42,75,95,,,,,,,
Brunswick County Schools,100336,Southport Elementary,Southeast,C,58.0,C,65.0,D,50.0,NotMet,57.7,58,64,48,68,,,,,,,,
Brunswick County Schools,100338,Supply Elementary,Southeast,D,47.0,D,50.0,D,48.0,NotMet,57.7,44,46,45,35,,,,,,,,
Brunswick County Schools,100339,Town Creek Elementary,Southeast,C,55.0,C,57.0,D,54.0,NotMet,61.0,53,55,50,58,,,,,,,,
Brunswick County Schools,100340,Union Elementary,Southeast,B,75.0,B,73.0,B,76.0,Exceeded,87.2,72,70,73,76,,,,,,,,
Brunswick County Schools,100342,Virginia Williamson Elem,Southeast,C,63.0,C,61.0,C,62.0,Met,82.4,59,56,58,71,,,,,,,,
Brunswick County Schools,100344,Waccamaw,Southeast,C,64.0,C,59.0,C,61.0,Exceeded,86.8,59,53,56,76,100,,,,,,,
Brunswick County Schools,100348,West Brunswick High,Southeast,B,74.0,,,,,Exceeded,90.9,70,,,,63,59,57,62,76,100,82,
Buncombe County Schools,110303,Community High School,Western,,,,,,,,,,,,,,,,,,,,
Buncombe County Schools,110304,Reynolds High,Western,B,77.0,,,,,Met,80.6,76,,,,69,69,63,70,78,100,91,
Buncombe County Schools,110306,Reynolds Middle,Western,C,66.0,C,64.0,C,60.0,Exceeded,87.6,60,59,54,71,95,,,,,,,
Buncombe County Schools,110308,Barnardsville Elementary,Western,C,67.0,C,69.0,C,66.0,Met,77.9,65,68,61,,,,,,,,,
Buncombe County Schools,110318,Black Mountain Elementary,Western,C,62.0,C,63.0,C,63.0,NotMet,58.2,63,63,62,65,,,,,,,,
Buncombe County Schools,110320,Black Mountain Primary,Western,B,70.0,B,72.0,C,64.0,Met,80.4,67,70,64,,,,,,,,,
Buncombe County Schools,110322,Early College,Western,A,91.0,,,,,Met,80.5,93,,,,84,95,93,95,,100,100,Insufficient Data
Buncombe County Schools,110323,Middle College,Western,B,74.0,,,,,,,74,,,,,,40,56,67,100,69,
Buncombe County Schools,110324,Candler Elementary,Western,C,59.0,C,61.0,C,59.0,NotMet,67.3,57,56,57,57,,,,,,,,
Buncombe County Schools,110326,Cane Creek Middle,Western,B,77.0,B,74.0,B,74.0,Exceeded,87.7,75,72,70,85,100,,,,,,,
Buncombe County Schools,110332,Bell Elementary,Western,B,73.0,B,75.0,C,69.0,Met,80.8,72,72,69,77,,,,,,,,
Buncombe County Schools,110336,Owen High,Western,C,67.0,,,,,NotMet,63.0,68,,,,43,65,57,58,75,95,90,
Buncombe County Schools,110338,Owen Middle,Western,C,60.0,C,62.0,D,47.0,Met,79.3,55,56,41,75,94,,,,,,,
Buncombe County Schools,110340,Erwin High,Western,C,62.0,,,,,Met,72.6,59,,,,42,48,49,42,73,92,83,
Buncombe County Schools,110342,Erwin Middle,Western,D,52.0,D,50.0,D,45.0,NotMet,64.4,49,45,39,69,93,,,,,,,
Buncombe County Schools,110348,Emma Elementary,Western,D,51.0,D,47.0,D,54.0,Exceeded,85.8,42,39,46,,,,,,,,,
Buncombe County Schools,110352,Enka High,Western,C,63.0,,,,,NotMet,55.0,65,,,,42,59,59,54,83,100,81,
Buncombe County Schools,110356,Fairview Elementary,Western,B,70.0,C,65.0,C,69.0,Met,83.7,67,63,66,79,,,,,,,,
Buncombe County Schools,110366,Glen Arden Elementary,Western,B,76.0,B,77.0,B,75.0,Met,74.7,76,77,76,,,,,,,,,
Buncombe County Schools,110368,Haw Creek Elementary,Western,B,70.0,B,71.0,C,66.0,Met,80.7,67,69,64,72,,,,,,,,
Buncombe County Schools,110370,Hominy Valley Elementary,Western,B,73.0,C,69.0,B,76.0,Met,83.4,70,66,73,72,,,,,,,,
Buncombe County Schools,110372,Johnston Elementary,Western,D,46.0,D,48.0,D,44.0,Met,74.5,38,42,34,,,,,,,,,
Buncombe County Schools,110376,Leicester Elementary,Western,C,61.0,C,63.0,C,58.0,Met,75.5,57,58,56,,,,,,,,,
Buncombe County Schools,110379,North Buncombe Elementary,Western,C,65.0,C,62.0,C,66.0,Met,84.9,59,60,59,,,,,,,,,
Buncombe County Schools,110380,North Buncombe High,Western,B,75.0,,,,,Met,83.3,73,,,,57,66,65,69,84,100,90,
Buncombe County Schools,110381,North Buncombe Middle,Western,C,66.0,C,61.0,C,62.0,NotMet,67.5,66,62,60,73,94,,,,,,,
Buncombe County Schools,110382,North Windy Ridge Intermediate,Western,C,67.0,B,70.0,C,66.0,Met,79.8,63,66,63,58,,,,,,,,
Buncombe County Schools,110384,Oakley Elementary,Western,C,56.0,C,56.0,C,55.0,Met,79.5,50,51,49,51,,,,,,,,
Buncombe County Schools,110388,Pisgah Elementary,Western,B,80.0,B,76.0,B,83.0,Met,81.0,80,75,84,87,,,,,,,,
Buncombe County Schools,110401,Enka Middle,Western,C,58.0,C,59.0,D,50.0,NotMet,58.6,58,57,48,76,95,,,,,,,
Buncombe County Schools,110408,Sand Hill-Venable Elem,Western,C,58.0,C,61.0,C,59.0,NotMet,61.6,57,58,57,56,,,,,,,,
Buncombe County Schools,110410,Avery's Creek Elementary,Western,C,61.0,C,62.0,C,60.0,Met,76.4,57,57,57,,,,,,,,,
Buncombe County Schools,110412,Williams Elementary,Western,C,66.0,C,69.0,C,62.0,Met,80.3,63,65,60,68,,,,,,,,
