metrics,year,unit_code,Lea_Name,School_Name,State_Name,category_cd,pct,num,lea_num,lea_pct,st_num,st_pct
GCE_ALL,2015,600521,Charlotte-Mecklenburg Schools,"Stoney Creek Elementary, Charlotte",State Of North Carolina,E,0.077,11.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600522,Charlotte-Mecklenburg Schools,Selwyn Elementary,State Of North Carolina,E,0.075,11.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600527,Charlotte-Mecklenburg Schools,Shamrock Gardens Elementary,State Of North Carolina,E,0.04,3.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600530,Charlotte-Mecklenburg Schools,"Sharon Elementary, Charlotte",State Of North Carolina,E,0.043,6.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600532,Charlotte-Mecklenburg Schools,Waddell Language Academy,State Of North Carolina,I,0.02,3.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600534,Charlotte-Mecklenburg Schools,Smithfield Elementary,State Of North Carolina,E,0.083,10.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600546,Charlotte-Mecklenburg Schools,Statesville Road Elementary,State Of North Carolina,E,0.095,8.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600549,Charlotte-Mecklenburg Schools,Steele Creek Elementary,State Of North Carolina,E,0.099,13.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600550,Charlotte-Mecklenburg Schools,Sterling Elementary,State Of North Carolina,E,0.163,17.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600553,Charlotte-Mecklenburg Schools,Thomasboro Academy,State Of North Carolina,I,0.067,6.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600557,Charlotte-Mecklenburg Schools,Torrence Creek Elementary,State Of North Carolina,E,0.014,1.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600558,Charlotte-Mecklenburg Schools,Grand Oak Elementary,State Of North Carolina,E,0.065,7.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600562,Charlotte-Mecklenburg Schools,Tuckaseegee Elementary,State Of North Carolina,E,0.085,13.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600565,Charlotte-Mecklenburg Schools,University Park Creative Arts,State Of North Carolina,E,0.066,4.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600566,Charlotte-Mecklenburg Schools,University Meadows Elementary,State Of North Carolina,E,0.068,8.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600571,Charlotte-Mecklenburg Schools,Irwin Academic Center,State Of North Carolina,E,0.016,2.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600574,Charlotte-Mecklenburg Schools,Walter G Byers School,State Of North Carolina,I,0.039,2.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600577,Charlotte-Mecklenburg Schools,Westerly Hills Academy,State Of North Carolina,I,0.087,6.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600586,Charlotte-Mecklenburg Schools,Winding Springs Elementary,State Of North Carolina,E,0.163,24.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600587,Charlotte-Mecklenburg Schools,Windsor Park Elementary,State Of North Carolina,E,0.033,5.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600588,Charlotte-Mecklenburg Schools,Winget Park Elementary,State Of North Carolina,E,0.098,8.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600589,Charlotte-Mecklenburg Schools,Winterfield Elementary,State Of North Carolina,E,0.198,25.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,600590,Charlotte-Mecklenburg Schools,River Gate Elementary,State Of North Carolina,E,0.044,6.0,902.0,0.075,12367.0,0.104
GCE_ALL,2015,60A000,Charter and Non-District Affiliated Schools,Community Charter School,State Of North Carolina,E,0.053,1.0,,,12367.0,0.104
GCE_ALL,2015,60B000,Charter and Non-District Affiliated Schools,Sugar Creek Charter,State Of North Carolina,I,0.321,43.0,,,12367.0,0.104
