year,unit_code,category_cd,School_Name,Lea_Name,State_Name,total_specialized_courses,ap_ib_courses,cte_courses,univ_college_courses,lea_total_specialized_courses,lea_ap_ib_courses,lea_cte_courses,lea_univ_college_courses,st_total_specialized_courses,st_ap_ib_courses,st_cte_courses,st_univ_college_courses
2015,450343,T,Balfour Education Center,Henderson County Schools,State Of North Carolina,1.0,,0.993103448275862,,1.0,0.13321967851924,0.67510959571359,0.0784218217243059,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,450352,H,West Henderson High,Henderson County Schools,State Of North Carolina,1.0,0.15868544600939,0.711737089201878,0.0582159624413146,1.0,0.13321967851924,0.67510959571359,0.0784218217243059,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,450354,H,Henderson County Early College,Henderson County Schools,State Of North Carolina,1.0,,0.22279792746114,0.989637305699482,1.0,0.13321967851924,0.67510959571359,0.0784218217243059,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,450LEA,,,Henderson County Schools,State Of North Carolina,,,,,1.0,0.13321967851924,0.67510959571359,0.0784218217243059,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,460320,H,Hertford County High,Hertford County Schools,State Of North Carolina,1.0,,0.737463126843658,0.125368731563422,1.0,,0.669039145907473,0.233689205219454,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,460322,H,Hertford Co Early College,Hertford County Schools,State Of North Carolina,1.0,,0.165289256198347,0.925619834710744,1.0,,0.669039145907473,0.233689205219454,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,460340,H,CS Brown High,Hertford County Schools,State Of North Carolina,1.0,,1.0,,1.0,,0.669039145907473,0.233689205219454,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,460LEA,,,Hertford County Schools,State Of North Carolina,,,,,1.0,,0.669039145907473,0.233689205219454,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,470312,H,Hoke County High,Hoke County Schools,State Of North Carolina,1.0,0.154876741693462,0.693461950696677,0.0627009646302251,1.0,0.130748422001803,0.63390441839495,0.148331830477908,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,470342,T,J W Turlington School,Hoke County Schools,State Of North Carolina,1.0,,0.865384615384615,,1.0,0.130748422001803,0.63390441839495,0.148331830477908,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,470443,H,SandHoke Early College High,Hoke County Schools,State Of North Carolina,1.0,0.00333333333333333,0.223333333333333,0.706666666666667,1.0,0.130748422001803,0.63390441839495,0.148331830477908,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,470LEA,,,Hoke County Schools,State Of North Carolina,,,,,1.0,0.130748422001803,0.63390441839495,0.148331830477908,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,480316,A,Ocracoke School,Hyde County Schools,State Of North Carolina,1.0,0.0789473684210526,0.631578947368421,0.0263157894736842,1.0,0.0188679245283019,0.60377358490566,0.377358490566038,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,480318,T,Mattamuskeet Early College High,Hyde County Schools,State Of North Carolina,1.0,,0.59504132231405,0.487603305785124,1.0,0.0188679245283019,0.60377358490566,0.377358490566038,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,480LEA,,,Hyde County Schools,State Of North Carolina,,,,,1.0,0.0188679245283019,0.60377358490566,0.377358490566038,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490310,H,Career Academy and Technical School,Iredell-Statesville Schools,State Of North Carolina,1.0,,1.0,0.0208333333333333,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490320,H,Collaborative College for Technology,Iredell-Statesville Schools,State Of North Carolina,1.0,,0.444444444444444,1.0,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490335,H,Lake Norman High,Iredell-Statesville Schools,State Of North Carolina,1.0,0.358707557502738,0.677437020810515,0.0377875136911282,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490342,T,Monticello School,Iredell-Statesville Schools,State Of North Carolina,1.0,,0.655737704918033,,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490346,H,North Iredell High,Iredell-Statesville Schools,State Of North Carolina,1.0,0.107079646017699,0.753982300884956,0.0389380530973451,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490350,A,Pressly School,Iredell-Statesville Schools,State Of North Carolina,1.0,,1.0,,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490354,H,Statesville High,Iredell-Statesville Schools,State Of North Carolina,1.0,0.195761856710394,0.67204843592331,0.0131180625630676,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490355,H,Visual and Performing Arts Center,Iredell-Statesville Schools,State Of North Carolina,0.992831541218638,,0.118279569892473,0.681003584229391,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490362,H,South Iredell High,Iredell-Statesville Schools,State Of North Carolina,1.0,0.306748466257669,0.559645535105658,0.0149965916837082,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490380,H,West Iredell High,Iredell-Statesville Schools,State Of North Carolina,1.0,0.0998877665544332,0.721661054994388,0.00673400673400673,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,490LEA,,,Iredell-Statesville Schools,State Of North Carolina,,,,,1.0,0.215141146278871,0.678785286569718,0.0829769033361848,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,491312,H,Mooresville Senior High,Mooresville City Schools,State Of North Carolina,1.0,0.239229024943311,0.722222222222222,0.0187074829931973,1.0,0.239229024943311,0.722222222222222,0.0187074829931973,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,491LEA,,,Mooresville City Schools,State Of North Carolina,,,,,1.0,0.239229024943311,0.722222222222222,0.0187074829931973,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,49E000,A,Pine Lake Preparatory,Charter and Non-District Affiliated Schools,State Of North Carolina,1.0,0.31434184675835,0.068762278978389,,,,,,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,500302,T,Blue Ridge Early College,Jackson County Schools,State Of North Carolina,0.957983193277311,,0.739495798319328,0.504201680672269,0.851101321585903,0.0378854625550661,0.719823788546256,0.232599118942731,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,500323,H,Jackson Co Early College,Jackson County Schools,State Of North Carolina,1.0,,0.35,1.0,0.851101321585903,0.0378854625550661,0.719823788546256,0.232599118942731,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,500324,A,Jackson Co Sch of Alternatives,Jackson County Schools,State Of North Carolina,0.862068965517241,,0.862068965517241,0.172413793103448,0.851101321585903,0.0378854625550661,0.719823788546256,0.232599118942731,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,500340,H,Smoky Mountain High,Jackson County Schools,State Of North Carolina,0.809290953545232,0.0525672371638142,0.770171149144254,0.0660146699266504,0.851101321585903,0.0378854625550661,0.719823788546256,0.232599118942731,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
2015,500LEA,,,Jackson County Schools,State Of North Carolina,,,,,0.851101321585903,0.0378854625550661,0.719823788546256,0.232599118942731,1.0,0.169140389704439,0.666691482857652,0.0639806523951008
