year,unit_code,grade,pct_prof,School_Name,Lea_Name,State_Name
2017,140376,6,0,"Oak Hill Elementary, Lenoir",Caldwell County Schools,State Of North Carolina
2017,140386,9,35.9,South Caldwell High,Caldwell County Schools,State Of North Carolina
2017,140390,9,31,West Caldwell High,Caldwell County Schools,State Of North Carolina
2017,150304,9,33.3,Camden County High,Camden County Schools,State Of North Carolina
2017,150310,6,48.1,Camden Intermediate,Camden County Schools,State Of North Carolina
2017,150350,9,37.5,Camden Early College High,Camden County Schools,State Of North Carolina
2017,160309,6,0,Bridges School,Carteret County Public Schools,State Of North Carolina
2017,160309,9,0,Bridges School,Carteret County Public Schools,State Of North Carolina
2017,160310,6,44.6,Beaufort Middle,Carteret County Public Schools,State Of North Carolina
2017,160311,6,68.1,Broad Creek Middle,Carteret County Public Schools,State Of North Carolina
2017,160313,9,37.1,East Carteret High,Carteret County Public Schools,State Of North Carolina
2017,160314,9,53,Croatan High,Carteret County Public Schools,State Of North Carolina
2017,160318,6,59.2,Morehead City Middle,Carteret County Public Schools,State Of North Carolina
2017,160326,6,56.2,Newport Middle,Carteret County Public Schools,State Of North Carolina
2017,160332,6,56.9,Down East Middle and Smyrna Elementary,Carteret County Public Schools,State Of North Carolina
2017,160344,9,43.5,West Carteret High,Carteret County Public Schools,State Of North Carolina
2017,170316,9,18.5,Bartlett Yancey High,Caswell County Schools,State Of North Carolina
2017,170338,6,35.4,N L Dillard Middle,Caswell County Schools,State Of North Carolina
2017,180304,6,50.6,Balls Creek Elementary,Catawba County Schools,State Of North Carolina
2017,180308,9,51.7,Bandys High,Catawba County Schools,State Of North Carolina
2017,180312,6,39.5,Banoak Elementary,Catawba County Schools,State Of North Carolina
2017,180316,6,38.7,Blackburn Elementary,Catawba County Schools,State Of North Carolina
2017,180320,9,32.1,Bunker Hill High,Catawba County Schools,State Of North Carolina
2017,180323,6,0,Catawba Rosenwald Education Center,Catawba County Schools,State Of North Carolina
2017,180323,9,0,Catawba Rosenwald Education Center,Catawba County Schools,State Of North Carolina
2017,180324,6,31.3,Catawba Elementary School,Catawba County Schools,State Of North Carolina
2017,180325,9,76.2,Challenger Early College High,Catawba County Schools,State Of North Carolina
2017,180326,6,53.8,Charles H Tuttle Elementary,Catawba County Schools,State Of North Carolina
2017,180332,6,28.6,Claremont Elementary,Catawba County Schools,State Of North Carolina
2017,180336,6,61.3,Clyde Campbell Elementary,Catawba County Schools,State Of North Carolina
2017,180340,9,41.7,Fred T Foard High,Catawba County Schools,State Of North Carolina
2017,180343,6,17.9,Lyle Creek Elementary,Catawba County Schools,State Of North Carolina
2017,180344,6,42.5,Maiden Elementary,Catawba County Schools,State Of North Carolina
2017,180348,9,31,Maiden High,Catawba County Schools,State Of North Carolina
2017,180356,6,64.2,"Mountain View Elementary, Hickory",Catawba County Schools,State Of North Carolina
2017,180360,6,47,Oxford Elementary,Catawba County Schools,State Of North Carolina
2017,180368,6,47.8,Sherrills Ford Elementary,Catawba County Schools,State Of North Carolina
2017,180372,6,28.6,Saint Stephens Elementary,Catawba County Schools,State Of North Carolina
2017,180376,9,42.3,Saint Stephens High,Catawba County Schools,State Of North Carolina
2017,180379,6,50.6,Snow Creek Elementary,Catawba County Schools,State Of North Carolina
2017,180380,6,52.9,Startown Elementary,Catawba County Schools,State Of North Carolina
2017,180388,6,54.9,Webb A Murray Elementary,Catawba County Schools,State Of North Carolina
2017,181312,6,53.4,Northview Middle,Hickory City Schools,State Of North Carolina
2017,181316,6,44.2,Grandview Middle,Hickory City Schools,State Of North Carolina
2017,181318,9,8.6,Hickory Career Arts Magnet High School,Hickory City Schools,State Of North Carolina
2017,181322,9,44.4,Hickory High,Hickory City Schools,State Of North Carolina
2017,182316,9,15.1,Newton-Conover High,Newton Conover City Schools,State Of North Carolina
2017,182321,6,41,Newton-Conover Middle,Newton Conover City Schools,State Of North Carolina
2017,182700,9,57.7,Discovery High School,Newton Conover City Schools,State Of North Carolina
2017,190304,6,44.1,Bennett School,Chatham County Schools,State Of North Carolina
2017,190308,6,56.8,Bonlee School,Chatham County Schools,State Of North Carolina
2017,190312,6,32,Chatham Middle,Chatham County Schools,State Of North Carolina
2017,190316,9,39.6,Chatham Central High,Chatham County Schools,State Of North Carolina
2017,190328,6,40.6,Horton Middle,Chatham County Schools,State Of North Carolina
2017,190332,6,62.5,J S Waters School,Chatham County Schools,State Of North Carolina
2017,190336,9,22.1,Jordan Matthews High,Chatham County Schools,State Of North Carolina
2017,190339,6,54.3,Margaret B. Pollard Middle,Chatham County Schools,State Of North Carolina
2017,190340,6,40,Moncure School,Chatham County Schools,State Of North Carolina
2017,190342,9,52.3,Northwood High,Chatham County Schools,State Of North Carolina
2017,190352,6,55.3,Silk Hope School,Chatham County Schools,State Of North Carolina
2017,190501,9,0,Chatham School of Science & Engineering,Chatham County Schools,State Of North Carolina
2017,19A000,6,61,Chatham Charter,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,19A000,9,58.7,Chatham Charter,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,19B000,6,79.5,Woods Charter,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,19B000,9,82.5,Woods Charter,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,19C000,6,61.9,Willow Oak Montessori,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,200308,9,26.5,Andrews High,Cherokee County Schools,State Of North Carolina
2017,200310,6,60,Andrews Middle,Cherokee County Schools,State Of North Carolina
2017,200312,6,50,Hiwassee Dam Elementary/Middle,Cherokee County Schools,State Of North Carolina
2017,200314,9,42.9,Hiwassee Dam High,Cherokee County Schools,State Of North Carolina
2017,200320,6,53.6,Martins Creek Elementary/Mid,Cherokee County Schools,State Of North Carolina
2017,200328,9,18.3,Murphy High,Cherokee County Schools,State Of North Carolina
2017,200330,6,48.1,Murphy Middle,Cherokee County Schools,State Of North Carolina
2017,200336,6,56.5,Ranger Elementary/Middle,Cherokee County Schools,State Of North Carolina
