year,unit_code,Number_Industry_Recognized_Crede,School_Name,Lea_Name,State_Name
2017,430378,563,Triton High,Harnett County Schools,State Of North Carolina
2017,430384,997,Western Harnett High,Harnett County Schools,State Of North Carolina
2017,440326,20,Central Haywood High,Haywood County Schools,State Of North Carolina
2017,440378,337,Pisgah High,Haywood County Schools,State Of North Carolina
2017,440390,445,Tuscola High,Haywood County Schools,State Of North Carolina
2017,450316,349,East Henderson High,Henderson County Schools,State Of North Carolina
2017,450334,236,Hendersonville High,Henderson County Schools,State Of North Carolina
2017,450341,609,North Henderson High,Henderson County Schools,State Of North Carolina
2017,450343,305,Balfour Education Center,Henderson County Schools,State Of North Carolina
2017,450352,586,West Henderson High,Henderson County Schools,State Of North Carolina
2017,460320,160,Hertford County High,Hertford County Schools,State Of North Carolina
2017,460322,6,Hertford Co Early College,Hertford County Schools,State Of North Carolina
2017,460340,32,CS Brown High,Hertford County Schools,State Of North Carolina
2017,470312,1244,Hoke County High,Hoke County Schools,State Of North Carolina
2017,470342,2,J W Turlington School,Hoke County Schools,State Of North Carolina
2017,480316,9,Ocracoke School,Hyde County Schools,State Of North Carolina
2017,480318,9,Mattamuskeet Early College High,Hyde County Schools,State Of North Carolina
2017,490310,201,Career Academy and Technical School,Iredell-Statesville Schools,State Of North Carolina
2017,490335,560,Lake Norman High,Iredell-Statesville Schools,State Of North Carolina
2017,490342,9,Monticello School,Iredell-Statesville Schools,State Of North Carolina
2017,490346,407,North Iredell High,Iredell-Statesville Schools,State Of North Carolina
2017,490354,169,Statesville High,Iredell-Statesville Schools,State Of North Carolina
2017,490355,5,Crossroads Arts Sciences Early College,Iredell-Statesville Schools,State Of North Carolina
2017,490362,200,South Iredell High,Iredell-Statesville Schools,State Of North Carolina
2017,490380,318,West Iredell High,Iredell-Statesville Schools,State Of North Carolina
2017,491312,633,Mooresville High School,Mooresville City Schools,State Of North Carolina
2017,500302,3,Blue Ridge Early College,Jackson County Schools,State Of North Carolina
2017,500323,1,Jackson Co Early College,Jackson County Schools,State Of North Carolina
2017,500324,14,Jackson Co Sch of Alternatives,Jackson County Schools,State Of North Carolina
2017,500340,313,Smoky Mountain High,Jackson County Schools,State Of North Carolina
2017,510324,788,Clayton High,Johnston County Schools,State Of North Carolina
2017,510327,410,Cleveland High,Johnston County Schools,State Of North Carolina
2017,510333,865,Corinth Holders High,Johnston County Schools,State Of North Carolina
2017,510357,15,Johnston Co Middle College,Johnston County Schools,State Of North Carolina
2017,510367,3,Johnston Co Early College Academy,Johnston County Schools,State Of North Carolina
2017,510368,400,North Johnston High,Johnston County Schools,State Of North Carolina
2017,510376,306,Princeton High,Johnston County Schools,State Of North Carolina
2017,510380,5,South Campus Community High,Johnston County Schools,State Of North Carolina
2017,510399,171,Smithfield-Selma High,Johnston County Schools,State Of North Carolina
2017,510402,344,South Johnston High,Johnston County Schools,State Of North Carolina
2017,510406,713,West Johnston High,Johnston County Schools,State Of North Carolina
2017,520320,273,Jones Senior High,Jones County Schools,State Of North Carolina
2017,530306,4,Bragg Street Academy,Lee County Schools,State Of North Carolina
2017,530335,11,Lee Early College,Lee County Schools,State Of North Carolina
2017,530336,1091,Lee County High,Lee County Schools,State Of North Carolina
2017,530343,831,Southern Lee High School,Lee County Schools,State Of North Carolina
2017,540315,176,Kinston High,Lenoir County Public Schools,State Of North Carolina
2017,540324,200,North Lenoir High,Lenoir County Public Schools,State Of North Carolina
2017,540336,165,South Lenoir High,Lenoir County Public Schools,State Of North Carolina
2017,550320,386,East Lincoln High,Lincoln County Schools,State Of North Carolina
2017,550332,377,Lincolnton High,Lincoln County Schools,State Of North Carolina
2017,550344,777,North Lincoln High,Lincoln County Schools,State Of North Carolina
2017,550368,446,West Lincoln High,Lincoln County Schools,State Of North Carolina
2017,560320,141,Franklin High,Macon County Schools,State Of North Carolina
2017,560324,10,Highlands School,Macon County Schools,State Of North Carolina
2017,560332,2,Nantahala School,Macon County Schools,State Of North Carolina
2017,560350,1,"Union Academy, Franklin",Macon County Schools,State Of North Carolina
2017,570317,9,Madison Early College High,Madison County Schools,State Of North Carolina
2017,570318,112,Madison High,Madison County Schools,State Of North Carolina
2017,580344,182,South Creek High,Martin County Schools,State Of North Carolina
2017,580368,279,"Riverside High, Williamston",Martin County Schools,State Of North Carolina
2017,58B000,44,Bear Grass Charter School,Charter and Non-District Affiliated Schools,State Of North Carolina
