year,unit_code,Concentrator,Counts,School_Name,Lea_Name,State_Name
2017,110304,HUMA,21,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,INFO,9,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,LAW,112,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,MRKT,19,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,STEM,48,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110304,TRAN,22,Reynolds High,Buncombe County Schools,State Of North Carolina
2017,110323,AGNR,1,Middle College,Buncombe County Schools,State Of North Carolina
2017,110323,INFO,1,Middle College,Buncombe County Schools,State Of North Carolina
2017,110323,LAW,1,Middle College,Buncombe County Schools,State Of North Carolina
2017,110336,AAVC,3,Owen High,Buncombe County Schools,State Of North Carolina
2017,110336,AGNR,47,Owen High,Buncombe County Schools,State Of North Carolina
2017,110336,ARCH,27,Owen High,Buncombe County Schools,State Of North Carolina
2017,110336,BMA,10,Owen High,Buncombe County Schools,State Of North Carolina
2017,110336,HLTH,24,Owen High,Buncombe County Schools,State Of North Carolina
2017,110336,HOSP,33,Owen High,Buncombe County Schools,State Of North Carolina
2017,110336,INFO,39,Owen High,Buncombe County Schools,State Of North Carolina
2017,110336,LAW,7,Owen High,Buncombe County Schools,State Of North Carolina
2017,110336,STEM,9,Owen High,Buncombe County Schools,State Of North Carolina
2017,110340,AAVC,2,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110340,AGNR,445,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110340,ARCH,295,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110340,BMA,83,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110340,HLTH,127,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110340,HOSP,272,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110340,HUMA,15,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110340,LAW,50,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110340,MRKT,30,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110340,TRAN,5,Erwin High,Buncombe County Schools,State Of North Carolina
2017,110352,AAVC,36,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,AGNR,56,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,ARCH,30,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,BMA,5,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,FINA,15,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,HLTH,48,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,HOSP,16,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,INFO,26,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,LAW,25,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,MANU,3,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,MRKT,3,Enka High,Buncombe County Schools,State Of North Carolina
2017,110352,TRAN,8,Enka High,Buncombe County Schools,State Of North Carolina
2017,110380,AGNR,69,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110380,ARCH,98,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110380,BMA,27,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110380,HLTH,45,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110380,HUMA,1,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110380,INFO,30,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110380,LAW,23,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110380,MANU,23,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110380,MRKT,18,North Buncombe High,Buncombe County Schools,State Of North Carolina
2017,110416,AAVC,14,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,AGNR,39,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,ARCH,10,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,BMA,8,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,HLTH,42,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,HOSP,30,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,HUMA,7,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,INFO,15,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,LAW,207,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,MANU,10,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,MRKT,11,Roberson High,Buncombe County Schools,State Of North Carolina
2017,110416,TRAN,9,Roberson High,Buncombe County Schools,State Of North Carolina
2017,111302,AAVC,3,Asheville High,Asheville City Schools,State Of North Carolina
2017,111302,AGNR,1,Asheville High,Asheville City Schools,State Of North Carolina
2017,111302,BMA,2,Asheville High,Asheville City Schools,State Of North Carolina
2017,111302,FINA,3,Asheville High,Asheville City Schools,State Of North Carolina
2017,111302,HLTH,8,Asheville High,Asheville City Schools,State Of North Carolina
2017,111302,HOSP,12,Asheville High,Asheville City Schools,State Of North Carolina
2017,111302,HUMA,8,Asheville High,Asheville City Schools,State Of North Carolina
2017,111302,LAW,12,Asheville High,Asheville City Schools,State Of North Carolina
2017,111302,MANU,9,Asheville High,Asheville City Schools,State Of North Carolina
2017,111700,HLTH,64,School of Inquiry and Life Sciences,Asheville City Schools,State Of North Carolina
2017,111700,HOSP,2,School of Inquiry and Life Sciences,Asheville City Schools,State Of North Carolina
2017,111700,HUMA,1,School of Inquiry and Life Sciences,Asheville City Schools,State Of North Carolina
2017,111700,LAW,3,School of Inquiry and Life Sciences,Asheville City Schools,State Of North Carolina
2017,111700,MANU,8,School of Inquiry and Life Sciences,Asheville City Schools,State Of North Carolina
2017,120308,STEM,1,Hallyburton Academy,Burke County Schools,State Of North Carolina
2017,120310,BMA,3,Burke Middle College,Burke County Schools,State Of North Carolina
2017,120310,FINA,2,Burke Middle College,Burke County Schools,State Of North Carolina
2017,120310,LAW,1,Burke Middle College,Burke County Schools,State Of North Carolina
2017,120314,AAVC,9,East Burke High,Burke County Schools,State Of North Carolina
2017,120314,AGNR,27,East Burke High,Burke County Schools,State Of North Carolina
2017,120314,ARCH,25,East Burke High,Burke County Schools,State Of North Carolina
2017,120314,BMA,5,East Burke High,Burke County Schools,State Of North Carolina
2017,120314,HLTH,15,East Burke High,Burke County Schools,State Of North Carolina
2017,120314,HOSP,15,East Burke High,Burke County Schools,State Of North Carolina
2017,120314,HUMA,9,East Burke High,Burke County Schools,State Of North Carolina
2017,120314,INFO,6,East Burke High,Burke County Schools,State Of North Carolina
2017,120314,MANU,3,East Burke High,Burke County Schools,State Of North Carolina
2017,120318,AAVC,3,Freedom High,Burke County Schools,State Of North Carolina
2017,120318,AGNR,15,Freedom High,Burke County Schools,State Of North Carolina
2017,120318,ARCH,18,Freedom High,Burke County Schools,State Of North Carolina
2017,120318,BMA,3,Freedom High,Burke County Schools,State Of North Carolina
2017,120318,HLTH,22,Freedom High,Burke County Schools,State Of North Carolina
2017,120318,HOSP,10,Freedom High,Burke County Schools,State Of North Carolina
2017,120318,INFO,6,Freedom High,Burke County Schools,State Of North Carolina
2017,120318,LAW,2,Freedom High,Burke County Schools,State Of North Carolina
2017,120318,MANU,8,Freedom High,Burke County Schools,State Of North Carolina
2017,120318,TRAN,6,Freedom High,Burke County Schools,State Of North Carolina
