year,unit_code,pct_eds,School_Name,Lea_Name,State_Name
2017,320367,66.7,R N Harris Elementary,Durham Public Schools,State Of North Carolina
2017,320368,67.5,Southern School of Energy and Sustainabi,Durham Public Schools,State Of North Carolina
2017,320369,60.3,"Sandy Ridge Elementary, Durham",Durham Public Schools,State Of North Carolina
2017,320370,44.3,Rogers-Herr Middle,Durham Public Schools,State Of North Carolina
2017,320372,59.5,"Southwest Elementary, Durham",Durham Public Schools,State Of North Carolina
2017,320374,82.3,C C Spaulding Elementary,Durham Public Schools,State Of North Carolina
2017,320376,63.5,Spring Valley Elementary,Durham Public Schools,State Of North Carolina
2017,320388,73.1,W G Pearson Elementary,Durham Public Schools,State Of North Carolina
2017,320400,78.9,Y E Smith Elementary,Durham Public Schools,State Of North Carolina
2017,320701,59.6,Hillside New Tech High,Durham Public Schools,State Of North Carolina
2017,320LEA,59.8,,Durham Public Schools,State Of North Carolina
2017,32A000,88.1,Maureen Joy Charter School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32B000,100,Healthy Start Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32C000,92.2,Carter Community Charter,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32D000,13.1,Kestrel Heights School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32H000,65.5,Research Triangle Charter,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32K000,23.0,Central Park School For Child,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32L000,17.2,Voyager Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32M000,88.3,Global Scholars Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32N000,7.0,Research Triangle High School,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32P000,100,The Institute Development Young Leaders,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32Q000,45.3,Reaching All Minds Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32R000,18.4,Excelsior Classical Academy,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,32S000,68.1,KIPP Durham College Preparatory,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,330304,64.6,G W Bulluck Elementary,Edgecombe County Public School,State Of North Carolina
2017,330308,59.1,G W Carver Elementary,Edgecombe County Public School,State Of North Carolina
2017,330312,71.7,Coker-Wimberly Elementary,Edgecombe County Public School,State Of North Carolina
2017,330326,36.3,Edgecombe Early College High,Edgecombe County Public School,State Of North Carolina
2017,330328,63.8,North Edgecombe High,Edgecombe County Public School,State Of North Carolina
2017,330332,78.1,"Phillips Middle, Battleboro",Edgecombe County Public School,State Of North Carolina
2017,330334,86.2,Princeville Elementary,Edgecombe County Public School,State Of North Carolina
2017,330340,51.7,South Edgecombe Middle,Edgecombe County Public School,State Of North Carolina
2017,330344,77.3,W A Pattillo Middle,Edgecombe County Public School,State Of North Carolina
2017,330348,56.5,West Edgecombe Middle,Edgecombe County Public School,State Of North Carolina
2017,330350,48.5,SouthWest Edgecombe High,Edgecombe County Public School,State Of North Carolina
2017,330354,73.6,Stocks Elementary,Edgecombe County Public School,State Of North Carolina
2017,330358,61.6,Tarboro High,Edgecombe County Public School,State Of North Carolina
2017,330360,56.9,Martin Millennium Academy,Edgecombe County Public School,State Of North Carolina
2017,330LEA,61.5,,Edgecombe County Public School,State Of North Carolina
2017,33A000,64.7,North East Carolina Prep,Charter and Non-District Affiliated Schools,State Of North Carolina
2017,340308,84.2,Ashley Academy,Forsyth County Schools,State Of North Carolina
2017,340311,30.5,Atkins Academic & Tech High,Forsyth County Schools,State Of North Carolina
2017,340314,64.1,Bolton Elementary,Forsyth County Schools,State Of North Carolina
2017,340320,43.0,Brunson Elementary,Forsyth County Schools,State Of North Carolina
2017,340326,42.7,Caleb's Creek Elementary,Forsyth County Schools,State Of North Carolina
2017,340330,75.2,Carver High,Forsyth County Schools,State Of North Carolina
2017,340332,0,Career Center,Forsyth County Schools,State Of North Carolina
2017,340334,42.6,Cash Elementary,Forsyth County Schools,State Of North Carolina
2017,340336,70.2,Carter High School,Forsyth County Schools,State Of North Carolina
2017,340344,36.9,Childrens Center,Forsyth County Schools,State Of North Carolina
2017,340348,24.1,Clemmons Elementary,Forsyth County Schools,State Of North Carolina
2017,340350,50.9,Clemmons Middle School,Forsyth County Schools,State Of North Carolina
2017,340351,88.0,Cook Literacy Model School,Forsyth County Schools,State Of North Carolina
2017,340354,14.9,The Downtown School,Forsyth County Schools,State Of North Carolina
2017,340362,0,Early College of Forsyth Co,Forsyth County Schools,State Of North Carolina
2017,340364,36.4,East Forsyth High,Forsyth County Schools,State Of North Carolina
2017,340366,55.2,East Forsyth Middle School,Forsyth County Schools,State Of North Carolina
2017,340368,77.3,Easton Elementary School,Forsyth County Schools,State Of North Carolina
2017,340372,55.8,"Flat Rock Middle, Winston-Salem",Forsyth County Schools,State Of North Carolina
2017,340376,78.0,"Forest Park Elementary, Winston-Salem",Forsyth County Schools,State Of North Carolina
2017,340380,67.9,Gibson Elementary,Forsyth County Schools,State Of North Carolina
2017,340382,54.7,Robert B Glenn High School,Forsyth County Schools,State Of North Carolina
2017,340384,63.2,Griffith Elementary,Forsyth County Schools,State Of North Carolina
2017,340385,78.0,Main Street Academy,Forsyth County Schools,State Of North Carolina
2017,340390,71.1,Hall-Woodward Elementary,Forsyth County Schools,State Of North Carolina
2017,340392,40.8,Hanes Magnet School,Forsyth County Schools,State Of North Carolina
2017,340398,40.0,Homebound/ Hospital Education,Forsyth County Schools,State Of North Carolina
2017,340400,69.4,Ibraham Elementary,Forsyth County Schools,State Of North Carolina
2017,340403,33.1,"Jefferson Elementary, Winston-Salem",Forsyth County Schools,State Of North Carolina
2017,340406,32.0,Thomas Jefferson Middle,Forsyth County Schools,State Of North Carolina
2017,340416,56.7,Kernersville Elementary,Forsyth County Schools,State Of North Carolina
2017,340420,39.1,Kernersville Middle,Forsyth County Schools,State Of North Carolina
2017,340424,83.4,Kimberley Park Elementary,Forsyth County Schools,State Of North Carolina
2017,340426,61.5,Kimmel Farm Elementary,Forsyth County Schools,State Of North Carolina
2017,340427,57.9,Kingswood School,Forsyth County Schools,State Of North Carolina
2017,340428,70.3,Konnoak Elementary,Forsyth County Schools,State Of North Carolina
2017,340430,74.6,Diggs-Latham Elementary,Forsyth County Schools,State Of North Carolina
2017,340432,23.2,Lewisville Elementary,Forsyth County Schools,State Of North Carolina
2017,340436,67.5,Lowrance Middle,Forsyth County Schools,State Of North Carolina
2017,340440,20.6,Meadowlark Elementary,Forsyth County Schools,State Of North Carolina
2017,340442,24.3,Meadowlark Middle,Forsyth County Schools,State Of North Carolina
2017,340446,0,Middle College of Forsyth Cnty,Forsyth County Schools,State Of North Carolina
2017,340447,66.6,Middle Fork Elementary,Forsyth County Schools,State Of North Carolina
2017,340448,75.4,"Mineral Springs Elementary, Winston-Salem",Forsyth County Schools,State Of North Carolina
2017,340452,69.2,Mineral Springs Middle,Forsyth County Schools,State Of North Carolina
2017,340453,67.5,Moore Magnet Elementary,Forsyth County Schools,State Of North Carolina
2017,340454,45.7,Mount Tabor High School,Forsyth County Schools,State Of North Carolina
2017,340457,36.5,Frank Morgan Elementary,Forsyth County Schools,State Of North Carolina
2017,340460,71.1,North Forsyth High,Forsyth County Schools,State Of North Carolina
2017,340462,80.3,North Hills Elementary,Forsyth County Schools,State Of North Carolina
2017,340464,49.5,Northwest Middle,Forsyth County Schools,State Of North Carolina
2017,340472,52.5,Old Richmond Elementary,Forsyth County Schools,State Of North Carolina
2017,340476,71.6,Old Town Elementary,Forsyth County Schools,State Of North Carolina
2017,340480,55.6,Paisley IB Magnet School,Forsyth County Schools,State Of North Carolina
2017,340486,75.4,Parkland High,Forsyth County Schools,State Of North Carolina
2017,340488,93.1,J F Kennedy High,Forsyth County Schools,State Of North Carolina
2017,340490,85.0,Petree Elementary,Forsyth County Schools,State Of North Carolina
2017,340492,79.3,Philo-Hill Magnet Academy,Forsyth County Schools,State Of North Carolina
2017,340494,30.2,"Piney Grove Elementary, Kernersville",Forsyth County Schools,State Of North Carolina
2017,340495,19.9,Ronald W Reagan High School,Forsyth County Schools,State Of North Carolina
2017,340496,47.3,R J Reynolds High,Forsyth County Schools,State Of North Carolina
2017,340504,56.5,Rural Hall Elementary,Forsyth County Schools,State Of North Carolina
