agency_code,pct_aig_wk,pct_all_wk,pct_am7_wk,pct_as7_wk,pct_bl7_wk,pct_eds_wk,pct_els_wk,pct_fem_wk,pct_hi7_wk,pct_hms_wk,pct_male_wk,pct_mig_wk,pct_mil_wk,pct_mu7_wk,pct_neds_wk,pct_nswd_wk,pct_swd_wk,pct_wh7_wk
920411,95.0,65.7,,,50.0,70.0,,71.9,75.0,,57.1,,,,62.7,68.5,,69.0
920412,95.0,83.3,,95.0,71.7,56.8,,80.5,60.0,,86.8,,,,92.0,83.9,,95.0
920428,88.0,64.1,,,55.2,37.5,,67.7,50.0,,61.3,,,,69.5,66.9,,70.5
920436,95.0,74.3,,,62.2,63.6,,78.3,76.5,,71.2,,,,79.2,76.2,,83.7
920441,94.2,81.7,,87.9,75.0,75.0,,85.9,81.8,,79.6,,,,82.1,82.3,,80.0
920445,92.1,79.5,,,66.7,55.0,,78.7,50.0,,80.0,,,,83.1,80.7,63.6,86.2
920455,75.6,62.3,,,31.3,16.7,,62.5,60.0,,62.3,,,,66.4,63.8,,68.2
920466,,47.2,,,25.0,51.7,,48.3,46.4,,46.7,,,,45.0,50.6,,73.9
920473,92.5,77.6,,,63.2,53.8,,62.0,80.0,,88.0,,,,80.4,78.5,,81.0
920495,95.0,91.4,,,,66.7,,92.7,92.3,,90.7,,,,94.2,92.0,,94.4
920500,95.0,72.5,,,61.5,64.9,,68.7,57.1,,75.0,,,,74.6,74.5,40.0,83.5
920518,,78.9,,,,,,78.6,,,,,,,73.3,76.5,,
920526,95.0,89.8,,95.0,63.0,,,90.2,92.3,,89.5,,,,90.6,90.3,,90.7
920546,90.9,72.3,,,72.9,57.9,,79.7,58.6,,66.0,,,,79.3,73.6,50.0,74.4
920552,92.9,70.1,,,48.1,48.0,,68.5,43.8,,71.2,,,,75.5,71.3,,82.6
920562,86.7,68.6,,,62.3,53.1,,73.0,64.7,,65.3,,,,77.8,68.3,,95.0
920581,,62.3,,,46.2,61.9,,63.9,75.0,,60.6,,,,62.5,63.6,57.1,68.2
920586,,61.1,,,50.0,,,61.1,,,,,,,60.0,62.5,,
920588,92.9,82.9,,,61.1,63.6,,85.2,,,80.6,,,,84.8,84.3,,86.0
920595,95.0,71.7,,,45.7,44.4,,70.2,58.8,,73.0,,,,76.5,73.5,,89.7
930352,,33.9,,,32.0,34.8,,29.4,,,40.0,,,,33.3,38.5,,
940316,,44.7,,,41.9,30.0,,62.5,,,31.8,,,,61.1,44.7,,
94Z000,,84.6,,,,,,79.2,,,93.3,,,,87.1,86.8,,91.3
950336,,58.1,,,,33.3,,80.0,,,43.2,,,,66.0,68.6,9.1,57.6
950338,,71.7,,,,76.9,,72.4,,,70.6,,,,69.7,74.4,,70.5
960324,95.0,92.7,,,88.2,95.0,,89.4,95.0,,95.0,,,,90.1,93.2,,93.1
960330,95.0,65.3,,,53.8,52.7,,57.7,71.4,,73.5,,,,80.4,65.0,,80.0
960335,,40.5,,,39.4,38.2,,47.8,,,28.6,,,,,40.5,,
960372,95.0,82.1,,,63.6,72.0,,87.5,,,78.1,,,,90.3,85.2,,88.1
960380,95.0,60.3,,,48.6,53.2,,64.9,64.1,,55.9,,,,74.4,61.4,,67.6
