agency_code,pct_AIG_MCR,pct_ALL_MCR,pct_AM7_MCR,pct_AS7_MCR,pct_BL7_MCR,pct_EDS_MCR,pct_ELS_MCR,pct_FCS_MCR,pct_FEM_MCR,pct_HI7_MCR,pct_HMS_MCR,pct_MALE_MCR,pct_MIG_MCR,pct_MIL_MCR,pct_MU7_MCR,pct_NEDS_MCR,pct_NSWD_MCR,pct_SWD_MCR,pct_WH7_MCR
241316,95.0,93.7,,,91.3,92.2,,,93.8,95.0,,93.5,,,,95.0,95.0,33.3,93.3
241LEA,95.0,94.3,,,92.9,93.3,,,94.5,95.0,,94.0,,,,95.0,95.0,37.5,93.6
24B000,,84.6,,,,,,,90.0,,,,,,,,95.0,,
250314,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
250321,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
250340,95.0,93.1,,95.0,92.2,92.0,,,93.7,94.4,95.0,92.5,,91.9,88.2,94.1,95.0,65.7,94.0
250356,95.0,91.6,,95.0,86.0,90.2,95.0,,94.6,95.0,88.0,88.6,,90.0,95.0,92.8,95.0,38.6,92.3
250372,95.0,93.2,,,88.0,91.4,,,94.0,95.0,,92.5,,,,95.0,95.0,53.6,95.0
250LEA,95.0,93.1,,95.0,88.9,91.7,95.0,,94.7,95.0,94.6,91.5,,92.2,94.3,94.4,95.0,52.7,94.1
260318,95.0,94.5,,95.0,94.0,90.6,,,95.0,93.2,,90.7,,94.4,87.0,95.0,95.0,53.3,95.0
260322,95.0,87.6,,,84.1,87.5,,,93.4,88.6,86.7,82.0,,88.2,92.0,87.7,91.4,67.5,95.0
260325,95.0,95.0,,,92.3,93.8,,,95.0,95.0,,95.0,,95.0,95.0,95.0,95.0,81.8,95.0
260347,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
260354,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
260357,95.0,94.9,95.0,,94.7,90.7,,,95.0,95.0,,93.2,,95.0,95.0,95.0,95.0,67.3,93.8
260359,95.0,89.5,,,91.0,90.9,,,89.4,76.9,90.0,89.6,,91.7,95.0,86.2,95.0,60.4,76.2
260374,,92.0,,,95.0,94.1,,,93.0,,91.7,90.6,,,,87.5,94.0,,72.7
260388,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
260408,95.0,85.2,,,82.1,79.5,,,89.8,83.3,,79.7,,95.0,82.8,90.9,90.8,31.6,89.6
260411,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0,95.0,,
260424,95.0,94.8,,,95.0,94.9,,,94.6,89.2,,95.0,,93.3,95.0,94.6,95.0,78.7,84.6
260427,95.0,93.9,95.0,,92.6,92.1,,,95.0,95.0,,92.0,,95.0,95.0,95.0,95.0,77.8,91.2
260446,95.0,87.9,,92.3,83.5,82.6,95.0,,91.8,90.0,,83.8,,88.9,86.7,93.1,90.1,66.7,92.7
260449,,64.3,,,76.5,68.8,,,,,,60.0,,,,58.3,76.9,53.3,
260455,95.0,88.9,,,88.5,90.1,,,91.6,88.4,,85.7,,88.0,91.3,86.9,95.0,52.5,92.0
260700,95.0,95.0,,,95.0,95.0,,,95.0,,,,,,,95.0,95.0,,95.0
260LEA,95.0,92.1,95.0,94.4,90.8,90.1,88.9,92.3,94.5,92.2,90.9,89.7,,94.9,92.9,94.3,95.0,65.8,93.5
270306,95.0,94.3,,,81.8,92.7,,,95.0,90.9,,91.9,,,95.0,94.8,95.0,80.6,95.0
270311,95.0,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
270LEA,95.0,95.0,,,84.6,93.7,,,95.0,91.7,95.0,93.0,,95.0,95.0,95.0,95.0,81.8,95.0
280304,95.0,95.0,,,,90.0,,,95.0,,,90.5,,,,95.0,95.0,,95.0
280306,,95.0,,,,,,,,,,,,,,,95.0,,95.0
280316,95.0,95.0,,,,93.3,,,93.2,95.0,,95.0,,,,95.0,95.0,50.0,95.0
280330,95.0,95.0,,,,95.0,,,95.0,95.0,,92.6,,,,95.0,95.0,66.7,95.0
280LEA,95.0,95.0,,,80.0,94.1,91.7,,95.0,95.0,,94.9,,,,95.0,95.0,58.6,95.0
290308,95.0,95.0,,,,94.8,,,95.0,94.7,,95.0,,,,95.0,95.0,65.2,95.0
290310,,5.0,,,,,,,,,,5.0,,,,5.0,,5.0,5.0
290314,,80.0,,,,80.0,,,82.4,,,77.8,,,,80.0,81.3,,78.8
290315,95.0,95.0,,,,,,,95.0,,,,,,,95.0,95.0,,95.0
290324,95.0,95.0,,,,95.0,,,95.0,94.1,,94.7,,,,95.0,95.0,88.9,95.0
290336,95.0,95.0,,,95.0,89.9,,,95.0,88.9,,94.2,,,,95.0,95.0,60.7,95.0
290348,95.0,95.0,,,81.3,93.7,,,95.0,95.0,,95.0,,,95.0,95.0,95.0,71.9,95.0
290365,,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
290388,95.0,95.0,,,,92.3,,,95.0,95.0,,94.7,,,,95.0,95.0,62.5,95.0
290389,,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
290LEA,95.0,95.0,,95.0,86.3,91.6,88.2,,95.0,94.8,,94.1,,,95.0,95.0,95.0,63.1,95.0
291336,95.0,95.0,,95.0,95.0,95.0,95.0,,95.0,95.0,,95.0,,,95.0,95.0,95.0,84.6,95.0
291LEA,95.0,95.0,,95.0,94.8,95.0,95.0,,95.0,95.0,,93.1,,,95.0,95.0,95.0,61.1,90.0
292324,95.0,95.0,,,91.8,91.4,95.0,,95.0,95.0,,93.9,,,,95.0,95.0,36.4,94.4
292LEA,95.0,95.0,,,91.8,91.4,95.0,,95.0,95.0,,93.9,,,,95.0,95.0,36.4,94.4
298203,,25.0,,,,,,,20.0,,,30.0,,,,25.0,,25.0,45.5
298204,,31.3,,,,,,,,,,30.0,,,,31.3,,31.3,
300312,95.0,95.0,,,95.0,92.8,,,95.0,91.5,,93.5,,,91.7,95.0,95.0,70.5,95.0
300314,,95.0,,,,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
300LEA,95.0,95.0,,,95.0,93.7,,,95.0,93.5,,93.9,,,91.7,95.0,95.0,71.1,95.0
30304,95.0,94.9,,,,92.5,,,95.0,92.0,,90.7,,,,95.0,95.0,,95.0
310338,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
310344,95.0,93.8,,,88.9,92.2,85.2,,93.6,92.8,,94.0,,,,95.0,95.0,46.2,95.0
310352,95.0,92.9,,,90.3,92.0,88.2,,95.0,95.0,,90.8,,,,95.0,95.0,47.1,95.0
310364,,94.7,,,,92.9,,,94.9,95.0,,94.4,,,,95.0,95.0,,93.3
310392,95.0,95.0,,,91.9,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,72.7,95.0
310LEA,95.0,94.9,,,91.1,94.2,87.9,,95.0,95.0,88.0,93.9,,,93.3,95.0,95.0,51.6,95.0
320309,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,
320312,95.0,91.5,,95.0,85.6,80.3,90.5,,92.6,92.3,,90.6,,,95.0,95.0,95.0,39.6,95.0
320314,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,95.0,95.0
320317,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,,,,,95.0,95.0,,
320322,,56.9,,,47.2,59.0,,,60.0,68.8,,52.2,,,,52.6,57.1,,
320323,95.0,93.0,,95.0,91.0,81.0,,,95.0,84.6,,89.1,,,,95.0,95.0,58.8,95.0
320325,95.0,92.0,,,91.7,89.2,92.6,,92.9,94.5,,90.9,,,91.7,95.0,95.0,56.6,85.7
320353,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,95.0
320356,95.0,91.7,,,86.0,87.0,91.9,,94.0,94.3,81.8,89.4,,,,95.0,95.0,47.9,95.0
320365,95.0,90.0,,76.9,87.1,87.4,75.5,,91.8,88.9,,88.5,,,84.6,92.7,95.0,45.7,95.0
320368,95.0,89.0,,,88.4,88.7,86.4,,89.0,93.3,,89.1,,,,89.5,95.0,38.5,66.7
320701,95.0,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0,95.0,,
320LEA,95.0,91.7,,94.6,88.9,87.4,85.0,,93.1,92.4,85.0,90.2,,,93.5,95.0,95.0,51.9,95.0
32L000,95.0,93.6,,,95.0,,,,94.1,,,93.0,,,,94.5,95.0,60.0,93.4
32N000,,95.0,,95.0,95.0,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
330326,95.0,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
330328,,94.0,,,94.3,93.9,,,92.3,,,95.0,,,,94.1,95.0,,
330350,95.0,85.0,,,82.8,80.3,,,91.2,77.8,,78.7,,,,88.1,89.4,50.0,88.9
330358,,89.6,,,86.3,86.2,,,90.9,95.0,,88.1,,,,92.4,95.0,35.0,93.9
330LEA,95.0,89.2,,,87.0,85.7,,,92.0,90.7,,86.1,,,,91.6,95.0,42.6,91.9
33A000,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
340311,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,95.0,95.0
340330,,90.5,,,88.7,88.2,85.7,,92.9,93.9,,87.1,,,,94.4,95.0,60.0,
340336,,5.0,,,5.0,5.0,,,5.0,5.0,,5.0,,,,5.0,,5.0,5.0
340362,95.0,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
340364,95.0,95.0,,,95.0,93.6,88.2,,95.0,95.0,,95.0,,,94.4,95.0,95.0,82.7,95.0
340382,95.0,90.5,,,91.0,86.2,68.4,,92.8,86.2,,87.8,,,95.0,94.4,93.1,66.7,94.9
340446,,95.0,,,95.0,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
340454,95.0,95.0,,,93.3,95.0,95.0,,95.0,95.0,,94.8,,,95.0,95.0,95.0,75.6,95.0
340460,,90.7,,,90.8,89.6,84.6,,91.5,88.8,,89.9,,,90.9,91.2,92.8,57.1,95.0
340486,95.0,92.9,,,93.2,89.0,81.4,,95.0,91.2,,90.4,,,80.0,95.0,95.0,71.8,95.0
340488,,95.0,,,93.3,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,
340495,95.0,95.0,,95.0,95.0,95.0,,,95.0,94.9,,95.0,,,90.0,95.0,95.0,76.5,95.0
340496,95.0,93.0,,95.0,86.3,85.3,72.7,,95.0,90.5,,89.2,,,95.0,95.0,95.0,66.7,95.0
340542,95.0,92.8,,,91.4,93.5,,,93.8,91.2,,92.0,,,,92.2,95.0,52.4,93.6
340556,95.0,95.0,,95.0,92.1,95.0,94.7,,95.0,95.0,,95.0,,,95.0,95.0,95.0,69.2,95.0
340568,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0,95.0,,
340LEA,95.0,92.9,,95.0,90.6,89.8,79.1,,94.6,90.9,93.2,91.3,,,94.3,94.5,95.0,59.2,95.0
34B000,,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,,
34D000,,95.0,,,90.9,90.9,,,95.0,95.0,,,,,,95.0,95.0,,
34H000,,95.0,,,,,,,95.0,,,95.0,,,,95.0,95.0,,95.0
350308,95.0,93.7,,,92.7,92.0,,,94.4,92.1,,92.7,,,,95.0,95.0,53.8,94.0
350317,,95.0,,,95.0,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
350321,95.0,95.0,,,94.4,90.8,,,95.0,95.0,,94.7,,,95.0,95.0,95.0,64.0,94.2
350336,95.0,95.0,,,95.0,95.0,,,95.0,95.0,,95.0,,,,95.0,95.0,95.0,95.0
350LEA,95.0,95.0,,,95.0,93.9,72.7,,95.0,95.0,,95.0,,,95.0,95.0,95.0,68.7,95.0
360310,95.0,94.5,,,92.1,94.5,81.3,,95.0,93.8,,92.6,,,95.0,94.5,95.0,59.5,95.0
360336,95.0,94.2,,,95.0,92.9,,,95.0,90.0,95.0,92.0,,,,95.0,95.0,69.6,92.2
360337,95.0,95.0,,,,95.0,,,95.0,,,95.0,,,,95.0,95.0,,95.0
360360,95.0,91.1,,,95.0,89.4,,,95.0,,,87.1,,,,92.1,95.0,55.6,88.8
360372,,83.3,,,,,,,,,,80.0,,,,,,,
360378,95.0,94.8,,,93.5,90.2,,,95.0,95.0,,91.0,,,,95.0,95.0,64.5,94.3
360390,95.0,94.8,,,95.0,90.0,,,95.0,91.7,,93.3,,,,95.0,95.0,75.0,95.0
360394,,5.0,,,5.0,5.0,,,5.0,,,5.0,,,,5.0,,5.0,5.0
360396,95.0,95.0,,,95.0,91.9,,,95.0,94.3,,94.5,,,81.8,95.0,95.0,48.1,95.0
