digital_media,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
0,480306,E,Yes,03:04:05,No,-,No,-,117.26,26,1.24,1999.0,0.72
0,480316,A,Yes,3:4:5:6:7:8:9:10:11:12,Yes,6:7:8:9:10:11:12,Yes,9:10:11:12,12.73,25,1.19,2000.0,0.37
0,480318,T,Yes,6:7:8:9:10:11:12:13,Yes,6:7:8:9:10:11:12:13,No,-,125.86,51,1.65,1999.0,0.42
,480LEA,,,,,,,,89.44,102,1.4,1999.0,0.47
-,490307,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,No,-,,8,1.14,,1.48
2,490308,M,Yes,06:07:08,Yes,06:07:08,No,-,15.9,58,1.29,2003.0,0.93
-,490310,A,Yes,6:7:8:9:10:11:12,Yes,6:7:8:9:10:11:12,No,-,,15,0.88,,1.24
1,490312,E,No,-,No,-,No,-,23.31,82,1.82,1997.0,1.58
0,490316,E,No,-,No,-,No,-,24.41,44,1.83,1999.0,1.34
1,490318,E,No,-,No,-,No,-,21.46,74,1.48,2002.0,1.82
1,490319,E,No,-,No,-,No,-,21.93,80,1.67,2000.0,1.81
-,490320,H,Yes,9:10:11:12:13,Yes,9:10:11:12:13,No,-,,15,1.25,2017.0,0.84
1,490324,E,No,-,No,-,No,-,19.2,30,0.91,2005.0,1.41
2,490326,E,No,-,No,-,No,-,15.77,23,0.51,2000.0,2.34
1,490327,M,Yes,06:07:08,Yes,06:07:08,No,-,16.58,63,1.62,1997.0,0.94
0,490332,E,No,-,No,-,No,-,20.23,62,1.82,2003.0,1.57
6,490335,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,5.84,119,1.31,2001.0,0.92
3,490336,E,No,-,No,-,No,-,35.24,46,1.53,2002.0,1.08
1,490337,E,No,-,No,-,No,-,21.82,54,1.2,1999.0,1.01
2,490338,M,Yes,06:07:08,Yes,06:07:08,No,-,15.68,54,1.13,2002.0,0.93
2,490344,M,Yes,06:07:08,Yes,06:07:08,No,-,8.98,119,4.25,2006.0,0.94
0,490345,E,No,-,No,-,No,-,37.3,44,1.16,1999.0,1.53
0,490346,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,9.02,84,1.31,1991.0,0.74
34,490347,M,Yes,06:07:08,Yes,06:07:08,No,-,12.38,40,1.43,2007.0,0.95
0,490348,E,No,-,No,-,No,-,24.92,26,1.08,1999.0,0.88
0,490349,M,Yes,06:07:08,Yes,06:07:08,No,-,15.54,50,1.19,1998.0,0.95
-,490350,A,Yes,K:1:2:3:4:5:6:7:8:9:10:11:12,No,-,No,-,,9,0.69,2017.0,0.79
1,490352,M,Yes,06:07:08,Yes,06:07:08,No,-,23.56,35,1.13,2003.0,0.89
0,490354,H,Yes,9:10:11:12,Yes,9:10:11:12,No,-,6.74,128,1.68,1997.0,0.9
