agency_code,pct_ready_kea_a_cat_code,pct_ready_kea_e_cat_code,pct_ready_kea_i_cat_code,pct_ready_kea_m_cat_code
650312,,4.3,,
650316,,75.5,,
650323,,48.3,,
650324,,73.6,,
650328,,18.2,,
650332,,63.5,63.5,
650339,,85.2,,
650341,,0.0,,
650346,,65.7,,
650348,,32.0,,
650353,,89.5,,
650356,,69.3,,
650362,,66.3,,
650366,,88.6,,
650368,,40.4,,
650380,,71.8,,
650400,,58.5,,
650404,,29.3,,
650408,,91.7,,
650420,,63.0,,
660306,,36.1,,
660320,,25.0,,25.0
660360,,0.0,,
670304,,50.5,,
670308,,23.6,,
670310,,52.5,,
670314,,65.3,,
670321,,36.8,,
670329,,76.9,,
670330,,16.7,,
670332,,45.7,,
670335,,60.0,,
670337,,75.35,,
670338,,22.1,,
670341,,27.8,,
670342,,12.4,,
670343,,31.1,,
670346,,37.2,,
670350,,41.9,,
680308,,75.5,,
680312,,34.7,,
680324,,59.7,,
680328,,0.0,,
680329,,100.0,,
680330,,44.4,,
680336,,92.9,,
681300,,76.4,,
681310,,87.1,,
681311,,35.7,,
681312,,63.5,,
681316,,2.5,,
681320,,96.8,,
681326,,97.7,,
681330,,94.5,,
681332,,83.0,,
681334,,90.4,,
690324,,61.0,,
700306,,15.4,,
700314,,40.7,,
700316,,75.0,,
700318,,25.0,,
700320,,10.3,,
700324,,52.9,,
700328,,8.3,,
710312,,74.7,,
710318,,79.7,,
710328,,,55.8,
710332,,83.6,,
710344,,77.3,77.3,
710347,,100.0,,
720304,,70.1,,
730332,,81.5,,
730334,,45.9,,
730340,,5.0,,
730348,,43.6,,
730354,,78.8,,
730356,,67.3,,
730368,,44.4,,
740304,,80.6,,
740310,,58.7,,
740320,,,37.1,
740330,,57.0,,
740332,,,77.0,
740334,,87.0,,
740336,,64.3,,
740338,,61.4,,
740352,,,28.6,
740358,,,66.7,
740360,,43.4,,
740368,,47.1,,
740375,,73.6,,
740376,,,25.6,
740379,,65.1,,
740380,,10.9,,
740390,,24.2,,
740396,,,55.6,
740400,,33.8,,
740406,,28.1,,
750304,,69.1,,
750314,,57.4,,
750320,,87.5,87.5,
750328,,85.7,,
760304,,71.2,,
760316,,95.8,,
760320,,62.0,,
760324,,69.6,,
760328,,68.3,,
760329,,90.0,,
760330,,71.7,,
760331,,63.2,,
760332,,84.1,,
760336,,60.3,,
760340,,29.6,,
760344,,33.3,,
760356,,50.8,,
760359,,58.5,,
760364,,43.2,,
760368,,46.8,,
760376,,56.9,,
761312,,47.1,,
761320,,95.3,,
761321,,14.5,,
761328,,90.5,,
761332,,16.4,,
770310,,84.3,,
770318,,79.7,,
770340,,75.9,,
770344,,93.6,,
770346,,72.3,,
770368,,55.8,,
770370,,73.5,,
780320,,11.5,,
780322,,27.0,,
780328,,57.9,,
780329,,34.2,,
780340,,52.6,,
780344,,,10.2,
780356,,68.6,,
780360,,,11.5,
780364,,15.8,,
780374,,36.7,,
780376,,50.0,,
780384,,,7.1,
780390,,2.2,,
780392,,24.4,,
780394,,7.5,,
780398,,14.2,,
780400,,0.7,,
780407,,64.0,,
780412,,12.9,,
780416,,27.5,,
780417,,0.0,,
790302,,81.5,,
790310,,16.0,,
790318,,27.3,,
790327,,52.4,,
790334,,69.3,,
790344,,1.3,,
790347,,86.2,,
790350,,44.4,,
790386,,37.1,,
790390,,27.9,,
790398,,94.4,,
790402,,37.7,,
810328,,75.6,,
810336,,62.6,,
810344,,38.0,,
810350,,36.4,,
810360,,47.7,,
810364,,48.2,,
810370,,34.6,,
810388,,24.6,,
810396,,47.4,,
810400,,33.3,,
820312,,27.1,,
820320,,56.0,,
820340,,46.7,,
820346,,33.3,,
820350,,83.3,,
820364,,65.6,,
820376,,51.3,,
820384,,24.1,,
821316,,84.9,,
830312,,2.6,,
830320,4.4,4.4,,
830328,,51.9,,
830356,,0.0,,
830360,,33.3,,
830364,,0.0,,
840304,,35.6,,
840308,59.3,59.3,59.3,
840310,,1.0,,
840312,37.0,37.0,37.0,
840316,,0.0,,
840320,,36.5,36.5,
840324,,90.9,90.9,
