agency_code,target_list_ltg_detail,subgroup_list_ltg_detail
110384,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,WH7"
110388,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
110401,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
110408,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
110410,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
110412,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
110416,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
110420,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
110422,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
110425,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
110428,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
110432,,
110436,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,WH7"
110444,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
110450,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,MU7,SWD,WH7"
110451,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
110500,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
111302,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,SWD,WH7"
111304,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
111306,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
111307,,
111312,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
111332,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
111356,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,HI7,MU7,SWD,WH7"
111360,"Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,WH7"
111369,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
111700,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
11A000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
11B000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
11C000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
11D000,"4 Year Graduation Rate,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,EDS,WH7"
11K000,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
120304,,
120308,4 Year Graduation Rate,"ALL,EDS,WH7"
120310,"4 Year Graduation Rate,Math Grade 11","ALL,WH7"
120312,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,SWD,WH7"
120314,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
120315,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,EDS,ELS,HI7,MU7,SWD,WH7"
120316,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,WH7"
