agency_code,pct_met_act workkeys_part,pct_met_biology_part,pct_met_english ii_part,pct_met_high school math_part,pct_met_math grades 3-8_part,pct_met_reading grades 3-8_part,pct_met_science grades 5&8_part,pct_met_the act_part,pct_met_total targets_part,target_assign_act workkeys_part,target_assign_biology_part,target_assign_english ii_part,target_assign_high school math_part,target_assign_math grades 3-8_part,target_assign_reading grades 3-8_part,target_assign_science grades 5&8_part,target_assign_the act_part,target_assign_total targets_part,target_met_act workkeys_part,target_met_biology_part,target_met_english ii_part,target_met_high school math_part,target_met_math grades 3-8_part,target_met_reading grades 3-8_part,target_met_science grades 5&8_part,target_met_the act_part,target_met_total targets_part
33A000,,0.0,100.0,100.0,100.0,100.0,100.0,100.0,92.6,,2.0,3.0,2.0,7.0,7.0,4.0,2.0,27.0,,0.0,3.0,2.0,7.0,7.0,4.0,2.0,25.0
340308,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,4.0,,16.0,,,,,6.0,6.0,4.0,,16.0
340311,100.0,100.0,100.0,100.0,,,,100.0,100.0,4.0,5.0,5.0,5.0,,,,5.0,24.0,4.0,5.0,5.0,5.0,,,,5.0,24.0
340314,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
340320,,,,,100.0,100.0,100.0,,100.0,,,,,7.0,7.0,4.0,,18.0,,,,,7.0,7.0,4.0,,18.0
340326,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,3.0,,15.0,,,,,6.0,6.0,3.0,,15.0
340330,,75.0,75.0,100.0,,,,25.0,68.8,,4.0,4.0,4.0,,,,4.0,16.0,,3.0,3.0,4.0,,,,1.0,11.0
340334,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,4.0,,14.0,,,,,5.0,5.0,4.0,,14.0
340336,,100.0,100.0,100.0,,,,100.0,100.0,,2.0,2.0,2.0,,,,2.0,8.0,,2.0,2.0,2.0,,,,2.0,8.0
340348,,,,,100.0,100.0,100.0,,100.0,,,,,6.0,6.0,2.0,,14.0,,,,,6.0,6.0,2.0,,14.0
340350,,,,,100.0,100.0,100.0,,100.0,,,,,9.0,9.0,7.0,,25.0,,,,,9.0,9.0,7.0,,25.0
340351,,,,,100.0,100.0,,,100.0,,,,,3.0,3.0,,,6.0,,,,,3.0,3.0,,,6.0
340354,,,,,100.0,100.0,100.0,,100.0,,,,,5.0,5.0,3.0,,13.0,,,,,5.0,5.0,3.0,,13.0
340362,,100.0,100.0,100.0,,,,100.0,100.0,,2.0,2.0,2.0,,,,2.0,8.0,,2.0,2.0,2.0,,,,2.0,8.0
340364,100.0,85.7,100.0,100.0,,,,83.3,93.1,2.0,7.0,7.0,7.0,,,,6.0,29.0,2.0,6.0,7.0,7.0,,,,5.0,27.0
