agency_code,avg_size_00_sar,avg_size_01_sar,avg_size_02_sar,avg_size_03_sar,avg_size_04_sar,avg_size_05_sar,avg_size_06_sar,avg_size_07_sar,avg_size_08_sar,avg_size_biology_sar,avg_size_english ii_sar,avg_size_nc math 1_sar,avg_size_nc math 3_sar
200314,,,,,,,,,,14.0,12.0,10.0,14.0
200320,16.0,6.0,11.0,10.0,14.0,26.0,22.0,16.0,11.0,,,7.0,
200322,,,,,,,,,7.0,6.0,6.0,9.0,10.0
200324,11.0,12.0,12.0,18.0,21.0,24.0,,,,,,,
200328,,,,,,,,,,17.0,24.0,15.0,22.0
200330,,,,,,,14.0,21.0,23.0,,,23.0,
200332,8.0,5.0,16.0,11.0,13.0,9.0,,,,,,,
200336,14.0,14.0,9.0,8.0,14.0,18.0,17.0,16.0,14.0,,,14.0,
200350,,,,,,,,,,14.0,15.0,19.0,21.0
210304,,,,,,,20.0,19.0,25.0,,,29.0,
210306,,,,19.0,21.0,21.0,,,,,,,
210312,,,,,,,,,,18.0,22.0,20.0,21.0
210316,19.0,18.0,18.0,,,,,,,,,,
220308,24.0,18.0,18.0,17.0,23.0,,,,,,,,
220310,,,,,,,,,,17.0,18.0,13.0,12.0
220312,,,,,,29.0,24.0,26.0,28.0,,,26.0,
230304,19.0,15.0,16.0,15.0,21.0,,,,,,,,
230308,17.0,16.0,16.0,14.0,22.0,22.0,,,,,,,
230312,,,,,,,,,,19.0,17.0,21.0,18.0
230316,,,,,,,22.0,19.0,21.0,,,30.0,
230320,19.0,14.0,11.0,14.0,20.0,21.0,,,,,,,
230322,,,,,,,,,,16.0,18.0,18.0,12.0
230324,,,,,,,,,,21.0,23.0,20.0,19.0
230328,,,,,,,23.0,22.0,20.0,,,28.0,
230330,,,,,,,,,,,,7.0,
230334,18.0,14.0,12.0,14.0,13.0,,,,,,,,
230336,,,,,,24.0,23.0,,,,,,
230340,10.0,10.0,11.0,14.0,23.0,18.0,,,,,,,
230342,,,,,9.0,,,,,,,,
230344,13.0,12.0,14.0,12.0,25.0,,,,,,,,
230346,,,,,20.0,,,,,,,,
230348,12.0,16.0,16.0,15.0,22.0,,,,,,,,
230350,,,,,,,,,,16.0,18.0,17.0,20.0
230351,,,,,,24.0,26.0,,,,,,
230352,,,,,,,,25.0,24.0,,,29.0,
230355,10.0,8.0,8.0,9.0,38.0,,,,,,,,
230357,15.0,12.0,12.0,16.0,13.0,,,,,,,,
230361,,,,,,,,,,21.0,20.0,17.0,22.0
230362,,,,,,,,22.0,21.0,,,24.0,
230364,9.0,15.0,16.0,15.0,24.0,27.0,,,,,,,
230368,18.0,13.0,12.0,12.0,19.0,19.0,,,,,,,
230370,12.0,14.0,12.0,17.0,25.0,20.0,,,,,,,
230376,16.0,10.0,13.0,16.0,16.0,19.0,,,,,,,
230380,17.0,12.0,13.0,11.0,21.0,,,,,,,,
23A000,,,,,,,,,,18.0,17.0,22.0,14.0
240304,,,,,,,22.0,17.0,22.0,,,,
240308,16.0,18.0,20.0,15.0,20.0,18.0,,,,,,,
240328,15.0,20.0,17.0,17.0,16.0,18.0,17.0,17.0,23.0,,,,
240332,20.0,15.0,14.0,21.0,21.0,17.0,,,,,,,
240334,,,,,,,,,,15.0,20.0,22.0,17.0
240344,12.0,13.0,13.0,14.0,19.0,27.0,25.0,20.0,19.0,,,,
240352,14.0,10.0,19.0,22.0,16.0,14.0,,,,,,,
