agency_code,lp_school,rlp_school,clpc_school
260448,N,N,N
260449,N,N,N
260450,N,N,N
260452,N,N,N
260454,N,N,N
260455,N,N,N
260459,N,N,N
260700,N,N,N
260LEA,,,
26B000,N,N,N
26C000,Y,N,Y
270304,N,N,N
270306,N,N,N
270308,N,N,N
270309,N,N,N
270310,N,N,N
270311,N,N,N
270312,N,N,N
270316,N,N,N
270318,N,N,N
270320,N,N,N
270LEA,,,
27A000,N,N,N
280302,N,N,N
280304,N,N,N
280306,N,N,N
280308,N,N,N
280310,N,N,N
280312,N,N,N
280316,N,N,N
280320,N,N,N
280324,N,N,N
280328,N,N,N
280330,N,N,N
280LEA,,,
290302,N,N,N
290306,N,N,N
290307,N,N,N
290308,N,N,N
290309,N,N,N
290310,N,N,N
290312,N,N,N
290314,N,N,N
290315,N,N,N
290316,N,N,N
290320,N,N,N
290322,N,N,N
290324,N,N,N
290328,Y,N,N
290330,N,N,N
290332,N,N,N
290333,N,N,N
290334,N,N,N
290336,N,N,N
290344,N,N,N
290348,N,N,N
290349,N,N,N
290350,N,N,N
290351,N,N,N
290352,N,N,N
290356,N,N,N
290364,N,N,N
290365,N,N,N
290366,N,N,N
290367,N,N,N
290375,N,N,N
290376,N,N,N
290380,N,N,N
290384,N,N,N
290388,N,N,N
290389,N,N,N
290LEA,,,
291308,N,N,N
291332,N,Y,N
291336,N,N,N
291340,N,N,N
291348,N,N,N
291350,N,N,N
291352,Y,Y,N
291LEA,,,
292316,Y,Y,N
292318,N,Y,N
292320,N,N,N
292324,N,N,N
292LEA,,,
295300,Y,N,N
298202,N,N,N
298203,N,N,N
298204,N,N,N
29A000,Y,N,N
300306,N,N,N
300308,N,N,N
300310,N,N,N
300312,N,N,N
300314,N,N,N
300320,N,N,N
300325,N,N,N
300326,N,N,N
300328,N,N,N
300330,N,N,N
300336,N,N,N
300337,N,N,N
300LEA,,,
310304,Y,N,N
310308,N,N,N
310330,N,N,N
310336,Y,Y,N
310338,N,N,N
310344,N,N,N
310352,N,N,N
310356,N,N,N
310360,N,N,N
310364,N,N,N
310384,N,N,N
310388,Y,Y,N
310392,N,N,N
310LEA,,,
320304,Y,Y,N
320306,N,Y,N
320308,N,N,N
320309,N,N,N
320310,N,Y,N
320312,N,N,N
320313,N,N,N
320314,N,N,N
320315,N,Y,N
320316,N,N,N
320317,N,N,N
320318,N,N,N
320319,N,N,N
320320,Y,Y,N
320322,N,N,N
320323,N,N,N
320324,N,N,N
320325,N,N,N
320327,N,N,N
320328,N,N,N
320329,N,N,N
320332,N,N,N
320336,N,N,N
320338,Y,Y,N
320339,N,Y,N
320340,N,N,N
320341,N,N,N
320342,N,N,N
320343,N,Y,N
320344,Y,Y,N
320346,Y,Y,N
320347,N,N,N
320348,N,N,N
320352,Y,Y,N
320353,N,N,N
320354,N,N,N
320355,Y,Y,N
320356,N,N,N
320360,Y,Y,N
320362,Y,Y,N
320363,N,N,N
