agency_code,ni_effect3,eff_effect3,he_effect3,ni_pct_effect3,eff_pct_effect3,he_pct_effect3
120318,10,41,12,0.1587301642,0.6507936716,0.190476194
120320,2,14,6,0.0909090936,0.6363636254999999,0.2727272809
120324,0,22,3,0.0,0.8799999951999999,0.1199999973
120334,5,21,5,0.1612903178,0.6774193645000001,0.1612903178
120338,2,12,9,0.0869565234,0.5217391253,0.3913043439
120340,2,20,2,0.0833333358,0.8333333135,0.0833333358
120344,2,12,4,0.1111111119,0.6666666864999999,0.2222222239
120346,6,28,5,0.1538461596,0.7179487348,0.1282051355
120350,3,20,7,0.1000000015,0.6666666864999999,0.2333333343
120352,4,5,4,0.3076923192,0.3846153915,0.3076923192
120354,14,18,5,0.3783783913,0.4864864945,0.1351351291
120360,0,17,6,0.0,0.7391304374,0.2608695626
120364,3,19,3,0.1199999973,0.7599999905,0.1199999973
120368,2,21,9,0.0625,0.65625,0.28125
120370,4,28,18,0.0799999982,0.5600000024,0.3600000143
120372,0,2,3,0.0,0.400000006,0.6000000238000001
120374,3,20,5,0.1071428582,0.7142857313,0.1785714328
120376,3,19,9,0.0967741907,0.6129032373,0.290322572
120380,4,19,10,0.1212121248,0.5757575631,0.30303031210000003
120386,5,20,3,0.1785714328,0.7142857313,0.1071428582
120390,4,19,10,0.1212121248,0.5757575631,0.30303031210000003
130304,5,43,8,0.0892857164,0.7678571343,0.1428571492
130307,10,60,14,0.1190476194,0.7142857313,0.1666666716
130308,0,24,10,0.0,0.7058823705,0.2941176593
130309,0,18,4,0.0,0.8181818128,0.1818181872
130310,4,64,23,0.0439560451,0.703296721,0.2527472675
130311,3,20,7,0.1000000015,0.6666666864999999,0.2333333343
130312,6,47,8,0.0983606577,0.7704917789,0.1311475337
130313,10,38,11,0.1694915295,0.6440678239000001,0.1864406765
130314,6,61,5,0.0833333358,0.8472222090000001,0.0694444478
130315,2,30,7,0.051282052,0.7692307829999999,0.1794871837
130316,8,42,27,0.1038961038,0.5454545617000001,0.3506493568
130317,4,7,2,0.3076923192,0.5384615660000001,0.1538461596
130318,4,42,16,0.0645161271,0.6774193645000001,0.2580645084
130319,8,47,9,0.125,0.734375,0.140625
130320,0,54,15,0.0,0.7826086879,0.2173912972
130321,1,40,12,0.0188679248,0.7547169923999999,0.2264150977
130322,0,19,21,0.0,0.474999994,0.5249999761999999
130323,4,26,11,0.097560972,0.6341463327,0.2682926953
130324,8,44,1,0.1509433985,0.8301886916,0.0188679248
130325,1,37,5,0.0232558139,0.8604651093000001,0.1162790731
130326,0,62,19,0.0,0.7654321194,0.2345678955
130327,5,24,24,0.094339624,0.4528301954,0.4528301954
130328,4,12,5,0.190476194,0.571428597,0.2380952388
130329,6,39,9,0.1111111119,0.7222222090000001,0.1666666716
130330,0,20,6,0.0,0.7692307829999999,0.2307692319
130331,5,31,14,0.1000000015,0.6200000048,0.2800000012
130332,3,52,30,0.0352941193,0.611764729,0.3529411852
130333,0,6,0,0.0,1.0,0.0
130336,2,23,16,0.048780486,0.5609756112,0.3902438879
130337,0,26,19,0.0,0.5777778029,0.4222222269
130338,3,37,25,0.0461538471,0.5692307949000001,0.3846153915
130340,10,36,10,0.1785714328,0.6428571343,0.1785714328
130342,3,36,15,0.055555556,0.6666666864999999,0.277777791
130344,3,23,15,0.073170729,0.5609756112,0.3658536673
130345,8,41,14,0.1269841343,0.6507936716,0.2222222239
130346,1,33,27,0.0163934417,0.5409836173,0.4426229596
130349,1,8,1,0.1000000015,0.8000000119,0.1000000015
130350,0,5,3,0.0,0.625,0.375
130355,0,32,31,0.0,0.5079365373,0.4920634925
132000,0,0,10,0.0,0.0,1.0
132304,8,25,5,0.2105263174,0.6578947306,0.1315789521
132308,8,12,12,0.25,0.375,0.375
132312,4,12,6,0.1818181872,0.5454545617000001,0.2727272809
132314,1,28,11,0.0250000004,0.6999999881,0.275000006
132328,2,20,7,0.068965517,0.6896551847,0.2413793057
132330,8,27,38,0.1095890403,0.3698630035,0.5205479264
132332,1,17,8,0.0384615399,0.6538461447,0.3076923192
132336,2,14,12,0.0714285746,0.5,0.4285714328
13A000,5,20,29,0.0925925896,0.3703703582,0.537037015
13B000,1,8,5,0.0714285746,0.571428597,0.3571428657
13D000,1,0,0,1.0,0.0,0.0
140304,5,15,4,0.2083333284,0.625,0.1666666716
