agency_code,pct_enrolled_am7_charter,pct_enrolled_as7_charter,pct_enrolled_bl7_charter,pct_enrolled_eds_charter,pct_enrolled_els_charter,pct_enrolled_hi7_charter,pct_enrolled_mu7_charter,pct_enrolled_pi7_charter,pct_enrolled_swd_charter,pct_enrolled_wh7_charter
90A000,5.0,5.0,8.8,5.0,5.0,12.7,6.1,5.0,10.1,70.3
90B000,5.0,11.2,6.4,5.0,5.0,12.1,5.7,5.0,11.0,64.2
90C000,5.0,5.0,20.6,25.0,5.1,17.3,5.8,5.0,11.5,53.8
90D000,5.0,5.0,52.4,33.3,5.0,22.6,8.3,5.0,6.0,16.7
90F000,5.0,5.0,8.6,21.2,5.0,22.1,5.0,5.0,5.0,63.1
910000,5.0,5.0,65.2,59.6,6.5,15.6,5.0,5.0,13.6,14.4
91A000,5.0,5.0,9.2,5.0,5.0,5.0,5.5,5.0,9.1,78.2
91B000,5.0,5.0,63.9,39.0,7.1,21.7,6.2,5.0,5.6,5.6
920000,5.0,9.7,22.4,28.8,8.4,18.7,5.0,5.0,11.9,45.1
92B000,5.0,5.0,11.3,5.0,5.0,6.7,10.3,5.0,15.3,69.3
92D000,5.0,6.4,5.0,5.0,5.0,5.0,10.3,5.0,13.5,76.9
92E000,5.0,41.5,6.2,5.0,5.0,5.0,5.0,5.0,9.8,41.0
92F000,5.0,5.0,5.8,5.0,5.0,5.0,5.0,5.0,5.9,81.7
92G000,5.0,5.0,9.8,5.0,5.0,7.4,5.0,5.0,9.3,77.5
92K000,5.0,25.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,60.3
92L000,5.0,5.0,55.2,46.7,26.3,40.9,5.0,5.0,8.1,5.0
92M000,5.0,5.0,69.2,65.3,10.6,23.2,5.0,5.0,16.8,5.0
92N000,5.0,5.0,5.0,5.0,5.0,5.0,19.0,5.0,14.8,70.4
92P000,5.0,5.0,7.1,5.0,5.0,6.2,8.6,5.0,27.4,76.6
92R000,5.0,5.7,16.6,5.0,10.6,40.9,5.0,5.0,7.8,32.9
92S000,5.0,5.3,5.8,5.0,5.0,5.0,5.5,5.0,12.3,79.7
92T000,5.0,36.6,14.2,5.0,5.0,5.5,8.1,5.0,8.1,35.7
92U000,5.0,5.0,21.0,5.0,5.0,8.9,6.1,5.0,16.4,62.5
92V000,5.0,5.0,17.3,10.5,5.0,10.9,5.0,5.0,9.5,64.8
92W000,5.0,14.8,18.7,14.8,6.0,12.8,13.3,5.0,9.6,39.5
92Y000,5.0,5.0,13.4,5.0,5.0,6.5,6.5,5.0,12.2,69.7
930000,7.5,5.0,63.8,50.6,5.0,9.4,5.0,5.0,17.3,14.2
