agency_code,count_2018_enroll_am7_college,count_2018_enroll_as7_college,count_2018_enroll_all_college,count_2018_enroll_bl7_college,count_2018_enroll_eds_college,count_2018_enroll_els_college,count_2018_enroll_fem_college,count_2018_enroll_hi7_college,count_2018_enroll_male_college,count_2018_enroll_mu7_college,count_2018_enroll_pi7_college,count_2018_enroll_swd_college,count_2018_enroll_wh7_college,count_2018_noenro_am7_college,count_2018_noenro_as7_college,count_2018_noenro_all_college,count_2018_noenro_bl7_college,count_2018_noenro_eds_college,count_2018_noenro_els_college,count_2018_noenro_fem_college,count_2018_noenro_hi7_college,count_2018_noenro_male_college,count_2018_noenro_mu7_college,count_2018_noenro_pi7_college,count_2018_noenro_swd_college,count_2018_noenro_wh7_college,pct_enrolled_2018_enroll_am7_college,pct_enrolled_2018_enroll_as7_college,pct_enrolled_2018_enroll_all_college,pct_enrolled_2018_enroll_bl7_college,pct_enrolled_2018_enroll_eds_college,pct_enrolled_2018_enroll_els_college,pct_enrolled_2018_enroll_fem_college,pct_enrolled_2018_enroll_hi7_college,pct_enrolled_2018_enroll_male_college,pct_enrolled_2018_enroll_mu7_college,pct_enrolled_2018_enroll_swd_college,pct_enrolled_2018_enroll_wh7_college,pct_enrolled_2018_noenro_am7_college,pct_enrolled_2018_noenro_as7_college,pct_enrolled_2018_noenro_all_college,pct_enrolled_2018_noenro_bl7_college,pct_enrolled_2018_noenro_eds_college,pct_enrolled_2018_noenro_els_college,pct_enrolled_2018_noenro_fem_college,pct_enrolled_2018_noenro_hi7_college,pct_enrolled_2018_noenro_male_college,pct_enrolled_2018_noenro_mu7_college,pct_enrolled_2018_noenro_swd_college,pct_enrolled_2018_noenro_wh7_college
09A000,0.0,,5.0,4.0,,,3.0,,2.0,1.0,,1.0,,1.0,,6.0,5.0,,,1.0,,5.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
100307,,2.0,38.0,2.0,12.0,,20.0,6.0,18.0,4.0,,1.0,24.0,,0.0,10.0,0.0,2.0,,7.0,0.0,3.0,1.0,,0.0,9.0,,,0.7916666667,,0.8571428570999999,,0.7407407407,,0.8571428570999999,,,0.7272727273,,,0.05,,,,,,,,,
100308,,,5.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,,1.0,5.0,,,23.0,4.0,17.0,1.0,12.0,2.0,11.0,3.0,,4.0,14.0,,,,,,,,,,,,,,,0.05,,0.05,,0.05,,0.05,,,0.05
100326,1.0,3.0,140.0,40.0,66.0,2.0,82.0,16.0,58.0,5.0,0.0,6.0,75.0,2.0,0.0,113.0,34.0,65.0,1.0,41.0,11.0,72.0,3.0,2.0,23.0,61.0,,,0.5533596838,0.5405405405,0.5038167939,,0.6666666667,0.5925925926,0.4461538462,,,0.5514705882000001,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
100334,1.0,1.0,173.0,12.0,55.0,1.0,99.0,5.0,74.0,7.0,2.0,4.0,145.0,0.0,0.0,101.0,15.0,51.0,1.0,27.0,4.0,74.0,4.0,0.0,16.0,78.0,,,0.6313868613,0.4444444444,0.5188679245000001,,0.7857142856999999,,0.5,,,0.6502242152000001,,,0.05,0.05,0.05,,0.05,,0.05,,0.05,0.05
100348,0.0,1.0,186.0,15.0,64.0,1.0,94.0,14.0,92.0,3.0,,4.0,153.0,1.0,0.0,153.0,38.0,90.0,2.0,53.0,25.0,100.0,6.0,,27.0,83.0,,,0.5486725664000001,0.2830188679,0.4155844156,,0.6394557823,0.358974359,0.4791666667,,,0.6483050847,,,0.05,0.05,0.05,,0.05,0.05,0.05,,0.05,0.05
110303,,,8.0,2.0,7.0,0.0,5.0,0.0,3.0,1.0,,1.0,5.0,,,49.0,9.0,39.0,1.0,26.0,3.0,23.0,5.0,,13.0,32.0,,,,,,,,,,,,,,,0.05,,0.05,,0.05,,0.05,,0.05,0.05
110304,,7.0,180.0,19.0,54.0,0.0,97.0,18.0,83.0,8.0,,10.0,128.0,,2.0,95.0,6.0,46.0,4.0,32.0,18.0,63.0,8.0,,23.0,61.0,,,0.6545454545,0.76,0.54,,0.7519379845,0.5,0.5684931507,,0.303030303,0.6772486772,,,0.05,,0.05,,0.05,0.05,0.05,,0.05,0.05
110322,,3.0,37.0,1.0,11.0,,23.0,7.0,14.0,,,,26.0,,1.0,16.0,0.0,6.0,,10.0,1.0,6.0,,,,14.0,,,0.6981132075,,0.6470588235,,0.696969697,,0.7,,,0.65,,,0.05,,,,0.05,,,,,0.05
110323,,1.0,25.0,2.0,6.0,,23.0,2.0,2.0,2.0,,0.0,18.0,,0.0,29.0,2.0,7.0,,16.0,1.0,13.0,2.0,,3.0,24.0,,,0.462962963,,,,0.5897435897,,,,,0.4285714286,,,0.05,,,,0.05,,0.05,,,0.05
