agency_code,num_concentrators_aavc_cte_con,num_concentrators_agnr_cte_con,num_concentrators_arch_cte_con,num_concentrators_bma_cte_con,num_concentrators_educ_cte_con,num_concentrators_fina_cte_con,num_concentrators_hlth_cte_con,num_concentrators_hosp_cte_con,num_concentrators_huma_cte_con,num_concentrators_info_cte_con,num_concentrators_law_cte_con,num_concentrators_manu_cte_con,num_concentrators_mrkt_cte_con,num_concentrators_stem_cte_con,num_concentrators_tran_cte_con
290308,,36.0,41.0,15.0,,8.0,53.0,20.0,1.0,13.0,,1.0,11.0,15.0,2.0
290314,,8.0,3.0,8.0,,,2.0,2.0,,1.0,1.0,1.0,4.0,,1.0
290324,11.0,50.0,17.0,18.0,,18.0,38.0,27.0,5.0,36.0,2.0,22.0,5.0,,1.0
290336,,49.0,41.0,16.0,,4.0,48.0,23.0,,8.0,,,,7.0,
290348,1.0,106.0,14.0,22.0,,1.0,49.0,29.0,1.0,37.0,,1.0,8.0,17.0,
290365,2.0,30.0,2.0,11.0,,,26.0,18.0,,15.0,,1.0,1.0,,
290388,,74.0,,19.0,,13.0,42.0,33.0,,19.0,,,,6.0,
290389,2.0,,9.0,18.0,,,2.0,,,1.0,2.0,9.0,14.0,7.0,3.0
291336,,,14.0,17.0,,,20.0,24.0,,7.0,1.0,2.0,2.0,4.0,
292324,,1.0,23.0,17.0,,,18.0,10.0,,19.0,1.0,,6.0,,1.0
300312,22.0,29.0,30.0,5.0,7.0,1.0,31.0,25.0,9.0,8.0,,7.0,3.0,18.0,15.0
310338,1.0,,2.0,2.0,,,,,,4.0,,,,,
310344,,57.0,1.0,29.0,,,40.0,22.0,,18.0,,5.0,,27.0,37.0
310352,1.0,52.0,21.0,30.0,,,25.0,24.0,,11.0,,1.0,2.0,,13.0
310364,,30.0,3.0,1.0,,,16.0,5.0,,7.0,,,,1.0,7.0
310392,,26.0,25.0,19.0,,,38.0,,,21.0,,,1.0,,19.0
320312,,62.0,5.0,12.0,,1.0,,33.0,,4.0,,,7.0,1.0,
320317,,,,,,,75.0,,,,1.0,,,,
320322,,1.0,2.0,4.0,,,1.0,1.0,3.0,,,,,,
320323,12.0,,,,,,,,,1.0,,,,,
320325,14.0,,1.0,19.0,,22.0,,,1.0,23.0,,,1.0,,
320341,,1.0,,,,,,1.0,,,,,,,
320353,,,2.0,,,,,,,1.0,,,,1.0,
320356,,26.0,,2.0,,,,34.0,,1.0,2.0,1.0,5.0,1.0,13.0
320365,,15.0,1.0,8.0,,,,12.0,,7.0,,,2.0,87.0,
320368,,1.0,24.0,27.0,,13.0,43.0,3.0,,,,,12.0,17.0,17.0
320701,6.0,,,,,,,,,4.0,,,,2.0,
32L000,,,,6.0,1.0,,,1.0,,8.0,,,4.0,,
330328,,11.0,1.0,8.0,,,,4.0,3.0,,,,,,
330350,,73.0,3.0,9.0,2.0,7.0,17.0,53.0,2.0,15.0,,16.0,3.0,3.0,1.0
330358,,7.0,1.0,42.0,5.0,,26.0,9.0,3.0,13.0,,1.0,27.0,1.0,
33A000,,1.0,2.0,2.0,,,3.0,,,2.0,4.0,,,4.0,1.0
340311,71.0,,1.0,,,,77.0,1.0,4.0,1.0,,,,71.0,3.0
340330,,,4.0,3.0,,,2.0,19.0,,2.0,,,,,1.0
340336,,,2.0,,,,,,,3.0,,,,,3.0
340362,,,,1.0,,,,,,,,,,,
340364,6.0,,7.0,24.0,,27.0,27.0,26.0,4.0,4.0,,2.0,,18.0,7.0
340382,4.0,,4.0,7.0,,3.0,30.0,2.0,4.0,7.0,,,1.0,1.0,6.0
340446,,,,,,,,,,1.0,,,,1.0,
340454,7.0,6.0,6.0,5.0,,2.0,9.0,43.0,7.0,,,1.0,,10.0,7.0
340460,2.0,4.0,1.0,14.0,,,16.0,12.0,,6.0,,1.0,5.0,11.0,6.0
340486,,1.0,,1.0,,3.0,5.0,2.0,4.0,2.0,,,,8.0,3.0
340488,1.0,7.0,12.0,2.0,,,8.0,13.0,,3.0,,,,,1.0
340495,12.0,4.0,2.0,9.0,,1.0,20.0,15.0,1.0,11.0,,1.0,2.0,11.0,9.0
340496,6.0,1.0,4.0,2.0,,1.0,13.0,11.0,9.0,,,2.0,1.0,9.0,5.0
340542,5.0,,2.0,,,,20.0,1.0,1.0,2.0,7.0,,,7.0,6.0
340556,11.0,,23.0,31.0,,24.0,26.0,22.0,4.0,12.0,,3.0,6.0,9.0,14.0
340568,,,,1.0,,,3.0,1.0,1.0,,,,,,
34H000,,,,,1.0,,,,,,,,,,
350308,7.0,23.0,17.0,19.0,,,11.0,31.0,,21.0,1.0,5.0,1.0,,
350317,,,,1.0,,,,,,,,,,,
350321,18.0,33.0,12.0,11.0,,,14.0,17.0,,16.0,,4.0,7.0,2.0,
350336,,21.0,4.0,7.0,,,11.0,9.0,,10.0,6.0,,,,19.0
360310,,54.0,37.0,27.0,,1.0,21.0,52.0,,14.0,,,12.0,,
360336,8.0,,38.0,14.0,,,9.0,,12.0,23.0,1.0,,1.0,1.0,
360360,12.0,13.0,18.0,14.0,,,35.0,12.0,,5.0,6.0,,1.0,13.0,
360372,,1.0,,,,,,,,,,,,,
360378,12.0,1.0,1.0,23.0,,,22.0,5.0,,13.0,5.0,23.0,5.0,9.0,
360390,,22.0,26.0,,2.0,,14.0,24.0,,,,,,,13.0
360396,1.0,29.0,21.0,25.0,,1.0,17.0,15.0,12.0,29.0,1.0,,,,
360418,20.0,,8.0,17.0,,17.0,43.0,,,43.0,26.0,,,3.0,
360428,10.0,46.0,26.0,14.0,,,15.0,39.0,4.0,7.0,14.0,3.0,3.0,,
360470,,21.0,9.0,7.0,,,20.0,13.0,15.0,1.0,1.0,3.0,,10.0,9.0
360494,,13.0,33.0,1.0,,,7.0,7.0,15.0,16.0,,1.0,,,
36C000,,,,3.0,,,,1.0,,,,,3.0,,
370312,,28.0,,,,,17.0,10.0,,2.0,,3.0,,1.0,
