agency_code,pct_prof_6gr_irm,pct_prof_9gr_irm
600480,,40.3
600481,35.5,
600482,55.9,73.6
600488,45.5,
600490,,25.9
600492,73.5,
600496,,38.9
600497,78.2,
600498,,9.5
600499,,33.3
600508,,79.2
600509,36.2,
600513,81.9,
600514,17.9,
600515,6.9,
600518,35.6,
600520,17.6,
600532,67.5,
600535,,42.4
600537,69.6,
600538,36.2,
600553,11.5,
600567,,66.7
600569,,61.7
600574,23.3,
600576,,16.1
600579,,18.1
600582,,48.8
600583,16.4,
600592,,17.2
60302,,45.6
60310,64.3,
60318,53.2,
60701,,32.0
60B000,40.3,54.2
60D000,80.6,72.7
60F000,83.7,
60G000,59.3,39.0
60I000,72.5,67.3
60J000,62.9,
60K000,38.9,18.8
60L000,23.8,
60M000,67.6,50.0
60Q000,28.9,
60S000,44.7,44.9
60V000,6.3,12.5
60Y000,40.6,
610302,53.5,
610326,61.3,
610332,,53.6
610334,,39.7
61K000,8.7,
61M000,48.4,
61N000,57.4,
61P000,28.6,
61Q000,38.4,
61R000,39.0,
61U000,6.3,5.0
61X000,45.0,17.6
620314,34.6,
620316,,19.8
620339,31.2,
620340,,17.6
620350,,59.3
630317,41.5,
630320,16.5,
630328,46.9,
630331,50.8,
630332,,34.4
630336,,49.7
630350,40.4,
630360,,40.6
630374,65.7,
630376,35.0,
63B000,54.5,33.3
640320,37.2,
640329,29.1,
640334,14.3,
640335,22.5,
640342,,11.4
640346,,21.0
640347,,66.1
640350,,32.9
640358,35.2,
640361,,19.6
640362,28.1,
640364,,27.6
64A000,21.2,11.3
650310,65.6,
650325,51.6,
650326,,49.4
650327,,52.6
650332,47.1,
650340,,88.9
650342,,60.0
650343,46.1,
650350,65.5,
650351,57.8,
650352,,36.3
650354,9.1,5.0
650355,,11.1
650364,70.6,
650392,30.0,
650394,,83.3
650395,,61.8
65A000,65.2,
65B000,23.1,
65D000,37.5,
65F000,40.5,
65G000,50.0,
65Z000,26.5,
660308,16.7,
660325,22.4,
660336,,11.1
660400,,46.7
66A000,31.6,80.3
670300,,95.0
670318,48.0,
670320,,40.1
670322,36.9,
670324,,36.6
670325,37.2,
670331,52.8,
670333,,34.8
670336,46.3,
670340,,36.9
670344,,31.8
670345,37.2,
670351,48.7,
670352,,48.4
670356,41.5,
670364,,30.4
67B000,16.7,
680304,43.8,
680310,,55.1
680316,56.3,
680327,46.9,
680332,,43.0
681305,,61.7
681308,,64.2
681309,65.2,
681314,,69.4
681322,68.7,
681324,63.4,
681336,67.7,
68A000,55.6,59.0
68C000,80.5,
690316,25.9,
690320,,42.5
69A000,40.0,25.0
700308,42.3,
700317,,28.8
700319,,10.8
700322,37.6,
700325,,52.3
70308,58.7,
70311,,75.8
70325,36.7,
70329,29.1,
70330,,33.8
70338,39.0,
70339,,35.6
70340,41.2,
70342,,22.8
70A000,,55.9
710316,45.2,
710320,47.9,
710321,,22.2
710326,,23.0
710327,,94.0
710328,36.8,
710342,,54.4
710346,60.4,
710348,33.8,
710352,57.3,
720316,,30.3
720320,46.6,
730344,43.8,
730350,,25.5
730352,,20.5
730360,49.0,
73B000,72.9,59.8
740302,48.9,
740308,47.6,
740309,,22.4
740320,42.9,
740324,27.2,
740332,55.9,
740333,,55.6
740337,38.7,
740340,33.5,
740344,,29.1
740352,13.8,
740358,33.3,
740362,68.4,
740366,,28.0
740374,,18.4
740376,28.1,
740388,,30.1
740396,31.8,
740402,24.1,
740500,,62.5
740501,,72.3
74B000,15.8,
74C000,33.3,
750317,,76.9
750318,,55.1
750319,72.0,
760308,54.0,
760318,,15.7
760338,43.2,
760339,,30.8
760348,,28.7
760352,37.9,
760354,,76.9
760357,45.3,
760358,,40.2
760360,40.5,
760380,,36.4
760382,44.8,12.0
760388,,42.1
761304,,41.0
761308,46.5,
761336,35.5,
76A000,47.4,43.1
770316,44.3,
770328,41.8,
770349,,80.8
770351,,27.6
770360,36.9,
770364,42.3,
780320,26.3,
780324,35.4,
780325,,23.4
780326,11.4,
780330,25.1,
780336,38.3,
780342,,19.1
780344,21.9,
780352,16.5,
780356,10.9,
780360,25.0,
780368,24.1,
780376,17.8,
780384,33.0,
780385,,79.6
780391,,17.5
780393,16.4,
780396,13.2,
780401,,25.4
780402,,9.4
780403,21.2,
780410,10.0,
780412,20.7,
780416,25.0,
780420,,20.3
78A000,17.9,
78B000,65.4,
790314,,38.3
790330,42.7,
790354,,31.6
790366,,28.0
790374,41.0,
790378,,48.8
790379,,72.7
790380,48.8,
790394,50.3,
79A000,66.0,30.8
800308,,5.0
800314,39.8,
800320,43.8,
800328,41.6,
800340,,17.4
800361,,25.8
800363,15.3,
800376,,9.4
800377,18.0,
800394,,60.3
800396,,15.9
800398,31.3,
800400,,20.5
800408,,23.3
800410,38.3,
80311,,50.0
80312,,16.5
80314,48.8,
810324,,40.0
810326,56.1,
810340,,32.2
810342,52.3,
810378,53.5,
810384,,41.5
810385,,95.0
810386,,20.0
81A000,74.5,90.8
81B000,58.3,47.4
820324,,86.9
820347,64.5,
820348,,30.1
820349,,33.3
820352,,56.4
820354,72.8,
820370,42.1,
820372,53.1,
820388,,26.1
821308,,33.0
821320,44.3,
830304,31.1,
830343,,29.2
830348,,89.8
830349,37.3,
840302,,26.9
840303,32.8,
