agency_code,pct_met_4 year graduation rate_ltg,pct_met_el progress_ltg,pct_met_math grade 11_ltg,pct_met_math grades 3-8_ltg,pct_met_reading grade 10_ltg,pct_met_reading grades 3-8_ltg,pct_met_total targets_ltg,target_assign_4 year graduation rate_ltg,target_assign_el progress_ltg,target_assign_math grade 11_ltg,target_assign_math grades 3-8_ltg,target_assign_reading grade 10_ltg,target_assign_reading grades 3-8_ltg,target_assign_total targets_ltg,target_met_4 year graduation rate_ltg,target_met_el progress_ltg,target_met_math grade 11_ltg,target_met_math grades 3-8_ltg,target_met_reading grade 10_ltg,target_met_reading grades 3-8_ltg,target_met_total targets_ltg
760382,,,,0.0,,0.0,0.0,,,,4.0,,4.0,8.0,,,,0.0,,0.0,0.0
760388,0.0,,66.7,,0.0,,22.2,3.0,,3.0,,3.0,,9.0,0.0,,2.0,,0.0,,2.0
761304,0.0,0.0,66.7,,57.1,,38.1,7.0,1.0,6.0,,7.0,,21.0,0.0,0.0,4.0,,4.0,,8.0
761308,,0.0,,12.5,,62.5,35.3,,1.0,,8.0,,8.0,17.0,,0.0,,1.0,,5.0,6.0
761312,,100.0,,80.0,,100.0,90.9,,1.0,,5.0,,5.0,11.0,,1.0,,4.0,,5.0,10.0
761320,,100.0,,0.0,,71.4,40.0,,1.0,,7.0,,7.0,15.0,,1.0,,0.0,,5.0,6.0
761321,,100.0,,0.0,,0.0,9.1,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,0.0,1.0
761328,,100.0,,0.0,,16.7,15.4,,1.0,,6.0,,6.0,13.0,,1.0,,0.0,,1.0,2.0
761332,,0.0,,0.0,,28.6,13.3,,1.0,,7.0,,7.0,15.0,,0.0,,0.0,,2.0,2.0
761336,,0.0,,14.3,,14.3,13.3,,1.0,,7.0,,7.0,15.0,,0.0,,1.0,,1.0,2.0
76A000,50.0,,0.0,0.0,0.0,0.0,7.1,2.0,,2.0,4.0,2.0,4.0,14.0,1.0,,0.0,0.0,0.0,0.0,1.0
770310,,100.0,,0.0,,28.6,20.0,,1.0,,7.0,,7.0,15.0,,1.0,,0.0,,2.0,3.0
770316,,,,14.3,,14.3,14.3,,,,7.0,,7.0,14.0,,,,1.0,,1.0,2.0
770318,,,,20.0,,40.0,30.0,,,,5.0,,5.0,10.0,,,,1.0,,2.0,3.0
770328,,,,28.6,,14.3,21.4,,,,7.0,,7.0,14.0,,,,2.0,,1.0,3.0
770340,,,,0.0,,0.0,0.0,,,,5.0,,5.0,10.0,,,,0.0,,0.0,0.0
770342,0.0,,,,,,0.0,4.0,,,,,,4.0,0.0,,,,,,0.0
770344,,100.0,,14.3,,85.7,53.3,,1.0,,7.0,,7.0,15.0,,1.0,,1.0,,6.0,8.0
770346,,,,0.0,,60.0,30.0,,,,5.0,,5.0,10.0,,,,0.0,,3.0,3.0
770348,0.0,,83.3,,16.7,,33.3,6.0,,6.0,,6.0,,18.0,0.0,,5.0,,1.0,,6.0
770349,0.0,,100.0,,100.0,,83.3,1.0,,2.0,,3.0,,6.0,0.0,,2.0,,3.0,,5.0
770360,,,,14.3,,71.4,42.9,,,,7.0,,7.0,14.0,,,,1.0,,5.0,6.0
770364,,,,83.3,,66.7,75.0,,,,6.0,,6.0,12.0,,,,5.0,,4.0,9.0
770368,,,,20.0,,80.0,50.0,,,,5.0,,5.0,10.0,,,,1.0,,4.0,5.0
770370,,,,0.0,,0.0,0.0,,,,5.0,,5.0,10.0,,,,0.0,,0.0,0.0
780320,,,,0.0,,100.0,50.0,,,,3.0,,3.0,6.0,,,,0.0,,3.0,3.0
780322,,100.0,,100.0,,66.7,85.7,,1.0,,3.0,,3.0,7.0,,1.0,,3.0,,2.0,6.0
780324,,,,0.0,,40.0,20.0,,,,5.0,,5.0,10.0,,,,0.0,,2.0,2.0
780325,20.0,,0.0,,50.0,,21.4,5.0,,5.0,,4.0,,14.0,1.0,,0.0,,2.0,,3.0
780326,,,,0.0,,16.7,8.3,,,,6.0,,6.0,12.0,,,,0.0,,1.0,1.0
780328,,,,0.0,,50.0,25.0,,,,2.0,,2.0,4.0,,,,0.0,,1.0,1.0
780329,,0.0,,0.0,,0.0,0.0,,1.0,,2.0,,2.0,5.0,,0.0,,0.0,,0.0,0.0
780330,,0.0,,0.0,,25.0,11.8,,1.0,,8.0,,8.0,17.0,,0.0,,0.0,,2.0,2.0
780336,,100.0,,11.1,,66.7,42.1,,1.0,,9.0,,9.0,19.0,,1.0,,1.0,,6.0,8.0
780340,,,,83.3,,66.7,75.0,,,,6.0,,6.0,12.0,,,,5.0,,4.0,9.0
780341,,,,0.0,,12.5,6.3,,,,8.0,,8.0,16.0,,,,0.0,,1.0,1.0
780342,12.5,0.0,42.9,,25.0,,25.0,8.0,1.0,7.0,,8.0,,24.0,1.0,0.0,3.0,,2.0,,6.0
780344,,100.0,,87.5,,87.5,88.2,,1.0,,8.0,,8.0,17.0,,1.0,,7.0,,7.0,15.0
780352,,,,0.0,,0.0,0.0,,,,6.0,,6.0,12.0,,,,0.0,,0.0,0.0
780356,,,,25.0,,25.0,25.0,,,,4.0,,4.0,8.0,,,,1.0,,1.0,2.0
780360,,,,0.0,,0.0,0.0,,,,8.0,,8.0,16.0,,,,0.0,,0.0,0.0
780364,,,,0.0,,25.0,12.5,,,,4.0,,4.0,8.0,,,,0.0,,1.0,1.0
780368,,,,28.6,,42.9,35.7,,,,7.0,,7.0,14.0,,,,2.0,,3.0,5.0
780374,,100.0,,0.0,,66.7,38.5,,1.0,,6.0,,6.0,13.0,,1.0,,0.0,,4.0,5.0
780376,,0.0,,0.0,,0.0,0.0,,1.0,,7.0,,7.0,15.0,,0.0,,0.0,,0.0,0.0
780384,,,,25.0,,0.0,12.5,,,,4.0,,4.0,8.0,,,,1.0,,0.0,1.0
780385,100.0,,0.0,,100.0,,66.7,1.0,,1.0,,1.0,,3.0,1.0,,0.0,,1.0,,2.0
780390,,,,0.0,,25.0,12.5,,,,4.0,,4.0,8.0,,,,0.0,,1.0,1.0
780391,20.0,0.0,80.0,,80.0,,56.3,5.0,1.0,5.0,,5.0,,16.0,1.0,0.0,4.0,,4.0,,9.0
780392,,100.0,,0.0,,0.0,9.1,,1.0,,5.0,,5.0,11.0,,1.0,,0.0,,0.0,1.0
780393,,0.0,,0.0,,0.0,0.0,,1.0,,8.0,,8.0,17.0,,0.0,,0.0,,0.0,0.0
780394,,,,0.0,,40.0,20.0,,,,5.0,,5.0,10.0,,,,0.0,,2.0,2.0
780396,,,,25.0,,0.0,12.5,,,,4.0,,4.0,8.0,,,,1.0,,0.0,1.0
780398,,100.0,,0.0,,0.0,14.3,,1.0,,3.0,,3.0,7.0,,1.0,,0.0,,0.0,1.0
780400,,100.0,,0.0,,12.5,11.8,,1.0,,8.0,,8.0,17.0,,1.0,,0.0,,1.0,2.0
780401,42.9,0.0,0.0,,0.0,,15.0,7.0,1.0,6.0,,6.0,,20.0,3.0,0.0,0.0,,0.0,,3.0
780402,0.0,,75.0,,50.0,,45.5,3.0,,4.0,,4.0,,11.0,0.0,,3.0,,2.0,,5.0
780403,,0.0,,37.5,,37.5,35.3,,1.0,,8.0,,8.0,17.0,,0.0,,3.0,,3.0,6.0
780407,,,,0.0,,0.0,0.0,,,,2.0,,2.0,4.0,,,,0.0,,0.0,0.0
780410,,,,0.0,,0.0,0.0,,,,5.0,,5.0,10.0,,,,0.0,,0.0,0.0
