agency_code,pct_gce_all_rta,pct_gce_rpf_rta,pct_gce_swd_rta,pct_passed_eog_rta,pct_passed_laa_rta,pct_passed_rta_rta,pct_promoted_rta,pct_retained_rta
320339,18.1,,,33.7,,,77.1,22.9
320340,21.8,,21.8,49.1,,,76.4,23.6
320344,,,,,,,26.8,73.2
320347,,,,76.8,,,83.9,
320348,,,,78.1,,,93.8,
320352,16.7,,13.7,29.4,,,69.6,30.4
320354,,,,68.3,,,82.9,
320360,22.2,,,41.4,,,68.7,31.3
320362,,,,45.2,,,73.1,26.9
320363,13.3,,13.3,49.4,,,66.3,33.7
320364,,,,75.4,,,83.3,16.7
320367,,,,44.1,,,76.3,23.7
320369,,,,53.5,,,76.7,23.3
320372,,,,40.4,,,79.8,20.2
320374,,,,22.2,,,48.1,51.9
320376,,,,40.6,,,59.4,40.6
320388,,,,39.1,,,59.4,40.6
320400,,,,31.4,,,35.3,64.7
32A000,,,,71.2,,,80.8,19.2
32B000,,,,41.3,,,65.2,34.8
32C000,,,,,,,41.4,58.6
32D000,,,,63.1,,,67.7,32.3
32H000,,,,44.0,,,78.6,21.4
32K000,15.9,,15.9,66.7,,,93.7,
32L000,15.6,10.4,,79.2,,,95.0,
32M000,,,,54.2,,,95.0,
32P000,,,,,,,81.6,
32Q000,,,,,,,56.8,43.2
32R000,,,,65.9,,,75.8,24.2
330304,15.5,9.1,,48.2,,,87.3,12.7
330308,19.1,,,43.8,,,85.4,14.6
330312,,,,38.8,,,89.8,
330334,,,,48.1,,,85.2,
330354,18.4,,17.3,22.4,,,76.5,23.5
330360,21.1,,,43.7,,,83.1,16.9
33A000,15.2,,,48.5,,,93.9,
340308,,,,,,,29.6,70.4
340314,,,,36.9,,,58.5,41.5
340320,13.3,,,67.3,,,86.7,13.3
340326,10.0,,10.0,63.3,,,90.8,9.2
340334,9.0,,9.0,57.7,,,83.8,16.2
340348,,,,79.6,,,95.0,
340351,,,,,,,43.8,56.3
340354,,,,69.0,,,88.1,
340368,,,,18.8,,11.8,37.6,62.4
