agency_code,asm_option,subgroup,ma_score,ma_score_masking,ma_grade,rd_score,rd_score_masking,rd_grade,sc_score,sc_score_masking,m1_score,m1_score_masking,e2_score,e2_score_masking,bi_score,bi_score_masking,act_score,act_score_masking,wk_score,wk_score_masking,mcr_score,mcr_score_masking,cgrs_score,cgrs_score_masking,ach_score,ach_score_masking,eg_status,eg_score,spg_score,spg_grade,ma_spg_score,rd_spg_score,ma_eg_status,rd_eg_status,ma_eg_score,rd_eg_score
491303,,ALL,76.0,,B,66.0,,C,84.0,,,,,,,,,,,,,,,,73.0,,Met,82.7,75.0,B,78.0,66.0,Exceeded,NotMet,88.2,68.0
491306,,ALL,69.0,,C,67.0,,C,76.0,,,,,,,,,,,,,,,,69.0,,NotMet,58.8,67.0,C,67.0,68.0,NotMet,Met,59.1,71.8
491308,,ALL,57.0,,C,63.0,,C,82.0,,95.0,1.0,,,,,,,,,,,,,67.0,,NotMet,58.6,65.0,C,57.0,63.0,NotMet,NotMet,58.1,65.4
491312,,ALL,,,,,,,,,67.0,,76.0,,73.0,,72.0,,87.0,,95.0,1.0,93.0,,80.0,,Exceeded,97.6,84.0,B,,,,,,
491316,,ALL,77.0,,B,67.0,,B,,,,,,,,,,,,,,,,,72.0,,Met,81.5,74.0,B,77.0,70.0,,Met,,81.5
491318,,ALL,91.0,,A,81.0,,B,,,,,,,,,,,,,,,,,86.0,,Met,76.8,86.0,A+NG,91.0,80.0,,Met,,76.8
491320,,ALL,66.0,,C,65.0,,C,,,,,,,,,,,,,,,,,65.0,,Met,82.1,69.0,C,66.0,68.0,,Met,,82.1
500302,,ALL,35.0,,D,54.0,,C,76.0,,45.0,,58.0,,43.0,,33.0,,,,95.0,1.0,90.0,,58.0,,Met,73.0,61.0,C,45.0,59.0,Met,Met,82.0,78.8
500304,,ALL,54.0,,C,52.0,,C,65.0,,95.0,1.0,,,,,,,,,,,,,55.0,,Exceeded,86.0,61.0,C,61.0,57.0,Exceeded,Met,90.2,77.0
500314,,ALL,51.0,,C,60.0,,C,72.0,,95.0,1.0,,,,,,,,,,,,,59.0,,NotMet,69.4,61.0,C,57.0,62.0,Met,NotMet,81.0,67.3
500316,,ALL,52.0,,C,51.0,,C,79.0,,,,,,,,,,,,,,,,54.0,,Exceeded,89.4,61.0,C,59.0,57.0,Exceeded,Met,89.2,84.9
500323,,ALL,,,,,,,,,71.0,,95.0,1.0,85.0,,91.0,,,,95.0,1.0,95.0,1.0,92.0,,Met,82.7,90.0,A,,,,,,
500324,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500332,,ALL,44.0,,D,52.0,,C,72.0,,95.0,1.0,,,,,,,,,,,,,53.0,,Met,83.2,59.0,C,51.0,58.0,Met,Met,79.2,82.4
500337,,ALL,36.0,,D,46.0,,D,55.0,,,,,,,,,,,,,,,,43.0,,Met,83.3,51.0,D,46.0,53.0,Met,Met,83.6,82.1
500340,,ALL,,,,,,,,,67.0,,62.0,,53.0,,69.0,,73.0,,95.0,1.0,92.0,,73.0,,Exceeded,92.6,77.0,B,,,,,,
520304,,ALL,70.0,,B,70.0,,B,71.0,,,,,,,,,,,,,,,,70.0,,Exceeded,92.6,75.0,B,75.0,74.0,Exceeded,Exceeded,92.5,87.9
520308,,ALL,58.0,,C,71.0,,B,67.0,,,,,,,,,,,,,,,,65.0,,Exceeded,87.7,69.0,C,64.0,74.0,Exceeded,Exceeded,85.1,87.1
520320,,ALL,,,,,,,,,54.0,,72.0,,65.0,,46.0,,86.0,,95.0,1.0,95.0,1.0,73.0,,Met,70.0,72.0,B,,,,,,
520324,,ALL,45.0,,D,59.0,,C,81.0,,95.0,1.0,,,,,,,,,,,,,60.0,,Met,83.3,65.0,C,52.0,62.0,Met,Met,82.1,74.8
520328,,ALL,57.0,,C,71.0,,B,50.0,,,,,,,,,,,,,,,,63.0,,Met,71.1,64.0,C,60.0,71.0,Met,Met,70.9,75.0
520336,,ALL,63.0,,C,70.0,,B,82.0,,,,,,,,,,,,,,,,68.0,,Exceeded,87.5,72.0,B,67.0,73.0,Exceeded,Exceeded,85.2,85.5
530302,,ALL,57.0,,C,49.0,,D,62.0,,,,,,,,,,,,,,,,54.0,,NotMet,59.7,55.0,C,60.0,51.0,Met,NotMet,72.2,59.8
530306,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530308,,ALL,48.0,,D,56.0,,C,65.0,,,,,,,,,,,,,,,,54.0,,Met,81.2,59.0,C,52.0,62.0,NotMet,Exceeded,66.8,85.7
530312,,ALL,67.0,,B,52.0,,C,74.0,,,,,,,,,,,,,,,,62.0,,Met,83.7,66.0,C,70.0,58.0,Met,Met,84.4,81.2
530314,,ALL,40.0,,D,52.0,,C,78.0,,95.0,1.0,,,,,,,,,,,,,52.0,,NotMet,69.1,55.0,C,44.0,56.0,NotMet,Met,61.7,74.4
530316,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530320,,ALL,72.0,,B,67.0,,B,85.0,,,,,,,,,,,,,,,,72.0,,Exceeded,86.0,74.0,B,75.0,70.0,Exceeded,Met,85.1,83.1
530335,,ALL,,,,,,,,,95.0,1.0,95.0,1.0,95.0,,86.0,,,,95.0,1.0,95.0,1.0,95.0,1.0,Exceeded,93.0,95.0,A,,,,,,
530336,,ALL,,,,,,,,,30.0,,38.0,,43.0,,54.0,,62.0,,95.0,1.0,94.0,,62.0,,NotMet,50.0,59.0,C,,,,,,
530340,,ALL,73.0,,B,55.0,,C,86.0,,,,,,,,,,,,,,,,67.0,,Met,80.4,69.0,C,71.0,61.0,NotMet,Exceeded,61.6,85.1
530341,,ALL,49.0,,D,57.0,,C,76.0,,95.0,1.0,,,,,,,,,,,,,57.0,,Met,70.9,60.0,C,52.0,62.0,NotMet,Met,63.3,81.6
530343,,ALL,,,,,,,,,43.0,,51.0,,55.0,,54.0,,91.0,,95.0,1.0,89.0,,68.0,,Met,84.4,71.0,B,,,,,,
530346,,ALL,70.0,,C,69.0,,B,75.0,,,,,,,,,,,,,,,,70.0,,NotMet,60.8,68.0,C,68.0,71.0,NotMet,Met,59.7,75.9
530354,,ALL,56.0,,C,54.0,,C,67.0,,,,,,,,,,,,,,,,57.0,,NotMet,56.6,57.0,C,57.0,56.0,NotMet,NotMet,59.9,64.9
530356,,ALL,42.0,,D,55.0,,C,75.0,,95.0,1.0,,,,,,,,,,,,,54.0,,Met,72.6,57.0,C,45.0,61.0,NotMet,Met,57.9,84.5
530358,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540304,,ALL,58.0,,C,62.0,,C,76.0,,,,,,,,,,,,,,,,62.0,,Met,84.3,67.0,C,63.0,66.0,Met,Met,79.6,83.9
540308,,ALL,39.0,,D,47.0,,D,61.0,,95.0,,,,,,,,,,,,,,46.0,,Met,72.9,52.0,D,48.0,51.0,Met,NotMet,82.3,66.7
540312,,ALL,41.0,,D,44.0,,D,69.0,,95.0,1.0,,,,,,,,,,,,,49.0,,NotMet,61.7,51.0,D,47.0,47.0,NotMet,NotMet,68.8,59.1
540315,,ALL,,,,,,,,,22.0,,30.0,,13.0,,17.0,,37.0,,95.0,1.0,80.0,,43.0,,NotMet,56.9,46.0,D,,,,,,
540316,,ALL,51.0,,C,46.0,,C,60.0,,,,,,,,,,,,,,,,50.0,,Exceeded,91.8,59.0,C,58.0,55.0,Exceeded,Exceeded,87.6,90.0
540317,,ALL,,,,,,,,,70.0,,72.0,,63.0,,85.0,,,,95.0,1.0,95.0,1.0,80.0,,NotMet,59.9,76.0,B,,,,,,
540318,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540320,,ALL,74.0,,B,72.0,,B,83.0,,,,,,,,,,,,,,,,75.0,,Met,82.6,76.0,B,74.0,75.0,Met,Exceeded,73.7,85.0
540324,,ALL,,,,,,,,,30.0,,43.0,,39.0,,43.0,,57.0,,95.0,,85.0,,54.0,,NotMet,50.0,53.0,D,,,,,,
540325,,ALL,35.0,,D,31.0,,D,25.0,,,,,,,,,,,,,,,,32.0,,Met,83.4,42.0,D,45.0,41.0,Exceeded,Met,85.9,82.6
540326,,ALL,49.0,,C,43.0,,D,56.0,,,,,,,,,,,,,,,,48.0,,Met,74.5,53.0,D,55.0,49.0,Met,NotMet,81.1,69.0
540328,,ALL,70.0,,B,61.0,,C,94.0,,,,,,,,,,,,,,,,70.0,,Exceeded,89.4,73.0,B,73.0,65.0,Met,Met,83.6,84.9
540330,,ALL,18.0,,F,28.0,,D,60.0,,71.0,,,,,,,,,,,,,,29.0,,Exceeded,89.8,41.0,D,32.0,40.0,Exceeded,Exceeded,88.0,85.7
540336,,ALL,,,,,,,,,42.0,,51.0,,57.0,,37.0,,61.0,,95.0,1.0,87.0,,63.0,,Exceeded,89.2,68.0,C,,,,,,
540338,,ALL,38.0,,D,37.0,,D,42.0,,,,,,,,,,,,,,,,38.0,,Met,84.9,48.0,D,47.0,46.0,Met,Met,84.2,82.9
540340,,ALL,55.0,,C,56.0,,C,64.0,,,,,,,,,,,,,,,,56.0,,Exceeded,86.7,62.0,C,61.0,62.0,Exceeded,Met,86.5,84.1
540344,,ALL,36.0,,D,48.0,,D,71.0,,89.0,,,,,,,,,,,,,,47.0,,NotMet,56.5,49.0,D,41.0,51.0,NotMet,NotMet,61.1,59.4
550308,Y,ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550312,,ALL,47.0,,D,44.0,,D,,,,,,,,,,,,,,,,,46.0,,Exceeded,85.1,54.0,D,47.0,52.0,,Exceeded,,85.1
550314,,ALL,80.0,,B,75.0,,B,73.0,,,,,,,,,,,,,,,,77.0,,Met,81.1,78.0,B,81.0,76.0,Met,Met,81.7,82.4
550316,,ALL,62.0,,C,55.0,,C,,,,,,,,,,,,,,,,,59.0,,Met,77.4,62.0,C,62.0,60.0,,Met,,77.4
550320,,ALL,,,,,,,,,62.0,,66.0,,60.0,,72.0,,69.0,,95.0,1.0,94.0,,75.0,,NotMet,52.7,70.0,B,,,,,,
550322,,ALL,67.0,,B,70.0,,B,89.0,,95.0,1.0,,,,,,,,,,,,,72.0,,Met,82.2,74.0,B,70.0,71.0,Met,Met,82.3,76.9
550324,,ALL,49.0,,C,43.0,,D,62.0,,,,,,,,,,,,,,,,49.0,,Met,82.4,56.0,C,56.0,50.0,Met,Met,83.7,78.9
550328,,ALL,67.0,,B,56.0,,C,78.0,,,,,,,,,,,,,,,,63.0,,Met,82.4,67.0,C,70.0,60.0,Met,Met,83.0,76.6
550332,,ALL,,,,,,,,,53.0,,58.0,,52.0,,46.0,,80.0,,95.0,1.0,85.0,,66.0,,Met,74.8,68.0,C,,,,,,
550334,,ALL,52.0,,C,59.0,,C,77.0,,95.0,1.0,,,,,,,,,,,,,59.0,,Exceeded,92.8,66.0,C,60.0,64.0,Exceeded,Met,93.5,84.7
550336,,ALL,64.0,,C,55.0,,C,72.0,,,,,,,,,,,,,,,,62.0,,Met,74.7,64.0,C,66.0,60.0,Met,Met,75.1,80.1
550340,,ALL,74.0,,B,66.0,,C,81.0,,,,,,,,,,,,,,,,72.0,,Met,81.3,74.0,B,76.0,69.0,Met,Met,82.4,78.3
550342,,ALL,64.0,,C,58.0,,C,71.0,,,,,,,,,,,,,,,,63.0,,Met,73.4,65.0,C,65.0,62.0,NotMet,Met,68.5,79.5
550344,,ALL,,,,,,,,,76.0,,82.0,,71.0,,64.0,,82.0,,95.0,1.0,95.0,1.0,81.0,,Met,80.2,81.0,B,,,,,,
550349,,ALL,66.0,,C,66.0,,B,81.0,,,,,,,,,,,,,,,,69.0,,Met,83.7,72.0,B,69.0,70.0,Met,Exceeded,76.9,86.0
550350,,ALL,69.0,,B,74.0,,B,93.0,,95.0,1.0,,,,,,,,,,,,,75.0,,Exceeded,85.7,77.0,B,71.0,76.0,Met,Exceeded,76.9,86.0
550356,,ALL,85.0,,A,84.0,,A,91.0,,,,,,,,,,,,,,,,86.0,,Exceeded,89.7,86.0,A+NG,85.0,85.0,Met,Exceeded,79.9,89.5
550360,,ALL,60.0,,C,49.0,,C,,,,,,,,,,,,,,,,,54.0,,Met,81.8,60.0,C,60.0,55.0,,Met,,81.8
550362,,ALL,81.0,,B,82.0,,B,90.0,,,,,,,,,,,,,,,,83.0,,Met,81.4,83.0,B,81.0,82.0,Met,Met,80.4,80.6
550364,,ALL,81.0,,B,67.0,,B,92.0,,,,,,,,,,,,,,,,77.0,,Exceeded,91.6,80.0,B,83.0,71.0,Exceeded,Exceeded,90.2,86.8
550368,,ALL,,,,,,,,,65.0,,56.0,,64.0,,51.0,,74.0,,95.0,1.0,93.0,,71.0,,Met,84.2,74.0,B,,,,,,
