agency_code,dance_cat_arts,music_cat_arts,theatre_cat_arts,va_cat_arts
360438,N,Y,N,Y
360440,N,Y,N,Y
360448,N,Y,N,Y
360456,N,Y,N,Y
360464,N,Y,N,Y
360468,N,Y,N,Y
360470,N,Y,Y,Y
360478,N,Y,N,Y
360480,N,Y,N,Y
360482,N,Y,N,Y
360488,N,Y,N,Y
360490,N,Y,N,Y
360492,N,Y,N,Y
360494,N,Y,N,Y
360498,N,Y,N,Y
360499,N,Y,N,Y
360500,N,Y,N,Y
360504,N,Y,N,Y
360510,N,Y,N,Y
360514,N,Y,N,Y
360520,N,Y,N,Y
360526,N,Y,N,Y
360550,N,Y,N,Y
36B000,Y,Y,Y,Y
36C000,N,Y,Y,Y
370304,N,Y,N,N
370308,N,Y,N,Y
370312,Y,Y,Y,Y
370316,Y,N,N,N
370324,N,Y,N,N
380306,N,Y,N,Y
380308,N,Y,N,Y
380310,N,Y,N,N
390309,N,Y,N,Y
390312,N,N,N,Y
390314,N,N,N,Y
390316,N,Y,N,Y
390320,N,Y,N,N
390321,N,Y,N,Y
390322,N,Y,N,Y
390324,N,Y,N,Y
390331,N,Y,N,N
390333,N,Y,N,N
390334,N,Y,N,N
390336,N,N,N,Y
390352,N,Y,N,Y
390360,N,Y,N,N
390362,N,Y,N,N
390364,N,Y,N,N
390700,N,N,N,Y
39A000,Y,Y,Y,Y
39B000,N,Y,Y,Y
400308,N,Y,N,Y
400312,N,Y,N,Y
400315,N,Y,N,Y
400318,N,Y,N,Y
400321,N,Y,N,Y
400332,N,Y,N,Y
410304,N,Y,N,Y
410307,N,Y,N,Y
410310,N,Y,N,Y
410311,N,Y,N,N
410313,N,Y,N,Y
410316,N,Y,N,Y
410319,N,Y,Y,Y
410322,N,Y,N,Y
410325,N,Y,N,Y
410326,N,Y,N,Y
410328,N,Y,N,Y
410331,N,Y,N,Y
410334,N,Y,N,Y
410337,N,Y,N,Y
410340,N,Y,N,Y
410341,N,N,N,Y
410343,N,Y,N,Y
410346,N,Y,N,Y
410349,N,Y,N,Y
410355,Y,Y,Y,Y
410358,Y,Y,Y,Y
410361,N,Y,N,Y
410364,N,Y,N,Y
410366,N,Y,N,Y
410367,N,Y,N,Y
410370,N,Y,N,Y
410373,N,Y,N,Y
410376,N,Y,N,Y
410379,N,Y,N,Y
410382,N,Y,N,Y
