year,unit_code,Lea_Name,School_Name,State_Name,category_cd,level,size,lea_size,st_size
2014,610LEA,Mitchell County Schools,,State Of North Carolina,,English II,,14.0,18
2014,610LEA,Mitchell County Schools,,State Of North Carolina,,Math I,,17.0,20
2014,620LEA,Montgomery County Schools,,State Of North Carolina,,Biology,,27.0,18
2014,620LEA,Montgomery County Schools,,State Of North Carolina,,English II,,18.0,18
2014,620LEA,Montgomery County Schools,,State Of North Carolina,,Math I,,14.0,20
2014,630LEA,Moore County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,630LEA,Moore County Schools,,State Of North Carolina,,English II,,20.0,18
2014,630LEA,Moore County Schools,,State Of North Carolina,,Math I,,21.0,20
2014,640LEA,Nash-Rocky Mount Schools,,State Of North Carolina,,Biology,,21.0,18
2014,640LEA,Nash-Rocky Mount Schools,,State Of North Carolina,,English II,,20.0,18
2014,640LEA,Nash-Rocky Mount Schools,,State Of North Carolina,,Math I,,23.0,20
2014,650LEA,New Hanover County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,650LEA,New Hanover County Schools,,State Of North Carolina,,English II,,19.0,18
2014,650LEA,New Hanover County Schools,,State Of North Carolina,,Math I,,25.0,20
2014,660LEA,Northampton County Schools,,State Of North Carolina,,Biology,,13.0,18
2014,660LEA,Northampton County Schools,,State Of North Carolina,,English II,,21.0,18
2014,660LEA,Northampton County Schools,,State Of North Carolina,,Math I,,17.0,20
2014,670LEA,Onslow County Schools,,State Of North Carolina,,Biology,,21.0,18
2014,670LEA,Onslow County Schools,,State Of North Carolina,,English II,,22.0,18
2014,670LEA,Onslow County Schools,,State Of North Carolina,,Math I,,23.0,20
2014,680LEA,Orange County Schools,,State Of North Carolina,,Biology,,20.0,18
2014,680LEA,Orange County Schools,,State Of North Carolina,,English II,,19.0,18
2014,680LEA,Orange County Schools,,State Of North Carolina,,Math I,,26.0,20
2014,681LEA,Chapel Hill-Carrboro Schools,,State Of North Carolina,,Biology,,21.0,18
2014,681LEA,Chapel Hill-Carrboro Schools,,State Of North Carolina,,English II,,19.0,18
2014,681LEA,Chapel Hill-Carrboro Schools,,State Of North Carolina,,Math I,,20.0,20
2014,690LEA,Pamlico County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,690LEA,Pamlico County Schools,,State Of North Carolina,,English II,,24.0,18
2014,690LEA,Pamlico County Schools,,State Of North Carolina,,Math I,,25.0,20
2014,700LEA,Pasquotank County Schools,,State Of North Carolina,,Biology,,15.0,18
2014,700LEA,Pasquotank County Schools,,State Of North Carolina,,English II,,19.0,18
2014,700LEA,Pasquotank County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,710LEA,Pender County Schools,,State Of North Carolina,,Biology,,21.0,18
2014,710LEA,Pender County Schools,,State Of North Carolina,,English II,,21.0,18
2014,710LEA,Pender County Schools,,State Of North Carolina,,Math I,,23.0,20
2014,720LEA,Perquimans County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,720LEA,Perquimans County Schools,,State Of North Carolina,,English II,,23.0,18
2014,720LEA,Perquimans County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,730LEA,Person County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,730LEA,Person County Schools,,State Of North Carolina,,English II,,19.0,18
2014,730LEA,Person County Schools,,State Of North Carolina,,Math I,,19.0,20
2014,740LEA,Pitt County Schools,,State Of North Carolina,,Biology,,24.0,18
2014,740LEA,Pitt County Schools,,State Of North Carolina,,English II,,22.0,18
2014,740LEA,Pitt County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,750LEA,Polk County Schools,,State Of North Carolina,,Biology,,14.0,18
2014,750LEA,Polk County Schools,,State Of North Carolina,,English II,,18.0,18
2014,750LEA,Polk County Schools,,State Of North Carolina,,Math I,,15.0,20
2014,760LEA,Randolph County Schools,,State Of North Carolina,,Biology,,21.0,18
2014,760LEA,Randolph County Schools,,State Of North Carolina,,English II,,21.0,18
2014,760LEA,Randolph County Schools,,State Of North Carolina,,Math I,,23.0,20
2014,761LEA,Asheboro City Schools,,State Of North Carolina,,Biology,,17.0,18
2014,761LEA,Asheboro City Schools,,State Of North Carolina,,English II,,19.0,18
2014,761LEA,Asheboro City Schools,,State Of North Carolina,,Math I,,22.0,20
2014,770LEA,Richmond County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,770LEA,Richmond County Schools,,State Of North Carolina,,English II,,17.0,18
2014,770LEA,Richmond County Schools,,State Of North Carolina,,Math I,,21.0,20
2014,780LEA,Robeson County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,780LEA,Robeson County Schools,,State Of North Carolina,,English II,,16.0,18
2014,780LEA,Robeson County Schools,,State Of North Carolina,,Math I,,19.0,20
2014,790LEA,Rockingham County Schools,,State Of North Carolina,,Biology,,21.0,18
2014,790LEA,Rockingham County Schools,,State Of North Carolina,,English II,,21.0,18
2014,790LEA,Rockingham County Schools,,State Of North Carolina,,Math I,,23.0,20
2014,800LEA,Rowan-Salisbury Schools,,State Of North Carolina,,Biology,,20.0,18
2014,800LEA,Rowan-Salisbury Schools,,State Of North Carolina,,English II,,20.0,18
2014,800LEA,Rowan-Salisbury Schools,,State Of North Carolina,,Math I,,24.0,20
2014,810LEA,Rutherford County Schools,,State Of North Carolina,,Biology,,19.0,18
2014,810LEA,Rutherford County Schools,,State Of North Carolina,,English II,,18.0,18
2014,810LEA,Rutherford County Schools,,State Of North Carolina,,Math I,,18.0,20
2014,820LEA,Sampson County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,820LEA,Sampson County Schools,,State Of North Carolina,,English II,,18.0,18
2014,820LEA,Sampson County Schools,,State Of North Carolina,,Math I,,21.0,20
2014,821LEA,Clinton City Schools,,State Of North Carolina,,Biology,,18.0,18
2014,821LEA,Clinton City Schools,,State Of North Carolina,,English II,,17.0,18
2014,821LEA,Clinton City Schools,,State Of North Carolina,,Math I,,22.0,20
2014,830LEA,Scotland County Schools,,State Of North Carolina,,Biology,,15.0,18
2014,830LEA,Scotland County Schools,,State Of North Carolina,,English II,,14.0,18
2014,830LEA,Scotland County Schools,,State Of North Carolina,,Math I,,16.0,20
2014,840LEA,Stanly County Schools,,State Of North Carolina,,Biology,,14.0,18
2014,840LEA,Stanly County Schools,,State Of North Carolina,,English II,,18.0,18
2014,840LEA,Stanly County Schools,,State Of North Carolina,,Math I,,17.0,20
2014,850LEA,Stokes County Schools,,State Of North Carolina,,Biology,,16.0,18
2014,850LEA,Stokes County Schools,,State Of North Carolina,,English II,,15.0,18
2014,850LEA,Stokes County Schools,,State Of North Carolina,,Math I,,15.0,20
2014,860LEA,Surry County Schools,,State Of North Carolina,,Biology,,18.0,18
2014,860LEA,Surry County Schools,,State Of North Carolina,,English II,,20.0,18
2014,860LEA,Surry County Schools,,State Of North Carolina,,Math I,,22.0,20
2014,861LEA,Elkin City Schools,,State Of North Carolina,,Biology,,16.0,18
2014,861LEA,Elkin City Schools,,State Of North Carolina,,English II,,19.0,18
2014,861LEA,Elkin City Schools,,State Of North Carolina,,Math I,,18.0,20
2014,862LEA,Mount Airy City Schools,,State Of North Carolina,,Biology,,18.0,18
2014,862LEA,Mount Airy City Schools,,State Of North Carolina,,English II,,26.0,18
2014,862LEA,Mount Airy City Schools,,State Of North Carolina,,Math I,,23.0,20
2014,870LEA,Swain County Schools,,State Of North Carolina,,Biology,,13.0,18
2014,870LEA,Swain County Schools,,State Of North Carolina,,English II,,15.0,18
2014,870LEA,Swain County Schools,,State Of North Carolina,,Math I,,19.0,20
2014,880LEA,Transylvania County Schools,,State Of North Carolina,,Biology,,17.0,18
2014,880LEA,Transylvania County Schools,,State Of North Carolina,,English II,,15.0,18
