year,unit_code,Lea_Name,School_Name,State_Name,category_cd,Part_Targets,percent_met,targets_met,targets_assigned
2014,350LEA,Franklin County Schools,,State Of North Carolina,,ACT WorkKeys,0.5,4,8
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Current Year EOC,1.0,9,9
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Mathematics Grade 10,0.571,8,14
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.556,10,18
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Reading Grade 10,0.714,10,14
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.611,11,18
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Science Grade 11,0.5,7,14
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.938,15,16
2014,350LEA,Franklin County Schools,,State Of North Carolina,,The ACT,0.714,10,14
2014,350LEA,Franklin County Schools,,State Of North Carolina,,Total Targets,0.679,95,140
2014,360LEA,Gaston County Schools,,State Of North Carolina,,ACT WorkKeys,0.563,9,16
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Current Year EOC,1.0,10,10
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Mathematics Grade 10,0.588,10,17
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.591,13,22
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Reading Grade 10,0.667,12,18
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.591,13,22
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Science Grade 11,0.7,14,20
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.65,13,20
2014,360LEA,Gaston County Schools,,State Of North Carolina,,The ACT,0.65,13,20
2014,360LEA,Gaston County Schools,,State Of North Carolina,,Total Targets,0.683,125,183
2014,370LEA,Gates County Schools,,State Of North Carolina,,ACT WorkKeys,1.0,4,4
2014,370LEA,Gates County Schools,,State Of North Carolina,,Current Year EOC,1.0,6,6
2014,370LEA,Gates County Schools,,State Of North Carolina,,Mathematics Grade 10,0.75,6,8
2014,370LEA,Gates County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.75,9,12
2014,370LEA,Gates County Schools,,State Of North Carolina,,Reading Grade 10,1.0,8,8
2014,370LEA,Gates County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.75,9,12
2014,370LEA,Gates County Schools,,State Of North Carolina,,Science Grade 11,0.5,4,8
2014,370LEA,Gates County Schools,,State Of North Carolina,,Science Grades 5 and 8,1.0,10,10
2014,370LEA,Gates County Schools,,State Of North Carolina,,The ACT,0.8,8,10
2014,370LEA,Gates County Schools,,State Of North Carolina,,Total Targets,0.839,73,87
2014,380LEA,Graham County Schools,,State Of North Carolina,,Current Year EOC,1.0,5,5
2014,380LEA,Graham County Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,3,6
2014,380LEA,Graham County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.727,8,11
2014,380LEA,Graham County Schools,,State Of North Carolina,,Reading Grade 10,0.667,4,6
2014,380LEA,Graham County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.727,8,11
2014,380LEA,Graham County Schools,,State Of North Carolina,,Science Grade 11,0.667,4,6
2014,380LEA,Graham County Schools,,State Of North Carolina,,Science Grades 5 and 8,1.0,7,7
2014,380LEA,Graham County Schools,,State Of North Carolina,,The ACT,0.833,5,6
2014,380LEA,Graham County Schools,,State Of North Carolina,,Total Targets,0.785,51,65
2014,390LEA,Granville County Schools,,State Of North Carolina,,ACT WorkKeys,0.444,4,9
2014,390LEA,Granville County Schools,,State Of North Carolina,,Current Year EOC,1.0,9,9
2014,390LEA,Granville County Schools,,State Of North Carolina,,Mathematics Grade 10,0.5,7,14
2014,390LEA,Granville County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.5,9,18
2014,390LEA,Granville County Schools,,State Of North Carolina,,Reading Grade 10,0.714,10,14
2014,390LEA,Granville County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.5,9,18
2014,390LEA,Granville County Schools,,State Of North Carolina,,Science Grade 11,0.571,8,14
2014,390LEA,Granville County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.611,11,18
2014,390LEA,Granville County Schools,,State Of North Carolina,,The ACT,0.286,4,14
2014,390LEA,Granville County Schools,,State Of North Carolina,,Total Targets,0.585,83,142
2014,400LEA,Greene County Schools,,State Of North Carolina,,ACT WorkKeys,0.375,3,8
2014,400LEA,Greene County Schools,,State Of North Carolina,,Current Year EOC,1.0,8,8
2014,400LEA,Greene County Schools,,State Of North Carolina,,Mathematics Grade 10,0.6,6,10
2014,400LEA,Greene County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.5,8,16
2014,400LEA,Greene County Schools,,State Of North Carolina,,Reading Grade 10,0.6,6,10
2014,400LEA,Greene County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.5,8,16
2014,400LEA,Greene County Schools,,State Of North Carolina,,Science Grade 11,0.5,5,10
2014,400LEA,Greene County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.625,10,16
2014,400LEA,Greene County Schools,,State Of North Carolina,,The ACT,0.5,5,10
2014,400LEA,Greene County Schools,,State Of North Carolina,,Total Targets,0.591,68,115
2014,410LEA,Guilford County Schools,,State Of North Carolina,,ACT WorkKeys,0.35,7,20
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Current Year EOC,1.0,11,11
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Mathematics Grade 10,0.636,14,22
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.636,14,22
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Reading Grade 10,0.727,16,22
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.591,13,22
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Science Grade 11,0.682,15,22
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.591,13,22
2014,410LEA,Guilford County Schools,,State Of North Carolina,,The ACT,0.455,10,22
2014,410LEA,Guilford County Schools,,State Of North Carolina,,Total Targets,0.649,135,208
2014,420LEA,Halifax County Schools,,State Of North Carolina,,ACT WorkKeys,0.5,3,6
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Current Year EOC,0.8,4,5
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Mathematics Grade 10,0.125,1,8
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.563,9,16
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Reading Grade 10,0.5,4,8
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.5,8,16
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Science Grade 11,0.5,4,8
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Science Grades 5 and 8,0.545,6,11
2014,420LEA,Halifax County Schools,,State Of North Carolina,,The ACT,0.0,0,7
2014,420LEA,Halifax County Schools,,State Of North Carolina,,Total Targets,0.478,44,92
2014,421LEA,Roanoke Rapids City Schools,,State Of North Carolina,,ACT WorkKeys,1.0,4,4
2014,421LEA,Roanoke Rapids City Schools,,State Of North Carolina,,Current Year EOC,1.0,6,6
2014,421LEA,Roanoke Rapids City Schools,,State Of North Carolina,,Mathematics Grade 10,0.667,8,12
2014,421LEA,Roanoke Rapids City Schools,,State Of North Carolina,,Mathematics Grades 3 through 8,0.733,11,15
2014,421LEA,Roanoke Rapids City Schools,,State Of North Carolina,,Reading Grade 10,0.583,7,12
2014,421LEA,Roanoke Rapids City Schools,,State Of North Carolina,,Reading Grades 3 through 8,0.667,10,15
