agency_code,category_code,total_expense,pct_salary,pct_benefits,pct_services,pct_supplies,pct_instruct_equip,pct_building,pct_other,local_perpupil,state_perpupil,federal_perpupil
65G000,M,9811.33,0.556,0.123,0.183,0.123,0.015,0.0,,3292.11,6010.92,508.3
660LEA,,14467.17,0.575,0.2,0.114,0.093,0.018000000000000002,0.0,,2140.81,10016.31,2310.05
66A000,A,15297.51,0.368,0.124,0.401,0.07400000000000001,0.033,0.0,,6234.57,8508.28,554.66
670LEA,,8794.42,0.604,0.208,0.098,0.078,0.012,0.0,,2224.87,5705.34,864.21
67B000,I,11161.32,0.464,0.12,0.277,0.09,0.049,0.0,,3178.03,6638.52,1344.77
680LEA,,11341.21,0.63,0.223,0.08199999999999999,0.057,0.008,0.0,,4511.48,6136.04,693.69
681LEA,,12249.8,0.645,0.22,0.098,0.03,0.006999999999999999,0.0,,6234.92,5563.71,451.17
68A000,A,10318.61,0.481,0.168,0.262,0.033,0.056,0.0,,4355.33,5819.1,144.18
68C000,I,9838.48,0.56,0.127,0.251,0.06,0.002,0.0,,3700.97,5969.05,168.46
690LEA,,13333.52,0.594,0.211,0.099,0.06,0.036000000000000004,0.0,,2789.17,9319.66,1224.69
69A000,A,20901.27,0.308,0.108,0.044,0.038,0.502,0.0,,12049.77,8466.55,384.95
700LEA,,10131.71,0.597,0.206,0.09,0.095,0.012,0.0,,1954.47,6914.06,1263.18
70A000,T,9440.23,0.483,0.161,0.211,0.093,0.052000000000000005,0.0,,2732.49,6459.67,248.07
710LEA,,8943.83,0.568,0.197,0.133,0.085,0.017,0.0,,1922.41,6119.58,901.84
720LEA,,11474.38,0.594,0.212,0.1,0.08900000000000001,0.005,0.0,,2286.19,7899.52,1288.67
730LEA,,9984.37,0.625,0.21600000000000005,0.069,0.084,0.006,0.0,,1925.5,6772.21,1286.66
73A000,E,8415.49,0.6409999999999999,0.134,0.141,0.076,0.008,0.0,,2143.85,5954.7,316.94
73B000,T,7708.19,0.5820000000000001,0.196,0.127,0.075,0.02,0.0,,1770.7,5788.4,149.09
740LEA,,9165.88,0.603,0.221,0.084,0.085,0.006999999999999999,0.0,,1857.47,6109.23,1199.18
74B000,I,8937.78,0.436,0.122,0.374,0.068,0.0,0.0,,1641.65,6739.19,556.94
74C000,I,8974.72,0.359,0.113,0.459,0.069,0.0,0.0,,2421.66,6153.04,400.02
74Z000,,,,,,,,,,,,
750LEA,,12014.6,0.627,0.219,0.078,0.07400000000000001,0.002,0.0,,3211.7,7702.06,1100.84
760LEA,,8812.36,0.619,0.225,0.076,0.069,0.011,0.0,,1580.13,6279.1,953.13
761LEA,,9856.67,0.616,0.223,0.079,0.07400000000000001,0.008,0.0,,2131.37,6504.34,1220.96
76A000,T,7092.63,0.522,0.193,0.168,0.086,0.031,0.0,,907.85,6010.04,174.74
770LEA,,9671.85,0.588,0.214,0.092,0.096,0.01,0.0,,1357.26,6768.94,1545.65
780LEA,,10144.58,0.575,0.213,0.079,0.098,0.035,0.0,,959.32,7276.28,1908.98
78A000,M,10256.63,0.512,0.077,0.189,0.101,0.121,0.0,,1746.07,7944.0,566.56
78B000,I,7552.99,0.536,0.194,0.16899999999999998,0.084,0.017,0.0,,678.25,6683.17,191.57
790LEA,,9134.71,0.602,0.219,0.101,0.07200000000000001,0.006,0.0,,1452.54,6604.64,1077.53
79A000,M,7428.52,0.496,0.168,0.254,0.071,0.011,0.0,,1057.87,6204.64,166.01
800LEA,,9683.49,0.5920000000000001,0.215,0.066,0.093,0.034,0.0,,2399.76,6134.36,1149.37
810LEA,,10092.9,0.6,0.225,0.073,0.096,0.006,0.0,,1906.32,6704.26,1482.32
81A000,A,8010.91,0.5660000000000001,0.14800000000000002,0.17800000000000002,0.096,0.012,0.0,,1802.55,6068.72,139.64
81B000,A,29192.88,0.154,0.034,0.777,0.032,0.003,0.0,,22374.3,6533.36,285.22
820LEA,,9262.58,0.596,0.217,0.069,0.093,0.025,0.0,,1158.79,6767.71,1336.08
821LEA,,9854.09,0.603,0.215,0.08900000000000001,0.081,0.012,0.0,,2180.86,6281.84,1391.39
830LEA,,11005.48,0.598,0.215,0.094,0.083,0.01,0.0,,1958.51,7527.83,1519.14
840LEA,,8906.03,0.636,0.23,0.077,0.056,0.001,0.0,,1096.28,6595.28,1214.47
84B000,T,6825.93,0.476,0.171,0.269,0.069,0.015,0.0,,954.09,5789.11,82.73
850LEA,,10102.1,0.609,0.222,0.09,0.07,0.009000000000000001,0.0,,2099.88,6891.39,1110.83
860LEA,,9430.08,0.61,0.229,0.065,0.091,0.005,0.0,,1726.27,6543.07,1160.74
861LEA,,10084.98,0.631,0.228,0.073,0.066,0.002,0.0,,2209.2,7087.73,788.05
862LEA,,10844.95,0.5820000000000001,0.206,0.114,0.09,0.008,0.0,,2246.03,6880.42,1718.5
86T000,A,8364.28,0.541,0.215,0.173,0.066,0.005,0.0,,1684.53,6541.49,138.26
870LEA,,11223.16,0.575,0.219,0.104,0.098,0.004,0.0,,1952.41,7813.81,1456.94
87A000,I,11397.44,0.53,0.17600000000000002,0.127,0.031,0.136,0.0,,3095.08,7707.89,594.47
880LEA,,10890.71,0.623,0.221,0.08800000000000001,0.067,0.001,0.0,,3482.29,6305.08,1103.34
88A000,I,8899.99,0.56,0.204,0.171,0.059,0.006,0.0,,2248.28,6260.14,391.57
890LEA,,15240.07,0.589,0.211,0.097,0.102,0.001,0.0,,1701.13,12129.8,1409.14
900LEA,,8670.26,0.636,0.219,0.071,0.07,0.004,0.0,,2422.28,5575.07,672.91
90A000,A,7482.85,0.601,0.111,0.152,0.109,0.027000000000000003,0.0,,1921.48,5422.38,138.99
90B000,E,6945.53,0.466,0.124,0.35100000000000003,0.059,0.0,0.0,,1414.38,5402.71,128.44
90C000,I,7708.28,0.444,0.067,0.382,0.093,0.014,0.0,,2169.01,5293.75,245.52
910LEA,,10654.76,0.608,0.207,0.099,0.07400000000000001,0.012,0.0,,1460.04,7648.54,1546.18
91A000,A,8689.11,0.585,0.202,0.151,0.048,0.014,0.0,,1461.87,7018.48,208.76
91B000,A,10388.3,0.448,0.16399999999999998,0.206,0.086,0.096,0.0,,2707.76,7038.54,642.0
920LEA,,9079.51,0.65,0.227,0.076,0.045,0.002,0.0,,2737.15,5709.1,633.26
92B000,I,8679.19,0.631,0.13699999999999998,0.195,0.036000000000000004,0.001,0.0,,2887.61,5641.41,150.17
92D000,I,8695.37,0.654,0.138,0.16,0.033,0.015,0.0,,2867.29,5649.22,178.86
92E000,I,8756.44,0.636,0.138,0.193,0.033,0.0,0.0,,2874.74,5729.77,151.93
92F000,A,7917.49,0.601,0.117,0.208,0.049,0.025,0.0,,2381.51,5400.24,135.74
92G000,A,7474.26,0.5820000000000001,0.211,0.149,0.036000000000000004,0.022,0.0,,1688.2,5541.87,244.19
92K000,H,8166.47,0.732,0.153,0.054000000000000006,0.057,0.004,0.0,,2677.31,5342.79,146.37
92L000,I,14849.09,0.35200000000000004,0.038,0.528,0.08,0.002,0.0,,7714.98,6363.76,770.35
