agency_code,num_concentrators_AAVC,num_concentrators_AGNR,num_concentrators_ARCH,num_concentrators_BMA,num_concentrators_EDUC,num_concentrators_FINA,num_concentrators_HLTH,num_concentrators_HOSP,num_concentrators_HUMA,num_concentrators_INFO,num_concentrators_LAW,num_concentrators_MANU,num_concentrators_MRKT,num_concentrators_STEM,num_concentrators_TRAN
190310,0,13,0,0,0,0,1,13,0,0,0,0,0,0,1
190316,2,10,9,2,0,0,20,1,0,6,3,1,1,0,2
190336,0,20,22,0,0,0,33,16,0,0,7,0,4,6,8
190342,2,32,14,4,0,0,20,21,0,14,1,1,2,0,17
19A000,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0
200308,0,1,0,0,0,0,11,3,1,6,0,2,0,5,0
200314,0,4,5,1,0,0,15,1,0,3,0,3,0,0,1
200322,0,2,1,0,0,0,1,0,0,1,0,1,0,1,0
200328,15,14,0,1,0,0,23,1,1,5,2,7,0,0,0
200350,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1
210312,1,29,0,3,0,0,6,12,0,3,0,7,1,0,0
220310,0,10,8,6,0,0,13,8,0,9,0,0,0,0,7
230312,9,56,18,5,0,0,29,26,1,11,15,16,1,0,0
230322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
230324,0,41,7,9,1,0,39,22,2,4,17,28,1,0,10
230330,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0
230350,10,40,21,21,3,0,21,36,0,5,27,40,3,10,0
230361,0,0,25,11,0,0,23,19,2,4,14,5,0,4,0
240334,0,26,0,0,0,0,10,0,1,1,4,0,0,0,1
240371,0,28,1,0,0,0,15,0,0,10,1,0,0,0,4
240373,0,0,4,1,0,0,0,7,0,0,0,2,1,1,0
240380,0,23,0,0,0,0,19,0,0,6,2,0,0,0,3
241316,0,7,19,1,0,0,11,2,3,2,0,5,0,0,9
250314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
250321,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0
250340,25,12,8,2,0,1,14,11,2,3,0,0,0,22,6
250356,9,22,4,6,0,6,53,28,0,3,0,0,1,8,0
250372,23,27,11,11,0,0,38,15,0,10,9,2,1,10,0
260318,17,9,2,33,0,23,35,28,0,75,3,12,13,21,2
260322,2,42,11,20,0,23,0,51,1,22,4,0,3,1,0
260325,4,71,18,17,0,0,33,25,2,42,44,5,5,0,2
260357,0,73,1,8,0,0,32,40,0,34,5,0,1,3,0
260359,1,27,0,5,0,0,1,42,0,5,3,0,1,0,3
260374,0,3,0,3,0,0,0,5,0,3,1,0,1,0,0
260388,1,0,0,10,0,0,1,0,0,1,0,0,0,0,0
260408,3,59,4,42,0,0,26,43,0,44,11,2,17,1,1
260411,0,0,0,6,0,0,0,0,0,12,1,0,0,0,0
260424,4,82,5,13,0,5,5,57,3,16,1,14,5,2,0
260427,4,22,12,10,0,0,12,35,0,8,17,1,4,12,0
260446,1,7,3,13,0,1,21,26,0,14,6,1,3,0,0
260449,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0
260455,1,9,0,7,0,0,24,31,2,2,7,0,2,20,3
260700,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0
270306,4,61,22,3,0,1,19,39,1,2,0,1,3,0,13
270311,0,0,0,0,0,0,0,0,2,1,0,2,0,0,1
280304,2,3,1,0,0,0,0,10,0,1,0,0,0,0,0
280306,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280316,0,4,10,0,0,0,0,2,0,1,0,1,0,0,0
280330,1,0,3,0,0,0,1,6,0,6,0,0,5,0,0
290308,0,34,30,9,0,2,37,22,0,11,2,1,3,2,4
290314,0,9,3,11,0,0,0,1,0,3,0,0,5,0,0
290324,8,47,30,21,0,21,39,37,0,24,2,15,0,0,0
290336,0,50,34,17,0,7,21,9,0,5,2,0,0,22,0
290348,6,87,17,25,0,16,47,30,0,25,4,5,5,9,0
290365,17,32,0,25,0,0,30,13,0,17,0,7,0,0,2
290388,0,45,0,33,0,0,48,6,0,36,2,1,0,4,0
290389,2,0,16,18,0,0,2,0,0,2,0,8,18,9,2
291336,1,13,12,9,0,0,9,22,0,14,0,1,3,3,0
292324,0,0,9,25,0,0,16,8,0,22,0,0,1,0,1
298202,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
298204,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
300312,29,29,29,5,0,4,38,19,11,11,2,5,4,16,17
310338,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310344,0,29,0,9,0,0,50,0,0,9,0,2,0,27,16
310352,0,39,7,21,0,0,28,10,0,14,0,3,2,0,17
310364,0,39,0,1,0,0,5,3,0,9,1,0,0,0,0
310392,0,19,9,32,0,1,41,0,0,23,0,0,1,0,5
320312,0,49,5,9,0,0,0,17,0,9,0,0,8,0,0
320317,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0
320322,0,1,1,2,0,0,0,1,6,0,2,0,1,1,0
320323,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320325,14,0,0,20,0,4,0,0,0,27,0,0,1,0,0
320353,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
320356,0,24,1,4,0,0,0,32,0,1,0,0,3,0,8
320365,0,6,1,9,0,1,0,5,0,8,0,0,5,93,4
320368,0,0,13,40,0,5,22,8,0,12,0,0,33,37,12
320701,1,0,0,0,0,2,0,0,1,7,0,0,0,7,0
32L000,0,0,0,7,0,0,0,11,0,0,0,0,7,0,0
330326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
330328,0,10,0,4,0,0,6,6,3,1,0,0,0,0,2
330350,0,67,3,6,0,9,18,47,3,11,3,13,3,1,2
330358,0,8,1,31,0,1,24,10,4,30,4,0,10,0,0
33A000,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
340311,28,1,0,0,0,0,48,1,0,0,0,0,0,61,0
340330,1,0,2,3,0,0,0,4,0,0,0,0,0,0,2
340336,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
340364,15,0,7,0,0,14,25,17,3,0,0,3,0,24,2
340382,5,1,2,8,0,6,20,8,3,6,0,2,1,6,5
340446,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
340454,14,0,5,5,0,2,11,14,8,1,0,0,0,8,8
340460,7,5,8,6,0,0,20,12,2,3,0,2,0,2,3
340486,1,0,5,3,0,0,10,4,7,0,0,0,0,5,4
340488,0,3,2,2,0,0,13,11,0,1,0,0,0,0,1
