agency_code,pct_ALL_PK_ENROLL,pct_AM7_PK_ENROLL,pct_AS7_PK_ENROLL,pct_BL7_PK_ENROLL,pct_ELS_PK_ENROLL,pct_FEM_PK_ENROLL,pct_HI7_PK_ENROLL,pct_MALE_PK_ENROLL,pct_MU7_PK_ENROLL,pct_PI7_PK_ENROLL,pct_SWD_PK_ENROLL,pct_WH7_PK_ENROLL
410418,1.0,,0.111,0.278,1.0,0.389,0.278,0.611,,,0.0,0.333
410423,1.0,,0.111,0.417,1.0,0.556,0.16699999999999998,0.444,0.056,,0.0,0.25
410430,1.0,,,0.972,1.0,0.611,0.028,0.389,,,0.0,
410436,1.0,,0.222,0.222,1.0,0.722,0.056,0.278,0.056,,0.0,0.444
410439,1.0,,0.065,0.71,1.0,0.419,0.161,0.581,0.065,,0.0,
410451,1.0,0.095,0.048,0.28600000000000003,1.0,0.476,0.333,0.524,0.048,,0.0,0.19
410461,1.0,,,0.389,1.0,0.333,0.333,0.667,0.111,,0.0,0.16699999999999998
410464,1.0,,0.14300000000000002,0.381,1.0,0.28600000000000003,0.095,0.7140000000000001,0.048,,0.095,0.333
410466,1.0,,0.16699999999999998,0.333,1.0,0.389,0.222,0.611,0.056,,0.0,0.222
410469,1.0,,0.056,0.722,1.0,0.444,0.111,0.556,0.056,,0.0,0.056
410472,1.0,,,,1.0,,,1.0,,,0.0,1.0
410496,1.0,,0.16699999999999998,0.444,1.0,0.417,0.278,0.583,0.028,,0.0,0.083
410499,1.0,,0.222,0.333,1.0,0.556,0.444,0.444,,,0.0,
410502,1.0,,0.444,,1.0,0.5,0.222,0.5,0.056,,0.0,0.278
410505,1.0,,0.16699999999999998,0.4,1.0,0.5329999999999999,0.3,0.467,0.033,,0.0,0.1
410511,1.0,,0.056,0.833,1.0,0.556,0.111,0.444,,,0.0,
410514,1.0,0.028,0.111,0.556,1.0,0.528,0.222,0.472,0.056,,0.0,0.028
410522,1.0,,0.278,0.278,1.0,0.389,0.16699999999999998,0.611,0.056,,0.0,0.222
410523,1.0,,,0.16699999999999998,1.0,0.333,0.111,0.667,,,0.0,0.722
410530,1.0,,0.056,0.5,1.0,0.444,0.222,0.556,,,0.0,0.222
410532,1.0,,0.172,0.414,1.0,0.621,0.379,0.379,0.017,,0.0,0.017
410535,1.0,,,0.6940000000000001,1.0,0.472,0.028,0.528,0.028,,0.0,0.25
410538,1.0,,0.033,0.333,1.0,0.6,0.5670000000000001,0.4,0.033,,0.0,0.033
410541,1.0,,0.278,0.222,1.0,0.444,0.222,0.556,0.111,,0.0,0.16699999999999998
410542,1.0,,0.05,0.45,1.0,0.2,0.2,0.8,0.05,,0.0,0.25
410553,1.0,0.133,0.067,0.067,1.0,0.6,0.5329999999999999,0.4,,,0.0,0.2
410568,1.0,,0.133,0.067,1.0,0.4,0.133,0.6,0.067,,0.0,0.6
410571,1.0,,0.048,0.095,1.0,0.476,0.048,0.524,,,0.0,0.81
410577,1.0,,,1.0,1.0,1.0,,,,,0.0,
410578,1.0,,0.162,0.459,1.0,0.5539999999999999,0.17600000000000002,0.446,0.014,,0.014,0.189
410580,1.0,,0.114,0.6859999999999999,1.0,0.5710000000000001,0.114,0.429,0.057,0.029,0.0,
410583,1.0,,0.056,0.417,1.0,0.444,0.472,0.556,,0.028,0.0,0.028
410586,1.0,0.019,,0.774,1.0,0.604,0.075,0.396,0.038,,0.0,0.094
410598,1.0,,,0.853,1.0,0.382,0.08800000000000001,0.618,0.059,,0.0,
410LEA,1.0,0.006,0.094,0.484,1.0,0.479,0.21600000000000005,0.521,0.028,0.002,0.003,0.17
420304,1.0,,,0.871,1.0,0.613,,0.387,,,0.0,0.129
420316,1.0,,,0.9,1.0,0.45,0.1,0.55,,,0.0,
420328,1.0,,,0.8240000000000001,1.0,0.5589999999999999,0.08800000000000001,0.441,,,0.0,0.08800000000000001
420336,1.0,0.444,,0.556,1.0,0.444,,0.556,,,0.0,
420340,1.0,,,0.875,1.0,0.458,0.042,0.542,,,0.0,0.083
420348,1.0,,,0.889,1.0,0.278,0.056,0.722,,0.056,0.0,
420LEA,1.0,0.055,,0.828,1.0,0.49,0.048,0.51,,0.006999999999999999,0.0,0.062
421304,1.0,,0.038,0.377,1.0,0.585,0.113,0.415,0.038,,0.0,0.434
421328,1.0,,,0.28600000000000003,1.0,0.449,0.14300000000000002,0.551,0.041,,0.0,0.531
421LEA,1.0,,0.02,0.333,1.0,0.52,0.127,0.48,0.039,,0.0,0.48
422314,1.0,,,0.933,1.0,0.483,0.033,0.517,0.017,0.017,0.0,
422LEA,1.0,,,0.933,1.0,0.483,0.033,0.517,0.017,0.017,0.0,
430304,1.0,0.026,0.026,0.184,1.0,0.579,0.263,0.421,0.053,,0.0,0.447
430312,1.0,,,0.204,1.0,0.444,0.185,0.556,0.111,,0.0,0.5
430328,1.0,,,0.25,1.0,0.25,,0.75,,,0.0,0.75
430344,1.0,,0.056,0.444,1.0,0.722,0.278,0.278,,,0.0,0.222
430348,1.0,,,,1.0,,,1.0,,,0.0,1.0
430358,1.0,,0.036000000000000004,0.25,1.0,0.464,0.14300000000000002,0.536,,,0.0,0.5710000000000001
430368,1.0,,,0.235,1.0,0.588,0.588,0.412,0.059,,0.0,0.118
430369,1.0,,,,1.0,0.4,0.3,0.6,0.1,,0.0,0.6
430LEA,1.0,0.006,0.018000000000000002,0.224,1.0,0.512,0.247,0.488,0.059,,0.0,0.447
440328,1.0,,,,1.0,0.389,0.222,0.611,,,0.0,0.778
440348,1.0,,,,1.0,0.17600000000000002,0.17600000000000002,0.8240000000000001,0.17600000000000002,,0.0,0.647
440349,1.0,,,,1.0,0.485,0.03,0.515,,,0.0,0.97
440364,1.0,,,,1.0,0.667,0.2,0.333,0.067,,0.0,0.733
440368,1.0,,,,1.0,0.444,0.056,0.556,0.056,,0.0,0.889
440LEA,1.0,,,,1.0,0.436,0.119,0.564,0.05,,0.0,0.8320000000000001
460312,1.0,,,0.828,1.0,0.632,0.023,0.368,0.023,0.057,0.0,0.069
460332,1.0,,0.026,0.872,1.0,0.359,0.051,0.6409999999999999,,,0.0,0.051
460LEA,1.0,,0.008,0.841,1.0,0.5479999999999999,0.032,0.452,0.016,0.04,0.0,0.063
470310,1.0,,,0.056,1.0,0.611,0.5,0.389,0.056,,0.0,0.389
470328,1.0,,,0.17600000000000002,1.0,0.5,0.647,0.5,0.029,0.029,0.0,0.118
