agency_code,pct_ALL_CHRON_ABSENT,pct_AM7_CHRON_ABSENT,pct_AS7_CHRON_ABSENT,pct_BL7_CHRON_ABSENT,pct_ELS_CHRON_ABSENT,pct_FEM_CHRON_ABSENT,pct_HI7_CHRON_ABSENT,pct_MALE_CHRON_ABSENT,pct_MU7_CHRON_ABSENT,pct_PI7_CHRON_ABSENT,pct_SWD_CHRON_ABSENT,pct_WH7_CHRON_ABSENT
41J000,0.1202,0.0013,0.0145,0.0132,0.0079,0.0594,0.0066,0.0607,0.0013,,0.0145,0.0832
41K000,0.2315,,0.0025,0.0788,,0.1017,0.0178,0.1297,0.0279,,0.0254,0.1043
41L000,0.1628,0.0057,,0.113,0.0114,0.0747,0.0229,0.0881,0.0038,,0.0249,0.0172
420304,0.2571,0.004,,0.2163,,0.1428,0.004,0.1142,0.004,,0.0367,0.0285
420316,0.1972,,,0.1972,,0.1055,,0.0917,,,0.0229,
420324,0.1572,,,0.1397,0.0043,0.0742,0.0174,0.0829,,,0.0349,
420328,0.5232,,,0.4108,0.0116,0.2325,0.031,0.2906,0.0193,,0.0387,0.062
420336,0.1017,0.0718,,0.0239,,0.0538,,0.0479,,,0.0239,0.0059
420340,0.226,,,0.2183,0.0076,0.0804,,0.1455,,0.0076,0.0306,
420346,0.4035,0.03,,0.3132,0.0025,0.1904,0.005,0.213,0.0225,0.0025,0.0776,0.03
420348,0.2272,0.0075,,0.2121,,0.0681,0.0075,0.159,,,0.0303,
420358,0.32299999999999995,,,0.3076,,0.1615,,0.1615,0.0076,,0.0653,0.0076
420376,0.1569,0.0072,,0.1167,0.0036,0.0693,0.0036,0.0875,0.0109,,0.0437,0.0182
420LEA,0.2746,0.023,,0.2292,0.0056,0.1273,0.011,0.1473,0.0139,0.0045,0.0442,0.0268
421304,0.1547,,,0.0364,0.0136,0.0713,0.0212,0.0834,0.0075,,0.0424,0.0895
421306,0.2373,,,0.0639,0.0033,0.1111,0.0202,0.1262,0.0134,,0.0572,0.1397
421316,0.2189,,0.001,0.0794,0.0081,0.1089,0.0152,0.1099,0.0071,,0.0295,0.116
421328,0.129,,,0.0441,0.0081,0.0669,0.0114,0.062,0.0032,,0.0245,0.0702
421LEA,0.1886,,0.001,0.0586,0.0084,0.0916,0.0168,0.0969,0.0077,,0.0372,0.105
422310,0.0062,,,,,0.0062,,,,,,0.0062
422314,0.3612,0.0066,,0.3244,,0.1505,,0.2107,0.0133,,0.0367,0.0167
422315,0.3589,,,0.3333,,0.1692,0.0051,0.1897,0.0051,,0.0615,0.0153
422318,0.0531,,,0.0483,,0.0144,,0.0386,,,0.0289,0.0048
422LEA,0.2209,0.0066,,0.2453,,0.0953,0.0051,0.154,0.0101,,0.0413,0.0116
42A000,0.2987,,0.0025,0.243,,0.1493,0.0126,0.1493,0.0177,,0.0481,0.0227
430304,0.1567,,,0.0425,0.0102,0.0783,0.0221,0.0783,0.0136,0.0017,0.0187,0.0766
430308,0.1241,,,0.006999999999999999,0.0234,0.0585,0.0327,0.0655,0.006999999999999999,,0.014,0.0772
430312,0.0896,0.0039,,0.0139,0.0079,0.0298,0.0099,0.0597,0.0059,,0.0099,0.0557
430316,0.132,0.001,0.004,0.0282,0.012,0.0604,0.0322,0.0715,0.008,,0.0171,0.0584
430320,0.1254,0.0034,,0.0418,0.0034,0.0627,0.0139,0.0627,0.0104,,0.0209,0.0557
430328,0.1268,,,0.028,0.0147,0.053,0.0294,0.0737,0.0058,,0.0206,0.0634
430330,0.1729,,,0.0244,0.0179,0.08800000000000001,0.0342,0.0848,0.0114,,0.0424,0.1027
430332,0.2166,,0.0027,0.0916,0.0138,0.1,0.0333,0.1166,0.0194,,0.0527,0.0694
430336,0.1886,0.0071,,0.0213,0.0106,0.1103,0.0533,0.0782,0.0284,,0.0213,0.0782
430340,0.2105,,,0.0526,0.0175,0.0982,0.0561,0.1122,0.006999999999999999,,0.0456,0.0947
430341,0.1,,,0.02,,0.08,0.02,0.02,,,,0.06
430344,0.1699,0.0017,,0.0769,0.0071,0.0822,0.025,0.0876,0.0071,,0.0339,0.059
430345,1.409,,,0.7909,0.0454,0.3636,0.2181,1.0454,0.1,,0.3363,0.3
430346,0.1332,0.0026,,0.0274,0.01,0.0562,0.0328,0.077,0.008,,0.0241,0.0622
430347,0.1418,0.0008,,0.0341,0.0087,0.0683,0.028,0.0735,0.0043,,0.0315,0.0744
430348,0.1229,0.0017,,0.0356,0.0035,0.0588,0.0267,0.0641,0.0106,,0.0142,0.0481
430349,0.1276,,,0.0217,0.0027,0.0633,0.0271,0.0642,0.0117,,0.0171,0.0669
430351,0.1526,0.0011,,0.0227,0.0079,0.0774,0.0398,0.0751,0.0102,,0.0387,0.0785
430352,0.0783,,,0.015,0.0075,0.0391,0.0105,0.0391,0.003,,0.012,0.0496
430358,0.1443,,,0.0441,0.0103,0.0603,0.0147,0.0839,0.0088,,0.0486,0.0765
430368,0.1351,,,0.0098,0.0221,0.0614,0.0393,0.0737,0.0073,,0.0196,0.0786
430369,0.1576,0.002,0.001,0.0363,0.0062,0.0643,0.0311,0.0933,0.0114,0.002,0.0186,0.0736
430370,0.119,0.0027,,0.03,0.0095,0.0424,0.0287,0.0766,0.0082,,0.0218,0.0492
430371,0.1721,0.0005,,0.0465,0.0039,0.08800000000000001,0.0267,0.084,0.0142,0.0005,0.0147,0.0835
430376,0.1082,,,0.0177,,0.057,0.0059,0.0511,0.0177,,0.0216,0.0669
430378,0.2151,0.0023,,0.0603,0.0178,0.1122,0.0433,0.1029,0.0123,0.0007,0.0278,0.0959
430380,0.2072,0.0036,0.0036,0.0763,0.0109,0.1127,0.0218,0.0945,0.0254,,0.0436,0.0763
430384,0.1925,0.0007,,0.0287,0.0107,0.0933,0.0352,0.0991,0.0071,0.0014,0.0294,0.1192
430386,0.127,,,0.0179,0.0013,0.058,0.0193,0.069,0.0069,,0.0262,0.0828
430LEA,0.1574,0.0018,0.0027,0.0385,0.0099,0.0733,0.03,0.0841,0.0105,0.0011,0.0266,0.0764
43C000,0.0775,,,0.0043,0.0043,0.0603,0.0258,0.0172,0.0086,,0.0086,0.0387
440314,0.0097,,0.0019,,0.0019,0.0039,0.0019,0.0058,,,,0.0058
440318,0.0708,,,,,0.0354,0.0078,0.0354,,,0.0196,0.0629
440320,0.0942,,0.0018,,,0.0525,0.0054,0.0416,0.0072,,0.0144,0.0797
440326,0.6578,0.0087,,0.0175,,0.2456,0.0087,0.4122,0.0175,,0.114,0.6052
440328,0.0363,,,0.002,,0.0141,0.004,0.0222,,,0.0222,0.0303
440332,0.0518,,,0.0047,,0.0377,,0.0141,,,0.0047,0.0471
440346,0.0312,0.0062,,,,0.0187,0.0062,0.0125,,,,0.0187
440348,0.1338,0.0016,,0.0033,0.0016,0.0727,0.0066,0.0611,0.0049,,0.0165,0.1173
