agency_code,highqual_class_pct_A,highqual_class_pct_E,highqual_class_pct_H,highqual_class_pct_I,highqual_class_pct_M,highqual_class_pct_T
310344,,,1.0,,,
310352,,,0.99,,,
310356,,0.958,,,,
310360,,1.0,,,,
310364,,,,,,0.991
310384,,0.987,,,,
310388,,0.968,,,,
310392,,,1.0,,,
310396,,,,,1.0,
310LEA,,0.983,0.997,0.989,0.961,0.991
320304,,0.969,,,,
320306,,,,,0.956,
320308,,1.0,,,,
320309,,,1.0,,,
320310,,0.966,,,,
320312,,,0.921,,,
320313,,1.0,,,,
320314,,,,,,0.9
320315,,0.963,,,,
320316,,,,,0.879,
320317,,,0.944,,,
320318,,0.96,,,,
320319,,1.0,,,,
320320,,0.939,,,,
320323,,,,,,0.97
320324,,0.971,,,,
320325,,,0.939,,,
320327,,0.951,,,,
320328,,1.0,,,,
320332,,0.972,,,,
320338,,,,,0.923,
320339,,0.9,,,,
320340,,1.0,,,,
320341,,,,,,0.6759999999999999
320342,,,,,0.85,
320343,,,,,0.971,
320344,,1.0,,,,
320346,,,,,0.946,
320347,,0.957,,,,
320348,,1.0,,,,
320352,,0.943,,,,
320353,,,0.978,,,
320354,,0.933,,,,
320355,,,,,0.904,
320356,,,0.917,,,
320360,,0.968,,,,
320362,,1.0,,,,
320363,,0.964,,,,
320364,,1.0,,,,
320365,,,0.877,,,
320366,,,,,0.898,
320367,,0.947,,,,
320368,,,0.8270000000000001,,,
320369,,0.967,,,,
320370,,,,,0.909,
320372,,1.0,,,,
320374,,0.857,,,,
320376,,1.0,,,,
320388,,1.0,,,,
320400,,0.95,,,,
320701,,,1.0,,,
320LEA,,0.972,0.909,,0.915,0.923
32A000,,,,0.629,,
32B000,,,,0.85,,
32C000,,,,0.8240000000000001,,
32D000,0.746,,,,,
32H000,,,,1.0,,
32K000,,,,0.532,,
32L000,0.957,,,,,
32M000,,,,0.591,,
32N000,,,0.595,,,
32P000,,,,0.6559999999999999,,
32Q000,,0.333,,,,
32R000,,0.397,,,,
32S000,,,,,0.5,
330304,,1.0,,,,
330308,,1.0,,,,
330312,,0.933,,,,
330326,,,1.0,,,
330328,,,1.0,,,
330332,,,,,1.0,
330334,,1.0,,,,
330340,,,,,0.907,
330344,,,,,1.0,
330348,,,,,1.0,
330350,,,1.0,,,
330354,,0.989,,,,
330358,,,0.967,,,
330360,,,,0.962,,
330LEA,,0.99,0.99,0.962,0.973,
33A000,0.7040000000000001,,,,,
340308,,0.947,,,,
340311,,,1.0,,,
340314,,0.987,,,,
340320,,1.0,,,,
340326,,1.0,,,,
340330,,,1.0,,,
340332,,,0.984,,,
340334,,1.0,,,,
340336,,,1.0,,,
340344,,1.0,,,,
340348,,0.973,,,,
340350,,,,,1.0,
340351,,0.81,,,,
340354,,,,0.966,,
340362,,,1.0,,,
340364,,,0.969,,,
340366,,,,,0.933,
340368,,0.967,,,,
340372,,,,,0.98,
340376,,0.943,,,,
340380,,1.0,,,,
340382,,,0.984,,,
340384,,0.971,,,,
340385,,,,,,0.915
340390,,1.0,,,,
340392,,,,,0.952,
340400,,1.0,,,,
340403,,1.0,,,,
340406,,,,,0.983,
340416,,1.0,,,,
340420,,,,,1.0,
340424,,0.941,,,,
340426,,1.0,,,,
340427,0.488,,,,,
340428,,0.977,,,,
340430,,0.923,,,,
340432,,1.0,,,,
340436,,,,,0.93,
340440,,1.0,,,,
340442,,,,,0.981,
340446,,,1.0,,,
340447,,1.0,,,,
340448,,1.0,,,,
340452,,,,,1.0,
340453,,1.0,,,,
340454,,,0.954,,,
340457,,1.0,,,,
340460,,,0.994,,,
340462,,1.0,,,,
340464,,,,,1.0,
340472,,1.0,,,,
340476,,1.0,,,,
340480,,,,,,0.8909999999999999
340486,,,0.908,,,
340488,,,,,,0.983
340490,,1.0,,,,
340492,,,,,0.882,
340494,,1.0,,,,
340495,,,1.0,,,
340496,,,0.962,,,
340504,,1.0,,,,
340508,,1.0,,,,
340512,,1.0,,,,
340514,,1.0,,,,
340516,,,,,0.983,
340520,,0.952,,,,
340528,,0.984,,,,
340530,,0.982,,,,
340531,,1.0,,,,
340532,,1.0,,,,
340536,,1.0,,,,
340540,,0.972,,,,
340542,,,0.975,,,
340544,,,,,0.946,
340548,,0.976,,,,
340556,,,0.989,,,
340560,,1.0,,,,
340564,,,,,0.973,
340568,,,,,,0.888
340LEA,0.487,0.986,0.976,0.966,0.971,0.916
34B000,0.6809999999999999,,,,,
34D000,0.657,,,,,
34F000,,,,0.944,,
34G000,,,,0.893,,
34H000,0.618,,,,,
350304,,1.0,,,,
350308,,,0.946,,,
350310,,,,,0.9,
350312,,,,,0.882,
350316,,0.976,,,,
350317,,,1.0,,,
350318,,1.0,,,,
350321,,,0.917,,,
350324,,,,,0.929,
350330,,0.967,,,,
350331,,1.0,,,,
350332,,0.963,,,,
350336,,,0.913,,,
350338,,,,,0.8959999999999999,
350339,,0.963,,,,
350340,,1.0,,,,
350LEA,,0.982,0.931,,0.897,
35A000,,,,0.732,,
35B000,,0.444,,,,
360310,,,1.0,,,
360320,,1.0,,,,
360324,,,,,1.0,
360332,,1.0,,,,
360336,,,1.0,,,
360337,,,1.0,,,
360338,,1.0,,,,
360339,,1.0,,,,
360340,,1.0,,,,
360344,,1.0,,,,
360348,,1.0,,,,
360352,,0.96,,,,
360360,,,1.0,,,
360364,,1.0,,,,
360372,,,,,,1.0
360376,,1.0,,,,
360378,,,1.0,,,
360380,,,,,0.981,
360390,,,1.0,,,
360392,,1.0,,,,
360394,1.0,,,,,
360396,,,1.0,,,
360400,,1.0,,,,
360408,,,,,1.0,
360416,,1.0,,,,
360418,,,1.0,,,
360426,,,,,1.0,
360428,,,1.0,,,
360430,,1.0,,,,
360431,,,,,1.0,
360432,,1.0,,,,
360436,,,,,1.0,
360438,,1.0,,,,
360440,,1.0,,,,
360448,,1.0,,,,
360456,,,,,1.0,
360460,,1.0,,,,
360464,,1.0,,,,
360468,,1.0,,,,
360470,,,1.0,,,
360478,,1.0,,,,
360480,,1.0,,,,
360482,,1.0,,,,
360488,,1.0,,,,
360490,,1.0,,,,
360492,,1.0,,,,
360494,,,1.0,,,
360498,,,,,1.0,
360499,,1.0,,,,
360500,,,,,1.0,
360504,,1.0,,,,
360510,,1.0,,,,
360514,,,,,1.0,
360520,,0.968,,,,
360526,,,,,1.0,
360LEA,1.0,0.997,1.0,,0.998,1.0
36B000,0.921,,,,,
36C000,0.851,,,,,
370304,,1.0,,,,
370308,,,,,1.0,
