agency_code,pct_AIG_ELP,pct_ALL_ELP,pct_AM7_ELP,pct_AS7_ELP,pct_BL7_ELP,pct_EDS_ELP,pct_ELS_ELP,pct_FCS_ELP,pct_FEM_ELP,pct_HI7_ELP,pct_HMS_ELP,pct_MALE_ELP,pct_MIL_ELP,pct_MU7_ELP,pct_SWD_ELP,pct_WH7_ELP
900328,,71.4,,,,,71.4,,,,,,,,,
900332,,46.4,,,,54.5,46.4,,40.0,44.4,,53.8,,,,
900336,,9.5,,,,11.5,9.5,,6.1,9.6,,11.9,,,7.4,
900341,,48.5,,,,44.4,48.5,,70.0,41.7,,39.1,,,,
900342,,28.3,,,,28.1,28.3,,26.7,16.7,,29.0,,,6.3,
900343,,24.3,,,,22.6,24.3,,37.5,19.4,,14.3,,,5.9,
900344,,13.3,,,,10.0,13.3,,,13.3,,,,,,
900346,,7.7,,,,5.0,7.7,,,7.7,,10.0,,,,
900347,,62.2,,,,66.7,62.2,,57.1,66.7,,68.8,,,,
900348,,13.6,,,,12.5,13.6,,,14.3,,6.3,,,18.2,
900351,,54.6,,,,46.7,54.6,,61.6,54.1,,47.7,,,45.5,
900352,,72.7,,,,73.7,72.7,,90.0,76.2,,58.3,,,,
900354,,61.7,,,,58.3,61.7,,64.7,62.0,,60.0,,,53.8,61.5
900356,,69.4,,,,64.0,69.4,,83.3,66.7,,55.6,,,,73.3
900358,,65.2,,,,50.0,65.2,,63.6,60.0,,66.7,,,,
900360,,34.8,,,,18.2,34.8,,,47.1,,28.6,,,,
900362,,32.0,,,,26.3,32.0,,54.5,33.3,,14.3,,,,
900363,,64.5,,,,75.0,64.5,,71.4,71.4,,58.8,,,,45.5
900364,,59.3,,,,57.1,59.3,,69.2,59.3,,50.0,,,,
900368,,35.0,,,,33.3,35.0,,,35.0,,33.3,,,,
900370,,45.5,,,,40.3,45.5,,50.0,45.0,,41.2,,,28.0,
900372,,62.5,,,,60.0,62.5,,,60.0,,54.5,,,,
900384,,73.7,,,,70.6,73.7,,,73.7,,63.6,,,,
900388,,47.4,,,,48.9,47.4,,44.4,46.9,,49.2,,,41.7,
900LEA,,43.3,,62.5,56.3,40.1,43.3,,47.0,40.9,,40.5,,,26.3,61.8
90A000,,33.3,,,,,33.3,,,27.8,,35.3,,,,
90C000,,81.0,,,,,81.0,,,71.4,,80.0,,,,
910304,,30.5,,,,31.6,30.5,,37.0,26.4,,25.0,,,,
910308,,71.4,,,,,71.4,,,69.2,,60.0,,,,
910311,,12.5,,,,,12.5,,20.0,9.5,,7.1,,,,
910314,,46.7,,,,,46.7,,,40.0,,50.0,,,,
910316,,23.5,,,,,23.5,,,25.0,,23.1,,,,
910320,,16.7,,,,,16.7,,,10.0,,20.0,,,,
910346,,26.9,,,,,26.9,,45.5,14.3,,13.3,,,,
910356,,68.8,,,,,68.8,,,91.7,,,,,,
910360,,60.0,,,,,60.0,,,,,,,,,
910364,,11.1,,,,,11.1,,,11.8,,10.0,,,,
910370,,23.5,,,,,23.5,,,27.3,,40.0,,,,
910376,,37.0,,,,35.3,37.0,,27.3,36.0,,43.8,,,,
910380,,43.5,,,,50.0,43.5,,58.3,43.5,,27.3,,,,
910LEA,,33.9,,42.1,,33.1,33.9,,39.3,31.7,,30.2,,,20.7,45.8
91B000,,46.2,,,,53.8,46.2,,50.0,45.8,,43.8,,,,
920302,,59.6,,78.9,,58.4,59.6,,60.0,57.4,,59.2,,,26.7,
920303,,61.8,,,,57.1,61.8,,75.0,57.1,,54.5,,,,
920304,,61.2,,63.6,,61.4,61.2,,63.5,57.8,,58.6,,,47.1,78.9
920306,,51.1,,,,45.8,51.1,,66.7,45.2,,41.4,,,,
920307,,61.9,,70.4,,,61.9,,69.0,52.9,,58.2,,,,50.0
920308,,51.9,,,,52.3,51.9,,52.4,57.5,,51.5,,,,
920312,,20.0,,,,20.8,20.0,,23.1,18.5,,17.6,,,15.4,
920316,,38.8,,,,27.6,38.8,,45.0,22.2,,34.5,,,5.9,
920317,,55.2,,,,41.7,55.2,,,36.4,,45.0,,,,
920318,,29.5,,37.9,18.5,31.5,29.5,,36.8,22.6,,24.8,,,21.7,46.3
920320,,59.1,,,,61.0,59.1,,57.1,63.2,,60.9,,,,
920325,,66.0,,,,69.0,66.0,,68.8,65.3,,61.9,,,58.3,
920326,,54.3,,,,54.9,54.3,,56.9,57.0,,51.9,,,16.7,
920327,,54.8,,,,54.4,54.8,,60.7,57.9,,50.0,,,61.5,
920328,,78.6,,,,82.5,78.6,,78.8,83.8,,78.3,,,69.2,
920329,,53.9,,60.0,,51.8,53.9,,50.0,52.0,,57.1,,,58.8,
920332,,48.7,,47.1,,47.4,48.7,,64.6,48.0,,37.1,,,44.4,
920334,,53.3,,35.7,46.2,53.2,53.3,,57.1,55.2,,48.8,,,36.4,
920336,,48.5,,,,47.8,48.5,,52.2,50.6,,45.3,,,43.3,
920340,,61.3,,,,64.8,61.3,,57.1,60.0,,63.4,,,40.0,
920342,,49.0,,47.4,,47.8,49.0,,54.5,45.8,,44.4,,,,
920344,,51.8,,,,51.0,51.8,,60.0,52.1,,45.2,,,,
920348,,20.2,,31.3,13.0,19.8,20.2,,26.1,19.0,,16.2,,,27.0,30.8
920352,,39.5,,,,38.9,39.5,,35.3,41.7,,42.9,,,,
920356,,17.2,,,,12.5,17.2,,23.1,17.4,,12.5,,,7.1,
920358,,61.4,,63.5,,62.7,61.4,,72.9,58.3,,53.0,,,13.3,
920360,,23.8,,20.0,36.8,24.6,23.8,,21.6,20.0,,25.6,,,16.7,
920362,,43.2,,,,43.9,43.2,,57.1,41.5,,30.4,,,,
920364,,68.4,,,,69.7,68.4,,52.9,69.2,,80.0,,,50.0,
920368,,32.3,,26.3,20.0,31.5,32.3,,32.4,32.5,,32.3,,,26.5,46.2
920369,,82.7,,84.9,,73.3,82.7,,89.1,,,76.9,,,,
920370,,39.5,,,,46.4,39.5,,53.3,38.1,,30.4,,,27.3,
920376,,64.1,,69.6,,63.9,64.1,,53.3,62.5,,74.5,,,63.6,46.2
920380,,41.2,,,,43.8,41.2,,,38.5,,,,,,
920384,,49.4,,,,49.4,49.4,,51.6,50.6,,48.1,,,58.3,
920388,,34.7,,,,31.3,34.7,,33.3,29.0,,35.7,,,13.3,
