agency_code,crime,short_term,long_term,expulsion
190352,0.0,4.81,0.0,0.0
190370,0.0,3.7,0.0,0.0
190501,0.0,0.0,0.0,0.0
190LEA,0.34,2.75,0.0,0.0
190LEA,1.68,10.17,0.15,0.04
190LEA,0.0,4.08,0.0,0.0
190LEA,0.31,9.1,0.0,0.0
19A000,0.0,1.28,0.0,0.0
19B000,0.0,1.18,0.0,0.0
19C000,0.56,5.08,0.0,0.0
200304,0.0,3.19,0.0,0.0
200308,0.0,5.93,0.42,0.0
200310,1.08,4.3,0.0,0.0
200312,0.0,2.96,0.0,0.0
200314,0.0,3.26,0.0,0.0
200316,0.0,0.0,0.0,0.0
200320,0.0,8.0,0.0,0.0
200322,6.0,14.0,0.0,0.0
200324,0.22,2.7,0.0,0.0
200328,0.21,2.67,0.21,0.0
200330,0.32,6.03,0.32,0.0
200332,0.0,4.14,0.69,0.0
200336,0.0,4.27,0.36,0.0
200350,0.0,3.38,0.0,0.0
200LEA,0.1,2.78,0.1,0.0
200LEA,0.09,3.6,0.19,0.0
200LEA,0.0,5.08,0.15,0.0
200LEA,0.6,5.39,0.2,0.0
200LEA,6.0,14.0,0.0,0.0
20A000,0.52,6.19,0.0,0.0
210304,0.92,33.49,0.23,0.0
210306,0.38,15.04,0.38,0.0
210312,1.34,12.19,0.0,0.0
210316,0.0,9.43,0.0,0.0
210LEA,0.2,12.45,0.2,0.0
210LEA,1.34,12.19,0.0,0.0
210LEA,0.92,33.49,0.23,0.0
220308,0.0,2.04,0.0,0.0
220310,0.53,2.11,0.0,0.0
220312,0.0,0.46,0.0,0.0
220LEA,0.0,2.04,0.0,0.0
220LEA,0.53,2.11,0.0,0.0
220LEA,0.0,0.46,0.0,0.0
230304,0.24,6.46,0.0,0.0
230308,0.0,6.16,0.0,0.0
230312,2.58,36.35,0.0,0.0
230316,0.81,14.63,0.0,0.0
230320,0.0,2.28,0.0,0.0
230322,0.0,2.9,0.0,0.0
230324,1.95,28.16,0.17,0.0
230328,0.95,30.78,0.0,0.0
230330,10.4,337.6,4.8,0.0
230334,0.43,5.6,0.0,0.0
230336,1.28,20.51,0.0,0.0
230340,0.0,11.73,0.0,0.0
230342,0.75,23.4,0.0,0.0
230344,0.31,14.55,0.0,0.0
230346,8.26,38.53,0.0,0.0
230348,0.27,14.17,0.0,0.0
230350,1.22,32.63,0.0,0.0
230351,0.6,12.35,0.0,0.0
230352,0.0,23.13,0.0,0.0
230355,1.99,17.55,0.66,0.0
230357,0.34,3.37,0.0,0.0
230359,13.33,17.14,0.0,0.0
230361,1.56,23.71,0.0,0.0
230362,0.44,40.62,0.0,0.0
230364,0.0,4.2,0.0,0.0
230368,0.0,14.89,0.0,0.0
230370,1.02,10.46,0.0,0.0
230376,0.0,11.72,0.0,0.0
230380,0.0,7.85,0.0,0.0
230LEA,13.33,17.14,0.0,0.0
230LEA,0.72,11.74,0.03,0.0
230LEA,1.73,29.24,0.04,0.0
230LEA,0.69,23.23,0.0,0.0
230LEA,10.4,337.6,4.8,0.0
23A000,0.35,12.61,0.0,0.0
240304,0.0,17.91,0.0,0.0
240308,0.0,6.46,0.0,0.0
240328,0.0,7.32,0.0,0.0
240330,0.0,44.55,0.0,0.0
240332,0.0,15.06,0.0,0.0
240334,1.18,14.12,0.0,0.0
240344,0.0,26.53,0.0,0.0
240352,0.0,4.13,0.0,0.0
240354,0.0,10.03,0.0,0.0
240356,0.0,19.05,0.0,0.0
240368,0.0,4.64,0.0,0.0
240370,0.0,3.11,0.0,0.0
240371,1.2,17.94,0.27,0.0
240372,0.0,7.01,0.0,0.0
240373,0.0,7.37,0.0,0.0
240376,0.0,12.5,0.0,0.0
240380,0.66,34.0,0.66,0.0
240388,0.0,10.67,0.0,0.0
240LEA,,,,
240LEA,0.0,7.99,0.0,0.0
240LEA,0.88,19.15,0.26,0.0
240LEA,0.0,12.85,0.0,0.0
240LEA,0.0,17.22,0.0,0.0
240LEA,,,,
241304,0.4,53.64,0.0,0.0
241308,0.0,8.61,0.0,0.0
241312,0.0,136.0,0.0,0.0
241316,0.71,11.49,0.0,0.0
241320,0.0,1.59,0.0,0.0
241LEA,,,,
241LEA,0.0,5.01,0.0,0.0
241LEA,0.71,11.49,0.0,0.0
241LEA,0.4,53.64,0.0,0.0
241LEA,0.0,136.0,0.0,0.0
24B000,0.0,18.75,0.0,0.0
24N000,0.0,0.0,0.0,0.0
250304,0.69,12.47,0.0,0.0
250306,0.64,15.96,0.0,0.0
250308,0.0,9.18,0.0,0.0
250312,0.0,25.55,0.0,0.0
250314,0.48,2.9,0.0,0.0
250316,0.0,1.46,0.0,0.0
250320,0.33,9.59,0.0,0.0
250321,0.0,0.0,0.0,0.0
250324,0.18,11.05,0.0,0.0
250328,0.34,10.81,0.0,0.0
250332,0.51,25.51,0.51,0.0
250336,0.0,25.3,0.0,0.0
250340,0.85,25.99,0.0,0.0
250344,0.0,29.62,0.51,0.0
250348,0.61,19.82,0.0,0.0
250350,0.0,24.53,0.0,0.0
250356,1.21,28.56,0.24,0.0
250360,0.0,19.68,0.0,0.0
250362,1.29,10.82,0.0,0.0
250364,0.0,14.38,0.0,0.0
250368,0.0,11.27,0.0,0.0
250372,0.33,31.92,0.44,0.0
250376,0.26,66.33,0.0,0.0
250378,0.0,3.01,0.0,0.0
250380,0.0,2.44,0.0,0.0
250LEA,0.24,13.42,0.0,0.0
250LEA,0.82,25.93,0.2,0.0
250LEA,0.23,31.62,0.2,0.0
260302,0.0,3.2,0.0,0.0
260306,0.72,7.97,0.0,0.0
260308,0.0,5.33,0.0,0.0
260310,0.39,11.94,0.0,0.0
260312,0.0,12.37,0.0,0.0
260316,0.0,4.61,0.0,0.0
260318,0.85,6.27,0.0,0.0
260320,0.37,14.1,0.0,0.0
260321,3.22,40.03,0.0,0.0
260322,4.33,62.52,0.0,0.0
260325,0.96,16.26,0.0,0.0
260326,0.0,11.13,0.0,0.0
260332,0.74,5.93,0.0,0.0
260336,1.43,44.13,0.0,0.0
260338,0.15,24.12,0.0,0.0
260340,0.22,1.94,0.0,0.0
260342,0.0,11.8,0.0,0.0
260344,0.0,4.02,0.0,0.0
260347,0.0,6.75,0.0,0.0
260348,0.64,17.5,0.0,0.0
260352,0.27,2.47,0.0,0.0
260354,0.0,2.7,0.0,0.0
260356,0.4,9.6,0.0,0.0
260357,0.79,8.96,0.0,0.0
260358,1.59,66.33,0.0,0.0
260359,1.94,32.72,0.0,0.0
260361,0.0,17.83,0.0,0.0
260362,0.19,9.86,0.0,0.0
260363,0.78,7.75,0.0,0.0
260364,0.15,1.8,0.0,0.0
260365,1.55,21.19,0.0,0.0
260366,0.0,2.04,0.0,0.0
260367,0.12,13.52,0.0,0.0
260368,0.35,25.53,0.0,0.0
260369,0.31,4.48,0.0,0.0
260370,0.14,6.14,0.0,0.0
260371,0.64,19.55,0.0,0.0
260372,2.73,55.46,0.0,0.0
260373,0.11,8.52,0.0,0.0
260374,2.04,79.59,7.14,0.0
260375,0.47,5.92,0.0,0.0
260380,0.44,10.2,0.0,0.0
260382,0.22,5.84,0.0,0.0
260383,1.02,15.99,0.0,0.0
260386,0.0,13.52,0.0,0.0
260388,0.32,4.84,0.0,0.0
260396,2.26,8.82,0.0,0.0
260397,0.0,2.4,0.0,0.0
260398,0.6,3.77,0.0,0.0
