agency_code,pct_met_ACT WorkKeys_PART,pct_met_Biology_PART,pct_met_English II_PART,pct_met_High School Math_PART,pct_met_Math Grades 3-8_PART,pct_met_Reading Grades 3-8_PART,pct_met_Science Grades 5&8_PART,pct_met_The ACT_PART,pct_met_Total Targets_PART
130344,,,,,100.0,100.0,100.0,,100.0
130345,,,,,100.0,100.0,100.0,,100.0
130346,,,,,100.0,100.0,100.0,,100.0
130349,,,100.0,,,,,,100.0
130350,,100.0,100.0,100.0,,,,100.0,100.0
130355,,,,,100.0,100.0,100.0,,100.0
132304,100.0,100.0,85.7,100.0,,,,85.7,93.9
132308,,,,,100.0,100.0,100.0,,100.0
132312,,,,,100.0,100.0,100.0,,100.0
132314,,,,,100.0,100.0,100.0,,100.0
132328,,,,,100.0,100.0,100.0,,100.0
132330,,,,,100.0,100.0,85.7,,95.7
132332,,,,,100.0,100.0,100.0,,100.0
132336,,,,,100.0,100.0,100.0,,100.0
13A000,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13B000,,,100.0,,100.0,100.0,100.0,,100.0
13C000,,,,,100.0,100.0,100.0,,100.0
13D000,,,,,100.0,100.0,100.0,,100.0
140304,,,,,100.0,100.0,100.0,,100.0
140305,100.0,100.0,100.0,100.0,,,,100.0,100.0
140306,,,,,100.0,100.0,,,100.0
140308,,,,,100.0,100.0,100.0,,100.0
140309,,100.0,100.0,100.0,,,,100.0,100.0
140312,,,,,100.0,100.0,100.0,,100.0
140316,,,,,100.0,100.0,100.0,,100.0
140324,,,,,100.0,100.0,100.0,,100.0
140332,,,,,100.0,100.0,100.0,,100.0
140336,,,,,100.0,100.0,100.0,,100.0
140340,,,,,100.0,100.0,100.0,,100.0
140344,,,,,100.0,100.0,100.0,,100.0
140348,100.0,100.0,100.0,100.0,,,,100.0,100.0
140352,,,,,100.0,100.0,100.0,,100.0
140356,,,,,100.0,100.0,100.0,,100.0
140360,,,,,100.0,100.0,100.0,,100.0
140368,,,,,100.0,100.0,100.0,,100.0
140372,,,,,100.0,100.0,100.0,,100.0
140376,,,,,100.0,100.0,100.0,,100.0
140384,,,,,100.0,100.0,100.0,,100.0
140386,100.0,100.0,100.0,100.0,,,,100.0,100.0
140388,,,,,100.0,100.0,,,100.0
140390,100.0,100.0,100.0,100.0,,,,100.0,100.0
140392,,,,,100.0,100.0,100.0,,100.0
140396,,,,,100.0,100.0,100.0,,100.0
150304,100.0,100.0,100.0,100.0,,,,100.0,100.0
150308,,,,,100.0,100.0,,,100.0
150310,,,,,100.0,100.0,100.0,,100.0
150312,,,,,100.0,100.0,100.0,,100.0
150350,,100.0,100.0,100.0,,,,100.0,100.0
160304,,,,,100.0,100.0,,,100.0
160306,,,,,100.0,100.0,100.0,,100.0
160308,,,,,100.0,100.0,100.0,,100.0
160310,,,,,100.0,100.0,100.0,,100.0
160311,,,,,100.0,100.0,100.0,,100.0
160313,100.0,100.0,100.0,100.0,,,,100.0,100.0
160314,100.0,100.0,100.0,100.0,,,,100.0,100.0
160316,,,,,100.0,100.0,,,100.0
160317,,,,,100.0,100.0,100.0,,100.0
160318,,,,,100.0,100.0,100.0,,100.0
160322,,,,,100.0,100.0,,,100.0
160324,,,,,100.0,100.0,100.0,,100.0
160326,,,,,100.0,100.0,100.0,,100.0
160332,,,,,100.0,100.0,100.0,,100.0
160344,0.0,100.0,100.0,100.0,,,,100.0,90.0
160352,,,,,100.0,100.0,100.0,,100.0
16B000,,,,,100.0,100.0,100.0,,100.0
170316,25.0,100.0,100.0,100.0,,,,100.0,85.0
170334,,,,,100.0,100.0,100.0,,100.0
170338,,,,,100.0,100.0,100.0,,100.0
170339,,,,,100.0,100.0,100.0,,100.0
170342,,,,,100.0,100.0,100.0,,100.0
170344,,,,,100.0,100.0,100.0,,100.0
180302,,,,,100.0,100.0,100.0,,100.0
180304,,,,,100.0,100.0,100.0,,100.0
180308,100.0,100.0,100.0,100.0,,,,100.0,100.0
180312,,,,,100.0,100.0,100.0,,100.0
180316,,,,,100.0,100.0,100.0,,100.0
180320,100.0,100.0,100.0,100.0,,,,100.0,100.0
180324,,,,,100.0,100.0,100.0,,100.0
180325,,100.0,100.0,100.0,,,,100.0,100.0
180326,,,,,100.0,100.0,100.0,,100.0
180332,,,,,100.0,100.0,100.0,,100.0
180336,,,,,100.0,100.0,100.0,,100.0
180340,100.0,100.0,100.0,100.0,,,,100.0,100.0
180342,,,,,100.0,100.0,100.0,,100.0
180343,,,,,100.0,100.0,100.0,,100.0
180344,,,,,100.0,100.0,100.0,,100.0
180346,,,,,100.0,100.0,100.0,,100.0
180348,100.0,100.0,100.0,100.0,,,,100.0,100.0
180352,,,,,100.0,100.0,100.0,,100.0
180356,,,,,100.0,100.0,100.0,,100.0
180360,,,,,100.0,100.0,100.0,,100.0
180364,,,,,100.0,100.0,100.0,,100.0
180368,,,,,100.0,100.0,100.0,,100.0
180372,,,,,100.0,100.0,100.0,,100.0
180376,100.0,100.0,100.0,100.0,,,,100.0,100.0
180379,,,,,100.0,100.0,100.0,,100.0
180380,,,,,100.0,100.0,100.0,,100.0
180388,,,,,100.0,100.0,100.0,,100.0
181312,,,,,100.0,100.0,100.0,,100.0
181316,,,,,100.0,100.0,100.0,,100.0
