agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
250306,N,N,Y,Y
250308,N,N,Y,Y
250312,N,N,Y,Y
250314,N,N,N,N
250316,N,N,N,N
250320,N,N,Y,Y
250321,N,N,N,N
250324,N,N,Y,Y
250328,N,N,N,N
250332,N,N,Y,Y
250336,N,N,Y,Y
250340,N,N,Y,Y
250344,N,N,Y,Y
250348,N,N,Y,Y
250350,N,N,N,N
250356,N,N,Y,Y
250360,N,N,Y,Y
250362,N,N,Y,Y
250364,N,N,N,N
250368,N,N,Y,Y
250372,N,N,Y,Y
250376,N,N,Y,Y
250378,N,N,N,N
250380,N,N,Y,N
260302,N,N,Y,Y
260306,N,N,N,N
260308,N,N,Y,Y
260310,N,N,Y,Y
260312,N,N,N,N
260316,N,N,N,N
260318,N,N,N,N
260320,N,N,Y,Y
260321,N,N,Y,Y
260322,N,N,Y,N
260325,N,N,N,N
260326,N,N,Y,Y
260332,N,N,N,N
260336,N,N,Y,Y
260338,N,N,Y,Y
260340,N,N,Y,Y
260342,N,N,Y,Y
260344,N,N,Y,Y
260347,N,N,N,N
260348,N,N,N,N
260352,N,N,Y,Y
260354,N,N,N,N
260356,N,N,N,N
260357,N,N,N,N
260358,N,N,Y,Y
260359,N,N,N,N
260361,N,N,Y,Y
260362,N,N,Y,Y
260363,N,N,Y,Y
260364,N,N,Y,Y
260365,N,N,Y,Y
260366,N,N,Y,Y
260367,N,N,Y,Y
260368,N,N,Y,Y
260369,N,N,N,N
260370,N,N,Y,Y
260371,N,N,Y,Y
260372,N,N,Y,Y
260373,N,N,Y,Y
260374,N,Y,N,N
260375,N,N,Y,Y
260380,N,N,N,N
260382,N,N,Y,Y
260383,N,N,Y,Y
260386,N,N,Y,Y
260388,N,N,N,N
260396,N,N,Y,Y
260397,N,N,Y,Y
260398,N,N,Y,Y
260400,N,N,Y,Y
260401,N,N,Y,Y
260402,N,N,Y,Y
260403,N,N,Y,N
260404,N,N,Y,Y
260405,N,N,Y,Y
260406,N,N,Y,Y
260407,N,N,Y,Y
260408,N,N,N,N
260410,N,N,Y,Y
260411,N,N,N,N
260412,N,N,N,N
260413,N,N,Y,Y
260414,N,N,Y,Y
260415,N,N,Y,Y
260416,N,N,N,N
260417,N,N,Y,Y
260418,N,N,Y,Y
260419,N,N,Y,Y
260424,N,N,N,N
260425,N,N,Y,Y
260426,N,N,Y,Y
