agency_code,avg_size_00_SAR,avg_size_01_SAR,avg_size_02_SAR,avg_size_03_SAR,avg_size_04_SAR,avg_size_05_SAR,avg_size_06_SAR,avg_size_07_SAR,avg_size_08_SAR,avg_size_Biology_SAR,avg_size_English II_SAR,avg_size_Math I_SAR
140396,19.0,17.0,15.0,18.0,22.0,16.0,,,,,,
140LEA,18.333333333333332,18.0,18.0,22.0,19.333333333333332,20.666666666666668,20.333333333333332,18.25,20.0,18.0,13.0,17.0
150304,,,,,,,,,,14.0,18.0,16.0
150308,20.0,20.0,19.0,20.0,,,,,,,,
150310,,,,,25.0,24.0,26.0,,,,,
150312,,,,,,,,15.0,16.0,,,17.0
150350,,,,,,,,,,21.0,17.0,14.0
150LEA,20.0,20.0,19.0,20.0,25.0,24.0,26.0,15.0,16.0,17.5,18.0,16.0
160304,16.0,15.0,12.0,14.0,11.0,15.0,,,,,,
160306,17.0,19.0,21.0,19.0,19.0,20.0,,,,,,
160308,14.0,17.0,14.0,16.0,16.0,16.0,,,,,,
160309,,,,,,,,,,,5.0,
160310,,,,,,,22.0,19.0,20.0,,,11.0
160311,,,,,,,25.0,22.0,23.0,,,18.0
160313,,,,,,,,,,17.0,13.0,17.0
160314,,,,,,,,,,16.0,18.0,20.0
160316,20.0,12.0,19.0,15.0,,21.0,,,,,,
160317,,,,,17.0,16.0,,,,,,
160318,,,,,,,18.0,21.0,20.0,,,24.0
160322,20.0,19.0,20.0,18.0,,,,,,,,
160324,19.0,19.0,17.0,17.0,21.0,19.0,,,,,,
160326,,,,,,,21.0,18.0,21.0,,,17.0
160332,19.0,14.0,12.0,15.0,14.0,10.0,21.0,20.0,16.0,,,6.0
160344,,,,,,,,,,18.0,19.0,15.0
160352,20.0,21.0,23.0,22.0,23.0,20.0,,,,,,
160LEA,18.333333333333332,16.0,15.666666666666666,16.333333333333332,16.333333333333332,15.0,21.333333333333332,20.0,19.0,17.0,12.0,14.25
170316,,,,,,,,,,16.0,17.0,16.0
170334,16.0,19.0,15.0,17.0,20.0,24.0,,,,,,
170338,,,,,,,16.0,19.0,21.0,,,24.0
170339,17.0,19.0,20.0,17.0,19.0,18.0,,,,,,
170342,16.0,17.0,19.0,18.0,24.0,16.0,,,,,,
170344,15.0,15.0,12.0,16.0,,18.0,,,,,,
170LEA,16.0,18.0,17.0,17.0,21.0,19.0,16.0,19.0,21.0,16.0,17.0,19.666666666666668
180302,,,,,,,,24.0,23.0,,,29.0
180304,20.0,18.0,17.0,21.0,24.0,24.0,26.0,,,,,
180308,,,,,,,,,,25.0,29.0,22.0
180312,16.0,23.0,22.0,19.0,25.0,20.0,18.0,,,,,
180316,19.0,20.0,20.0,16.0,24.0,21.0,24.0,,,,,
180320,,,,,,,,,,25.0,23.0,19.0
180324,22.0,19.0,22.0,19.0,21.0,22.0,21.0,,,,,
180325,,,,,,,,,,15.0,18.0,18.0
180326,19.0,21.0,17.0,19.0,24.0,25.0,28.0,,,,,
180332,18.0,15.0,17.0,16.0,19.0,22.0,21.0,,,,,
180336,18.0,18.0,17.0,19.0,25.0,23.0,23.0,,,,,
180340,,,,,,,,,,20.0,22.0,21.0
180342,,,,,,,,24.0,23.0,,,32.0
180343,18.0,19.0,18.0,18.0,22.0,26.0,24.0,,,,,
180344,18.0,17.0,19.0,18.0,26.0,24.0,23.0,,,,,
180346,,,,,,,,24.0,22.0,,,29.0
180348,,,,,,,,,,21.0,24.0,22.0
180352,,,,,,,,21.0,20.0,,,25.0
180356,18.0,19.0,17.0,20.0,24.0,25.0,21.0,,,,,
180360,19.0,16.0,17.0,15.0,22.0,23.0,20.0,,,,,
180364,,,,,,,,28.0,27.0,,,29.0
180368,21.0,15.0,19.0,17.0,20.0,29.0,25.0,,,,,
180372,18.0,17.0,19.0,18.0,21.0,20.0,23.0,,,,,
180376,,,,,,,,,,20.0,27.0,19.0
180379,16.0,18.0,16.0,17.0,21.0,27.0,22.0,,,,,
