District Name,unit_code,School Name,State Board Region,SPG Grade,SPG Score,Reading SPG Grade,Reading SPG Score,Math SPG Grade,Math SPG Score,EVAAS Growth Status,EVAAS Growth Score,Overall Achievement Score,Reading Score,Math Score,Science Score,Math I Score,English II Score,Biology Score,ACT Score,ACT WorkKeys Score,Passing Math III,4-Year Cohort Graduation Rate Score,State Gap Compared
Buncombe County Schools,110332,Bell Elementary,Western Region,C,69.0,66.0,C,68.0,C,Met,71.3,68,65,66,83,,,,,,,,
Buncombe County Schools,110336,Owen High,Western Region,B,71.0,,,,,Exceeded,85.6,68,,,,52,63,53,56,81,100,87,
Buncombe County Schools,110338,Owen Middle,Western Region,C,65.0,59.0,C,61.0,C,Met,80.3,61,59,54,79,100,,,,,,,
Buncombe County Schools,110340,Erwin High,Western Region,C,60.0,,,,,Met,72.2,57,,,,32,50,54,42,64,100,79,
Buncombe County Schools,110342,Erwin Middle,Western Region,C,59.0,57.0,C,52.0,D,Met,83.5,53,51,44,69,100,,,,,,,
Buncombe County Schools,110348,Emma Elementary,Western Region,C,59.0,55.0,C,63.0,C,Exceeded,86.0,53,48,57,,,,,,,,,
Buncombe County Schools,110352,Enka High,Western Region,C,66.0,,,,,NotMet,61.0,68,,,,52,57,50,63,80,100,84,
Buncombe County Schools,110356,Fairview Elementary,Western Region,B,80.0,76.0,B,79.0,B,Exceeded,93.6,76,74,75,84,,,,,,,,
Buncombe County Schools,110366,Glen Arden Elementary,Western Region,B,75.0,78.0,B,72.0,B,Met,80.0,74,77,71,,,,,,,,,
Buncombe County Schools,110368,Haw Creek Elementary,Western Region,B,76.0,75.0,B,73.0,B,Met,80.5,75,75,70,89,,,,,,,,
Buncombe County Schools,110370,Hominy Valley Elementary,Western Region,B,76.0,72.0,B,75.0,B,Met,82.8,74,71,73,88,,,,,,,,
Buncombe County Schools,110372,Johnston Elementary,Western Region,C,57.0,54.0,D,60.0,C,Exceeded,90.0,49,46,52,,,,,,,,,
Buncombe County Schools,110376,Leicester Elementary,Western Region,C,61.0,59.0,C,63.0,C,Met,76.8,57,55,58,,,,,,,,,
