year,agency_code,poverty,number_of_teachers,beg_teacher,pct_beg_teachers,prov_teachers,pct_prov_teachers,num_prin,inexp_count_prin,pct_inexp_prin
2019,170344,HIGH,19.0,5.0,0.2632,0.0,0.0,,,
2019,180302,NEITHER,38.0,2.0,0.0526,0.0,0.0,,,
2019,180304,NEITHER,55.0,5.0,0.0909,0.0,0.0,,,
2019,180308,LOW,50.0,4.0,0.08,0.0,0.0,,,
2019,180312,NEITHER,23.0,4.0,0.1739,0.0,0.0,,,
2019,180316,NEITHER,45.0,4.0,0.0889,0.0,0.0,,,
2019,180320,NEITHER,53.0,1.0,0.0189,0.0,0.0,,,
2019,180323,NEITHER,17.0,1.0,0.0588,0.0,0.0,,,
2019,180324,NEITHER,32.0,2.0,0.0625,0.0,0.0,,,
2019,180325,NEITHER,14.0,0.0,0.0,0.0,0.0,,,
2019,180326,NEITHER,29.0,0.0,0.0,0.0,0.0,,,
2019,180332,NEITHER,32.0,4.0,0.125,0.0,0.0,,,
2019,180336,NEITHER,35.0,1.0,0.0286,0.0,0.0,,,
2019,180340,LOW,52.0,2.0,0.0385,0.0,0.0,,,
2019,180342,NEITHER,32.0,0.0,0.0,0.0,0.0,,,
2019,180343,NEITHER,53.0,7.0,0.1321,0.0,0.0,,,
2019,180344,NEITHER,41.0,1.0,0.0244,0.0,0.0,,,
2019,180346,NEITHER,28.0,2.0,0.0714,0.0,0.0,,,
2019,180348,NEITHER,54.0,4.0,0.0741,0.0,0.0,,,
2019,180352,LOW,25.0,1.0,0.04,0.0,0.0,,,
2019,180356,NEITHER,43.0,1.0,0.0233,0.0,0.0,,,
2019,180360,NEITHER,38.0,2.0,0.0526,0.0,0.0,,,
2019,180364,NEITHER,29.0,6.0,0.2069,0.0,0.0,,,
2019,180368,LOW,29.0,3.0,0.1034,0.0,0.0,,,
2019,180372,HIGH,58.0,5.0,0.0862,0.0,0.0,,,
2019,180376,NEITHER,69.0,4.0,0.057999999999999996,0.0,0.0,,,
