digital_media,year,agency_code,category_code,device_access,device_access_grades,device_home,device_home_grades,BYOD,byod_grades,Book_TitlesPer_Student,wap,wap_class,media_school,devices
0,2019,360320,E,Yes,2:3:4:5,No,-,Yes,2:3:4:5,11.91,45,1.07,2001.0,0.69
2,2019,360324,M,Yes,6:07:08,No,-,Yes,6:07:08,12.94,48,1.17,2004.0,0.63
1,2019,360332,E,Yes,3:04:05,No,-,No,-,16.77,35,1.3,2006.0,0.67
1,2019,360336,H,No,-,No,-,No,-,11.79,50,1.32,1994.0,0.58
-,2019,360337,H,Yes,9:10:11:12,No,-,Yes,9:10:11:12:13,,18,1.5,,0.58
2,2019,360338,E,No,-,Yes,12,No,-,16.71,40,1.48,2005.0,0.71
0,2019,360339,E,Yes,4:05,No,-,Yes,4:05,28.32,17,1.55,2002.0,0.53
1,2019,360340,E,Yes,3:04:05,No,-,Yes,K:1:2:3:4:5,12.53,41,1.05,2005.0,0.71
2,2019,360344,E,No,-,No,-,Yes,3:04:05,14.16,45,1.07,2005.0,0.75
8,2019,360348,E,Yes,K:1:2:3:4:5,No,-,No,-,14.92,26,1.08,2004.0,0.63
1,2019,360352,E,Yes,K:1:2:3:4:5,No,-,No,-,32.02,34,1.06,2001.0,0.59
0,2019,360360,H,Yes,9:10:11:12,No,-,Yes,9:10:11:12,13.51,49,1.29,2000.0,0.57
1,2019,360364,E,Yes,K:1:2:3,No,-,No,-,20.32,37,1.16,2004.0,0.61
4,2019,360372,T,Yes,6:7:8:9:10:11:12,No,-,No,-,45.17,26,1.3,2008.0,0.49
0,2019,360376,E,Yes,K:1:2:3:4:5,No,-,No,-,21.57,42,1.24,2004.0,0.62
12,2019,360378,H,No,-,No,-,Yes,9:10:11:12,8.59,165,2.7,2009.0,0.68
0,2019,360380,M,Yes,6:07:08,No,-,Yes,6:07:08,13.35,57,1.24,2005.0,0.66
5,2019,360390,H,Yes,9:10:11:12,No,-,Yes,9:10:11:12,12.95,77,1.17,1998.0,0.69
1,2019,360392,E,Yes,3:04:05,No,-,No,-,21.24,42,1.17,2006.0,0.7
0,2019,360394,A,No,-,No,-,No,-,5.23,27,1.35,2006.0,1.04
1,2019,360396,H,Yes,9:10:11:12,No,-,Yes,9:10:11:12,12.66,72,1.09,1998.0,0.68
0,2019,360400,E,No,-,No,-,No,-,10.9,42,1.08,2010.0,0.67
0,2019,360408,M,Yes,6:07:08,No,-,No,-,15.22,57,1.46,2003.0,0.63
1,2019,360418,H,No,-,No,-,Yes,9:10:11:12,11.53,60,1.62,2003.0,0.58
1,2019,360420,E,Yes,K:1:2:3:4:5,No,-,No,-,19.9,24,1.33,2007.0,0.6
1,2019,360426,M,Yes,8,No,-,No,-,9.54,45,1.18,2003.0,0.72
1,2019,360428,H,Yes,9:10:11:12,No,-,Yes,9:10:11:12,7.57,80,1.05,2001.0,0.53
6,2019,360430,E,No,-,No,-,No,-,19.19,29,1.26,2002.0,0.8
3,2019,360431,M,No,-,No,-,Yes,6:07:08,18.79,40,1.33,2005.0,0.64
1,2019,360432,E,Yes,3:04:05,No,-,Yes,3:04:05,12.94,36,1.16,2005.0,0.73
0,2019,360436,M,No,-,No,-,No,-,15.25,50,1.35,2003.0,0.63
1,2019,360438,E,Yes,3:04:05,No,-,No,-,20.42,41,1.37,2004.0,0.84
0,2019,360440,E,Yes,1:2:3:4:5,No,-,No,-,13.54,38,1.27,2002.0,0.84
1,2019,360448,E,Yes,K:1:2:3:4:5,No,-,No,-,30.79,18,1.0,2004.0,0.37
1,2019,360456,M,Yes,6:07:08,No,-,Yes,6:07:08,12.63,51,1.31,2008.0,0.59
1,2019,360464,E,Yes,K:1:2:3:4:5,No,-,No,-,15.3,34,1.1,2005.0,0.77
2,2019,360468,E,Yes,K:1:2:3:4:5,No,-,No,-,16.97,32,1.1,2009.0,0.64
1,2019,360470,H,No,-,No,-,Yes,9:10:11:12,15.33,80,1.27,2002.0,0.75
1,2019,360478,E,Yes,K:1:2:3:4:5,No,-,No,-,14.91,37,1.09,2001.0,0.67
6,2019,360480,E,Yes,K:1:2:3:4:5,No,-,No,-,10.11,98,2.13,2010.0,0.6
1,2019,360482,E,Yes,K:1:2:3:4:5,No,-,Yes,K:1:2:3:4:5,15.79,37,0.93,2002.0,0.73
2,2019,360488,E,Yes,1:2:3:4:5,No,-,No,-,15.72,46,1.31,2001.0,0.66
5,2019,360490,E,Yes,K:1:2:3:4:5,No,-,No,-,19.34,46,1.15,2001.0,0.57
5,2019,360492,E,Yes,K:1:2:3:4:5,No,-,No,-,20,54,1.29,2007.0,0.62
1,2019,360494,H,No,-,No,-,Yes,9:10:11:12,10.61,66,1.1,1999.0,0.8
1,2019,360498,M,Yes,6:07:08,No,-,No,-,12.49,55,1.25,2007.0,0.57
1,2019,360499,E,No,-,No,-,No,-,22.44,39,1.15,2006.0,0.81
