year,agency_code,target,pct_met,target_met,target_assign
2019,90332,Reading Grades 3-8,100.0,7,7
2019,90332,Science Grades 5&8,100.0,6,6
2019,90333,Total Targets,100.0,12,12
2019,90333,Math Grades 3-8,100.0,6,6
2019,90333,Reading Grades 3-8,100.0,6,6
2019,90352,Total Targets,100.0,4,4
2019,90352,Math Grades 3-8,100.0,2,2
2019,90352,Reading Grades 3-8,100.0,2,2
2019,90365,Total Targets,100.0,20,20
2019,90365,Math Grades 3-8,100.0,7,7
2019,90365,Reading Grades 3-8,100.0,7,7
2019,90365,Science Grades 5&8,100.0,6,6
2019,90368,The ACT,100.0,5,5
2019,90368,Total Targets,100.0,25,25
2019,90368,High School Math,100.0,5,5
2019,90368,English II,100.0,5,5
2019,90368,Biology,100.0,5,5
2019,90368,ACT WorkKeys,100.0,5,5
2019,09A000,Total Targets,100.0,7,7
2019,09A000,Math Grades 3-8,100.0,3,3
2019,09A000,Reading Grades 3-8,100.0,3,3
2019,09A000,Science Grades 5&8,100.0,1,1
2019,09B000,Total Targets,100.0,12,12
2019,09B000,Math Grades 3-8,100.0,5,5
2019,09B000,Reading Grades 3-8,100.0,5,5
2019,09B000,Science Grades 5&8,100.0,2,2
2019,100302,Total Targets,100.0,19,19
2019,100302,Math Grades 3-8,100.0,8,8
2019,100302,Reading Grades 3-8,100.0,8,8
2019,100302,Science Grades 5&8,100.0,3,3
2019,100304,Total Targets,100.0,9,9
2019,100304,Math Grades 3-8,100.0,3,3
2019,100304,Reading Grades 3-8,100.0,3,3
2019,100304,Science Grades 5&8,100.0,3,3
2019,100307,The ACT,100.0,3,3
2019,100307,Total Targets,100.0,12,12
2019,100307,High School Math,100.0,3,3
2019,100307,English II,100.0,3,3
2019,100307,Biology,100.0,3,3
2019,100309,Total Targets,100.0,19,19
2019,100309,Math Grades 3-8,100.0,7,7
2019,100309,Reading Grades 3-8,100.0,7,7
2019,100309,Science Grades 5&8,100.0,5,5
2019,100310,Total Targets,100.0,17,17
2019,100310,Math Grades 3-8,100.0,7,7
2019,100310,Reading Grades 3-8,100.0,7,7
2019,100310,Science Grades 5&8,100.0,3,3
2019,100316,Total Targets,100.0,22,22
2019,100316,Math Grades 3-8,100.0,8,8
2019,100316,Reading Grades 3-8,100.0,8,8
2019,100316,Science Grades 5&8,100.0,6,6
2019,100320,Total Targets,100.0,19,19
2019,100320,Math Grades 3-8,100.0,8,8
2019,100320,Reading Grades 3-8,100.0,8,8
2019,100320,Science Grades 5&8,100.0,3,3
2019,100326,The ACT,50.0,3,6
2019,100326,Total Targets,88.9,24,27
2019,100326,High School Math,100.0,6,6
2019,100326,English II,100.0,6,6
2019,100326,Biology,100.0,6,6
2019,100326,ACT WorkKeys,100.0,3,3
2019,100332,Total Targets,100.0,19,19
2019,100332,Math Grades 3-8,100.0,7,7
2019,100332,Reading Grades 3-8,100.0,7,7
2019,100332,Science Grades 5&8,100.0,5,5
2019,100334,The ACT,0.0,0,3
2019,100334,Total Targets,81.3,13,16
2019,100334,High School Math,100.0,3,3
2019,100334,English II,100.0,4,4
2019,100334,Biology,100.0,3,3
2019,100334,ACT WorkKeys,100.0,3,3
2019,100335,Total Targets,100.0,17,17
2019,100335,Math Grades 3-8,100.0,7,7
2019,100335,Reading Grades 3-8,100.0,7,7
2019,100335,Science Grades 5&8,100.0,3,3
2019,100336,Total Targets,100.0,11,11
2019,100336,Math Grades 3-8,100.0,4,4
2019,100336,Reading Grades 3-8,100.0,4,4
2019,100336,Science Grades 5&8,100.0,3,3
2019,100338,Total Targets,100.0,18,18
2019,100338,Math Grades 3-8,100.0,7,7
2019,100338,Reading Grades 3-8,100.0,7,7
2019,100338,Science Grades 5&8,100.0,4,4
2019,100339,Total Targets,100.0,15,15
2019,100339,Math Grades 3-8,100.0,6,6
2019,100339,Reading Grades 3-8,100.0,6,6
2019,100339,Science Grades 5&8,100.0,3,3
2019,100340,Total Targets,100.0,17,17
2019,100340,Math Grades 3-8,100.0,7,7
2019,100340,Reading Grades 3-8,100.0,7,7
2019,100340,Science Grades 5&8,100.0,3,3
2019,100342,Total Targets,100.0,13,13
2019,100342,Math Grades 3-8,100.0,5,5
2019,100342,Reading Grades 3-8,100.0,5,5
2019,100342,Science Grades 5&8,100.0,3,3
2019,100344,Total Targets,100.0,17,17
2019,100344,Math Grades 3-8,100.0,7,7
2019,100344,Reading Grades 3-8,100.0,7,7
2019,100344,Science Grades 5&8,100.0,3,3
2019,100348,The ACT,83.3,5,6
2019,100348,Total Targets,92.0,23,25
2019,100348,High School Math,100.0,5,5
2019,100348,English II,100.0,6,6
2019,100348,Biology,100.0,5,5
2019,100348,ACT WorkKeys,66.7,2,3
2019,10A000,Total Targets,100.0,17,17
2019,10A000,Math Grades 3-8,100.0,7,7
2019,10A000,Reading Grades 3-8,100.0,7,7
2019,10A000,Science Grades 5&8,100.0,3,3
2019,10B000,Total Targets,100.0,6,6
2019,10B000,Math Grades 3-8,100.0,2,2
2019,10B000,Reading Grades 3-8,100.0,2,2
2019,10B000,Science Grades 5&8,100.0,2,2
2019,110303,The ACT,0.0,0,2
2019,110303,Total Targets,42.9,3,7
2019,110303,High School Math,100.0,2,2
2019,110303,English II,100.0,1,1
2019,110303,Biology,0.0,0,2
2019,110304,The ACT,100.0,5,5
2019,110304,Total Targets,100.0,22,22
2019,110304,High School Math,100.0,5,5
2019,110304,English II,100.0,4,4
2019,110304,Biology,100.0,5,5
2019,110304,ACT WorkKeys,100.0,3,3
2019,110306,Total Targets,100.0,20,20
2019,110306,Math Grades 3-8,100.0,8,8
2019,110306,Reading Grades 3-8,100.0,8,8
2019,110306,Science Grades 5&8,100.0,4,4
2019,110308,Total Targets,100.0,6,6
2019,110308,Math Grades 3-8,100.0,3,3
2019,110308,Reading Grades 3-8,100.0,3,3
2019,110318,Total Targets,100.0,11,11
2019,110318,Math Grades 3-8,100.0,4,4
2019,110318,Reading Grades 3-8,100.0,4,4
2019,110318,Science Grades 5&8,100.0,3,3
2019,110320,Total Targets,100.0,6,6
2019,110320,Math Grades 3-8,100.0,3,3
2019,110320,Reading Grades 3-8,100.0,3,3
2019,110322,The ACT,100.0,2,2
2019,110322,Total Targets,100.0,8,8
2019,110322,High School Math,100.0,2,2
2019,110322,English II,100.0,2,2
2019,110322,Biology,100.0,2,2
2019,110324,Total Targets,100.0,8,8
2019,110324,Math Grades 3-8,100.0,4,4
2019,110324,Reading Grades 3-8,100.0,4,4
2019,110326,Total Targets,100.0,13,13
2019,110326,Math Grades 3-8,100.0,5,5
2019,110326,Reading Grades 3-8,100.0,5,5
2019,110326,Science Grades 5&8,100.0,3,3
2019,110332,Total Targets,100.0,11,11
2019,110332,Math Grades 3-8,100.0,4,4
2019,110332,Reading Grades 3-8,100.0,4,4
2019,110332,Science Grades 5&8,100.0,3,3
2019,110336,The ACT,100.0,3,3
2019,110336,Total Targets,100.0,15,15
2019,110336,High School Math,100.0,3,3
2019,110336,English II,100.0,4,4
