year,agency_code,csi_lp,csi_lg,tsi_cu,tsi_at
2019,260342,N,N,Y,Y
2019,260344,N,N,Y,Y
2019,260347,N,N,N,N
2019,260348,N,N,N,N
2019,260352,N,N,Y,Y
2019,260354,N,N,N,N
2019,260356,N,N,N,N
2019,260357,N,N,N,N
2019,260358,N,N,Y,Y
2019,260359,N,N,N,N
2019,260361,N,N,Y,Y
2019,260362,N,N,Y,Y
2019,260363,N,N,Y,Y
2019,260364,N,N,Y,Y
2019,260365,N,N,Y,Y
2019,260366,N,N,Y,Y
2019,260367,N,N,Y,Y
2019,260368,N,N,Y,Y
2019,260369,N,N,N,N
2019,260370,N,N,Y,Y
2019,260371,N,N,Y,Y
2019,260372,N,N,Y,Y
2019,260373,N,N,N,Y
2019,260374,N,Y,N,N
2019,260375,N,N,Y,Y
2019,260380,N,N,N,N
2019,260382,N,N,Y,Y
2019,260383,N,N,Y,Y
2019,260386,N,N,N,Y
2019,260388,N,N,N,N
2019,260396,N,N,Y,Y
2019,260397,N,N,Y,Y
2019,260398,N,N,Y,Y
2019,260400,N,N,Y,Y
2019,260401,N,N,Y,Y
2019,260402,N,N,Y,Y
2019,260403,N,N,Y,N
2019,260404,N,N,Y,Y
2019,260405,N,N,Y,Y
2019,260406,N,N,Y,Y
2019,260407,N,N,Y,Y
2019,260408,N,N,N,N
2019,260410,N,N,Y,Y
2019,260411,N,N,N,N
2019,260412,N,N,N,N
2019,260413,N,N,Y,Y
2019,260414,N,N,Y,Y
2019,260415,N,N,N,Y
2019,260416,N,N,N,N
2019,260417,N,N,Y,Y
2019,260418,N,N,Y,Y
2019,260419,N,N,Y,Y
2019,260424,N,N,N,N
2019,260425,N,N,Y,Y
2019,260426,N,N,Y,Y
2019,260427,N,N,N,N
2019,260428,N,N,Y,Y
2019,260430,N,N,N,N
2019,260432,N,N,N,N
2019,260434,N,N,N,N
2019,260440,N,N,Y,Y
2019,260444,N,N,Y,Y
2019,260446,N,N,Y,N
2019,260448,N,N,Y,Y
2019,260449,N,N,N,N
2019,260450,N,N,Y,Y
2019,260452,N,N,Y,Y
2019,260454,N,N,Y,Y
2019,260455,N,N,Y,Y
2019,260459,N,N,Y,Y
2019,260700,N,N,N,N
2019,26B000,N,N,Y,Y
2019,26C000,N,N,Y,Y
2019,270304,N,N,N,N
2019,270306,N,N,N,Y
2019,270308,N,N,Y,Y
2019,270309,N,N,Y,Y
2019,270310,N,N,Y,Y
2019,270311,N,N,N,N
2019,270312,N,N,N,N
2019,270316,N,N,Y,Y
2019,270318,N,N,Y,Y
2019,270320,N,N,Y,Y
2019,27A000,N,N,N,N
2019,280302,N,N,N,N
2019,280304,N,N,Y,Y
2019,280306,N,N,N,N
2019,280308,N,N,N,N
2019,280310,N,N,N,Y
2019,280312,N,N,Y,Y
2019,280316,N,N,N,N
2019,280320,N,N,Y,Y
2019,280324,N,N,N,Y
2019,280328,N,N,Y,Y
2019,280330,N,N,N,N
2019,290302,N,N,Y,Y
2019,290306,N,N,N,N
2019,290307,N,N,Y,Y
2019,290308,N,N,N,N
2019,290309,N,N,Y,Y
2019,290310,N,N,Y,Y
2019,290312,N,N,Y,Y
2019,290314,N,N,N,N
2019,290315,N,N,N,N
2019,290316,N,N,Y,Y
2019,290320,N,N,Y,Y
2019,290322,N,N,Y,Y
2019,290324,N,N,N,Y
2019,290328,N,N,Y,Y
2019,290330,N,N,N,N
2019,290332,N,N,N,N
2019,290333,N,N,Y,Y
2019,290334,N,N,Y,Y
2019,290336,N,N,N,Y
2019,290344,N,N,N,Y
2019,290348,N,N,N,N
2019,290349,N,N,N,N
2019,290350,N,N,Y,Y
2019,290351,N,N,N,Y
2019,290352,N,N,Y,Y
2019,290356,N,N,Y,Y
2019,290364,N,N,Y,Y
2019,290365,N,N,Y,Y
2019,290366,N,N,N,Y
2019,290367,N,N,Y,Y
2019,290375,N,N,N,N
2019,290376,N,N,Y,Y
2019,290380,N,N,N,N
2019,290384,N,N,Y,Y
2019,290388,N,N,Y,N
2019,290389,N,N,N,N
2019,291308,N,N,Y,Y
2019,291332,N,N,Y,Y
2019,291336,N,N,Y,Y
2019,291340,N,N,Y,Y
2019,291348,N,N,Y,Y
2019,291350,N,N,N,N
2019,291352,N,N,Y,Y
2019,292316,N,N,Y,Y
2019,292318,N,N,Y,Y
2019,292320,N,N,Y,Y
2019,292324,N,N,Y,Y
2019,295300,Y,N,N,N
2019,298202,N,N,N,N
2019,298203,N,N,N,N
2019,298204,N,N,N,N
2019,29A000,N,N,N,N
2019,300306,N,N,Y,Y
2019,300308,N,N,Y,Y
2019,300310,N,N,Y,Y
2019,300312,N,N,N,Y
2019,300314,N,N,N,N
2019,300320,N,N,N,N
2019,300325,N,N,Y,Y
2019,300326,N,N,Y,Y
2019,300328,N,N,N,N
2019,300330,N,N,Y,Y
2019,300336,N,N,N,N
2019,300337,N,N,N,Y
2019,310304,N,N,Y,Y
2019,310308,N,N,Y,Y
2019,310330,N,N,N,Y
2019,310336,N,N,Y,Y
2019,310338,N,N,N,N
2019,310344,N,N,Y,Y
2019,310352,N,N,Y,Y
2019,310356,N,N,Y,Y
2019,310360,N,N,Y,Y
2019,310364,N,N,N,N
2019,310384,N,N,Y,Y
2019,310388,N,N,Y,Y
2019,310392,N,N,Y,Y
2019,320304,N,N,Y,Y
2019,320306,Y,N,N,N
2019,320308,N,N,N,N
2019,320309,N,N,N,N
2019,320310,N,N,Y,Y
2019,320312,N,N,N,N
2019,320313,N,N,Y,Y
2019,320314,N,N,Y,Y
2019,320315,N,N,Y,Y
2019,320316,N,N,Y,Y
2019,320317,N,N,N,N
2019,320318,N,N,N,Y
2019,320319,N,N,N,N
2019,320320,N,N,Y,Y
2019,320322,N,Y,N,Y
2019,320323,N,N,N,N
2019,320324,N,N,N,N
2019,320325,N,N,N,Y
2019,320327,N,N,Y,Y
2019,320328,N,N,Y,Y
2019,320329,N,N,N,N
2019,320332,N,N,N,N
2019,320336,N,N,N,N
2019,320338,Y,N,N,N
2019,320339,Y,N,N,N
2019,320340,N,N,Y,N
2019,320341,N,Y,Y,Y
2019,320342,N,N,Y,Y
2019,320343,N,N,Y,Y
2019,320344,N,N,Y,N
2019,320346,N,N,Y,Y
2019,320347,N,N,N,N
2019,320348,N,N,N,N
2019,320352,N,N,Y,Y
2019,320353,N,N,N,N
2019,320354,N,N,N,N
2019,320355,N,N,Y,Y
2019,320356,N,N,Y,Y
2019,320360,N,N,Y,Y
2019,320362,N,N,Y,Y
2019,320363,N,N,Y,Y
2019,320364,N,N,N,N
2019,320365,N,N,N,N
2019,320366,N,N,Y,Y
2019,320367,N,N,Y,Y
2019,320368,N,N,N,N
2019,320369,N,N,Y,Y
2019,320370,N,N,Y,Y
2019,320372,N,N,Y,N
2019,320374,N,N,Y,Y
2019,320376,N,N,Y,Y
2019,320388,N,N,Y,Y
2019,320400,Y,N,N,N
2019,320701,N,N,N,N
2019,32A000,N,N,Y,Y
2019,32B000,N,N,Y,Y
2019,32C000,N,N,Y,Y
2019,32D000,N,N,Y,Y
2019,32H000,N,N,Y,Y
2019,32K000,N,N,N,Y
2019,32L000,N,N,N,N
2019,32M000,N,N,Y,Y
2019,32N000,N,N,N,N
2019,32P000,N,N,Y,Y
2019,32Q000,N,N,Y,Y
2019,32R000,N,N,Y,Y
2019,32S000,N,N,Y,Y
2019,330304,N,N,Y,Y
2019,330308,N,N,Y,Y
2019,330312,Y,N,N,N
2019,330326,N,N,N,N
2019,330328,N,N,N,N
2019,330332,Y,N,N,N
2019,330334,N,N,Y,Y
2019,330340,N,N,Y,Y
2019,330344,N,N,N,Y
2019,330348,N,N,Y,Y
2019,330350,N,N,Y,Y
2019,330354,Y,N,N,N
2019,330358,N,N,Y,Y
2019,330360,N,N,Y,Y
2019,33A000,N,N,Y,Y
2019,340308,Y,N,N,N
2019,340311,N,N,N,Y
2019,340314,N,N,Y,Y
2019,340320,N,N,N,Y
2019,340326,N,N,Y,Y
2019,340330,N,Y,N,Y
2019,340332,N,N,N,N
2019,340334,N,N,N,Y
2019,340336,N,Y,Y,Y
2019,340344,N,N,Y,Y
2019,340348,N,N,N,N
2019,340350,N,N,Y,Y
2019,340351,Y,N,N,N
2019,340354,N,N,N,N
2019,340362,N,N,N,N
2019,340364,N,N,Y,N
2019,340366,N,N,Y,Y
2019,340368,N,N,Y,Y
2019,340372,N,N,Y,Y
2019,340376,Y,N,N,N
2019,340380,N,N,N,Y
2019,340382,N,N,Y,Y
2019,340384,N,N,Y,Y
2019,340385,Y,Y,N,N
2019,340390,N,N,Y,Y
2019,340392,N,N,Y,Y
2019,340398,N,N,N,N
2019,340400,N,N,Y,Y
2019,340403,N,N,N,N
2019,340406,N,N,Y,Y
2019,340416,N,N,Y,Y
2019,340420,N,N,Y,Y
2019,340424,Y,N,N,N
2019,340426,N,N,Y,Y
2019,340427,Y,N,N,N
2019,340428,N,N,N,N
2019,340430,N,N,Y,Y
2019,340432,N,N,N,N
2019,340436,N,N,Y,Y
2019,340440,N,N,N,N
2019,340442,N,N,N,N
2019,340446,N,N,N,N
2019,340448,N,N,Y,Y
2019,340452,Y,N,N,N
2019,340453,N,N,Y,Y
2019,340454,N,N,N,Y
2019,340457,N,N,N,N
2019,340460,N,N,N,N
2019,340462,N,N,Y,Y
2019,340464,N,N,Y,Y
2019,340472,N,N,Y,Y
2019,340476,N,N,Y,Y
2019,340480,N,N,Y,Y
2019,340486,N,N,Y,Y
2019,340488,N,N,Y,Y
2019,340490,Y,N,N,N
2019,340492,Y,N,N,N
2019,340494,N,N,N,N
2019,340495,N,N,N,Y
2019,340496,N,N,Y,Y
2019,340504,N,N,Y,Y
2019,340508,N,N,Y,Y
2019,340512,N,N,N,N
2019,340514,N,N,Y,Y
2019,340516,N,N,Y,Y
2019,340520,N,N,Y,Y
2019,340528,N,N,N,N
2019,340530,N,N,Y,Y
2019,340531,N,N,N,Y
2019,340532,N,N,Y,Y
2019,340536,N,N,N,N
2019,340540,N,N,Y,Y
2019,340542,N,N,Y,Y
2019,340544,N,N,Y,Y
2019,340548,N,N,Y,Y
2019,340556,N,N,N,N
2019,340560,N,N,N,N
2019,340564,N,N,Y,Y
2019,340568,N,N,Y,Y
2019,34B000,N,N,Y,Y
2019,34D000,N,N,N,N
2019,34F000,N,N,Y,Y
2019,34G000,N,N,Y,Y
2019,34H000,N,N,N,N
2019,34Z000,Y,N,N,N
2019,350304,N,N,N,Y
2019,350308,N,N,N,Y
2019,350310,N,N,N,Y
2019,350312,N,N,Y,Y
2019,350316,N,N,N,N
2019,350317,N,N,N,N
2019,350318,N,N,Y,Y
2019,350321,N,N,N,Y
2019,350324,N,N,Y,Y
2019,350330,N,N,N,N
2019,350331,N,N,N,Y
2019,350332,N,N,Y,Y
2019,350336,N,N,N,N
2019,350338,N,N,Y,Y
2019,350339,N,N,Y,Y
2019,350340,N,N,N,Y
2019,35A000,N,N,Y,Y
2019,35B000,N,N,N,N
2019,360310,N,N,N,N
2019,360320,N,N,N,N
2019,360324,N,N,Y,Y
2019,360332,N,N,Y,Y
2019,360336,N,N,Y,Y
2019,360337,N,N,N,N
2019,360338,N,N,Y,Y
2019,360339,N,N,Y,Y
2019,360340,N,N,Y,Y
2019,360344,N,N,Y,Y
2019,360348,N,N,Y,Y
2019,360352,N,N,Y,Y
2019,360360,N,N,Y,Y
2019,360364,N,N,N,N
2019,360372,Y,Y,N,N
2019,360376,N,N,Y,Y
2019,360378,N,N,N,N
2019,360380,N,N,N,N
2019,360390,N,N,N,N
2019,360392,N,N,Y,Y
2019,360394,N,N,Y,Y
2019,360396,N,N,N,N
2019,360400,N,N,Y,Y
2019,360408,N,N,Y,Y
2019,360418,N,N,N,N
2019,360420,N,N,N,N
2019,360426,N,N,Y,Y
2019,360428,N,N,N,N
2019,360430,N,N,N,N
2019,360431,N,N,Y,Y
