year,agency_code,metric,num,den,pct,masking
2019,070326,passed_laa,,,,3.0
2019,070326,gce_els,,,,3.0
2019,070326,gce_swd,,,,3.0
2019,070326,gce_rpf,11.0,96.0,11.5,
2019,070326,gce_prm,,,,3.0
2019,070326,gce_all,11.0,96.0,11.5,
2019,070326,promoted,,,95.0,1.0
2019,070326,retained,,,,3.0
2019,070327,passed_eog,132.0,262.0,50.4,
2019,070327,passed_rta,,,,3.0
2019,070327,passed_laa,,,,3.0
2019,070327,gce_els,,,,3.0
2019,070327,gce_swd,29.0,262.0,11.1,
2019,070327,gce_rpf,33.0,262.0,12.6,
2019,070327,gce_prm,,,,3.0
2019,070327,gce_all,63.0,262.0,24.0,
2019,070327,promoted,230.0,262.0,87.8,
2019,070327,retained,32.0,262.0,12.2,
2019,070329,passed_eog,17.0,41.0,41.5,
2019,070329,passed_rta,,,,3.0
2019,070329,passed_laa,,,,3.0
2019,070329,gce_els,,,,3.0
2019,070329,gce_swd,,,,3.0
2019,070329,gce_rpf,,,,3.0
2019,070329,gce_prm,,,,3.0
2019,070329,gce_all,,,,3.0
2019,070329,promoted,34.0,41.0,82.9,
2019,070329,retained,,,,3.0
2019,070340,passed_eog,,,,3.0
2019,070340,passed_rta,,,,3.0
2019,070340,passed_laa,,,,3.0
2019,070340,gce_els,,,,3.0
2019,070340,gce_swd,,,,3.0
2019,070340,gce_rpf,,,,3.0
2019,070340,gce_prm,,,,3.0
2019,070340,gce_all,,,,3.0
2019,070340,promoted,17.0,23.0,73.9,
2019,070340,retained,,,,3.0
2019,07A000,passed_eog,36.0,41.0,87.8,
2019,07A000,passed_rta,,,,3.0
2019,07A000,passed_laa,,,,3.0
2019,07A000,gce_els,,,,3.0
2019,07A000,gce_swd,,,,3.0
2019,07A000,gce_rpf,,,,3.0
2019,07A000,gce_prm,,,,3.0
2019,07A000,gce_all,,,,3.0
2019,07A000,promoted,,,95.0,1.0
2019,07A000,retained,,,,3.0
2019,080348,passed_eog,13.0,27.0,48.1,
2019,080348,passed_rta,,,,3.0
2019,080348,passed_laa,,,,3.0
2019,080348,gce_els,,,,3.0
2019,080348,gce_swd,,,,3.0
2019,080348,gce_rpf,,,,3.0
2019,080348,gce_prm,,,,3.0
2019,080348,gce_all,,,,3.0
2019,080348,promoted,19.0,27.0,70.4,
2019,080348,retained,,,,3.0
2019,080356,passed_eog,11.0,39.0,28.2,
2019,080356,passed_rta,,,,3.0
2019,080356,passed_laa,,,,3.0
2019,080356,gce_els,,,,3.0
2019,080356,gce_swd,,,,3.0
2019,080356,gce_rpf,,,,3.0
2019,080356,gce_prm,,,,3.0
2019,080356,gce_all,,,,3.0
2019,080356,promoted,21.0,39.0,53.8,
2019,080356,retained,18.0,39.0,46.2,
2019,080360,passed_eog,12.0,25.0,48.0,
2019,080360,passed_rta,,,,3.0
2019,080360,passed_laa,,,,3.0
2019,080360,gce_els,,,,3.0
2019,080360,gce_swd,,,,3.0
2019,080360,gce_rpf,,,,3.0
2019,080360,gce_prm,,,,3.0
2019,080360,gce_all,,,,3.0
2019,080360,promoted,19.0,25.0,76.0,
2019,080360,retained,,,,3.0
2019,080362,passed_eog,24.0,67.0,35.8,
2019,080362,passed_rta,,,,3.0
2019,080362,passed_laa,,,,3.0
2019,080362,gce_els,,,,3.0
2019,080362,gce_swd,,,,3.0
2019,080362,gce_rpf,,,,3.0
2019,080362,gce_prm,,,,3.0
2019,080362,gce_all,11.0,67.0,16.4,
2019,080362,promoted,41.0,67.0,61.2,
2019,080362,retained,26.0,67.0,38.8,
2019,08A000,passed_eog,,,,3.0
2019,08A000,passed_rta,,,,3.0
2019,08A000,passed_laa,,,,3.0
2019,08A000,gce_els,,,,3.0
2019,08A000,gce_swd,,,,3.0
2019,08A000,gce_rpf,,,,3.0
2019,08A000,gce_prm,,,,3.0
2019,08A000,gce_all,,,,3.0
2019,08A000,promoted,,,,3.0
2019,08A000,retained,,,95.0,1.0
2019,090317,passed_eog,41.0,74.0,55.4,
2019,090317,passed_rta,,,,3.0
2019,090317,passed_laa,,,,3.0
2019,090317,gce_els,,,,3.0
2019,090317,gce_swd,,,,3.0
2019,090317,gce_rpf,,,,3.0
2019,090317,gce_prm,,,,3.0
2019,090317,gce_all,11.0,74.0,14.9,
