year,agency_code,career_cluster,num_concentrators
2019,180308,HUMA,3
2019,180308,INFO,5
2019,180308,MANU,7
2019,180308,MRKT,3
2019,180308,STEM,4
2019,180320,AGNR,22
2019,180320,ARCH,1
2019,180320,AAVC,11
2019,180320,BMA,15
2019,180320,HLTH,18
2019,180320,HOSP,5
2019,180320,INFO,12
2019,180320,MANU,22
2019,180320,MRKT,5
2019,180325,BMA,1
2019,180340,AGNR,35
2019,180340,ARCH,10
2019,180340,HLTH,27
2019,180340,HOSP,15
2019,180340,INFO,10
2019,180340,MANU,1
2019,180348,AGNR,4
2019,180348,ARCH,9
2019,180348,AAVC,2
2019,180348,BMA,4
2019,180348,HLTH,36
2019,180348,HOSP,10
2019,180348,INFO,15
2019,180348,MRKT,1
2019,180348,TRAN,8
2019,180376,AGNR,4
2019,180376,ARCH,30
2019,180376,AAVC,5
2019,180376,BMA,13
2019,180376,HLTH,33
2019,180376,HOSP,3
2019,180376,INFO,6
2019,180376,MANU,8
2019,180376,MRKT,3
2019,180376,STEM,7
2019,181318,AAVC,10
2019,181318,HOSP,7
2019,181318,HUMA,1
2019,181318,INFO,12
2019,181318,LAW,9
2019,181322,AGNR,16
2019,181322,ARCH,7
2019,181322,AAVC,1
2019,181322,BMA,4
2019,181322,HLTH,12
2019,181322,HOSP,25
2019,181322,INFO,9
2019,181322,LAW,3
2019,181322,MRKT,3
2019,181322,TRAN,13
2019,182316,AGNR,13
2019,182316,ARCH,31
2019,182316,AAVC,9
2019,182316,BMA,3
2019,182316,HLTH,33
2019,182316,HOSP,16
2019,182316,INFO,5
2019,182316,STEM,2
2019,182700,INFO,4
2019,190310,AGNR,7
2019,190310,BMA,1
2019,190310,HOSP,9
2019,190310,MRKT,1
2019,190316,AGNR,11
2019,190316,ARCH,6
2019,190316,BMA,1
2019,190316,HLTH,20
2019,190316,HOSP,4
2019,190316,INFO,4
2019,190316,LAW,1
2019,190316,TRAN,1
2019,190336,AGNR,25
2019,190336,ARCH,21
2019,190336,AAVC,1
2019,190336,BMA,1
2019,190336,HLTH,37
2019,190336,HOSP,13
2019,190336,INFO,2
2019,190336,MANU,3
2019,190336,MRKT,18
2019,190336,STEM,13
2019,190336,TRAN,15
2019,190342,AGNR,28
2019,190342,ARCH,12
2019,190342,AAVC,1
2019,190342,BMA,12
2019,190342,HLTH,31
2019,190342,HOSP,7
2019,190342,INFO,14
2019,190342,LAW,2
2019,190342,MRKT,14
2019,190342,TRAN,10
2019,98B000,AGNR,2
2019,98B000,ARCH,1
2019,98B000,HOSP,2
2019,98B000,INFO,7
2019,61L000,BMA,1
2019,61L000,HOSP,2
2019,61L000,MRKT,1
2019,61L000,TRAN,1
2019,60U000,ARCH,1
2019,60U000,AAVC,1
2019,60U000,BMA,3
2019,60U000,HLTH,1
2019,60U000,MANU,1
2019,60U000,MRKT,2
2019,200308,AGNR,1
2019,200308,HLTH,11
2019,200308,HOSP,10
2019,200308,HUMA,1
2019,200308,INFO,1
2019,200308,LAW,7
2019,200308,STEM,1
2019,200314,AGNR,2
2019,200314,ARCH,7
2019,200314,HLTH,12
2019,200314,HOSP,5
2019,200314,LAW,1
2019,200322,AGNR,3
2019,200322,ARCH,1
2019,200322,AAVC,1
2019,200322,HOSP,2
2019,200322,MANU,1
2019,200322,TRAN,1
2019,200328,AGNR,28
2019,200328,ARCH,1
2019,200328,AAVC,27
2019,200328,HLTH,13
2019,200328,HOSP,13
2019,200328,INFO,7
2019,200328,MANU,4
2019,200328,TRAN,2
2019,200350,AAVC,1
2019,200350,MANU,1
2019,200350,STEM,9
2019,210312,AGNR,51
2019,210312,AAVC,17
2019,210312,BMA,6
2019,210312,HLTH,17
2019,210312,HOSP,15
2019,210312,INFO,10
2019,210312,MANU,14
2019,210312,MRKT,4
2019,76A000,ARCH,2
2019,76A000,HLTH,3
2019,76A000,MANU,1
2019,76A000,TRAN,1
2019,93L000,ARCH,1
2019,93L000,HLTH,2
2019,93L000,HOSP,1
2019,220310,AGNR,18
2019,220310,ARCH,7
