year,graduation_year,agency_code,Status,subgroup,count,pct_enrolled
2019,2018,620340,ENROLL,All,63.0,0.5080645161
2019,2018,630330,ENROLL,All,10.0,0.2040816327
2019,2018,630332,ENROLL,All,100.0,0.6896551724
2019,2018,630336,ENROLL,All,371.0,0.7162162162000001
2019,2018,630360,ENROLL,All,212.0,0.6973684211
2019,2018,640340,ENROLL,All,3.0,
2019,2018,640346,ENROLL,All,119.0,0.5483870968
2019,2018,640347,ENROLL,All,46.0,0.8363636364
2019,2018,640350,ENROLL,All,160.0,0.5970149254
2019,2018,640361,ENROLL,All,138.0,0.5433070865999999
2019,2018,640364,ENROLL,All,149.0,0.5559701493
2019,2018,64A000,ENROLL,All,42.0,0.525
2019,2018,650326,ENROLL,All,362.0,0.6691312384
2019,2018,650327,ENROLL,All,301.0,0.6615384615
2019,2018,650340,ENROLL,All,50.0,0.8771929825
2019,2018,650342,ENROLL,All,366.0,0.7593360995999999
2019,2018,650352,ENROLL,All,225.0,0.5921052632
2019,2018,650355,ENROLL,All,2.0,
2019,2018,650394,ENROLL,All,41.0,0.8367346939
2019,2018,660336,ENROLL,All,38.0,0.4
2019,2018,660400,ENROLL,All,4.0,
2019,2018,66A000,ENROLL,All,63.0,0.8873239437
2019,2018,670320,ENROLL,All,123.0,0.5694444444
2019,2018,670324,ENROLL,All,164.0,0.5815602837
2019,2018,670333,ENROLL,All,179.0,0.5888157895
2019,2018,670340,ENROLL,All,115.0,0.5156950672999999
2019,2018,670344,ENROLL,All,88.0,0.4680851064
2019,2018,670352,ENROLL,All,118.0,0.45038167939999996
2019,2018,670364,ENROLL,All,128.0,0.5
2019,2018,680310,ENROLL,All,162.0,0.6377952756
2019,2018,680332,ENROLL,All,187.0,0.6493055556
2019,2018,680335,ENROLL,All,1.0,
2019,2018,681305,ENROLL,All,137.0,0.7527472527
2019,2018,681308,ENROLL,All,253.0,0.7808641975
2019,2018,681314,ENROLL,All,272.0,0.8217522659000001
2019,2018,681338,ENROLL,All,3.0,
2019,2018,690320,ENROLL,All,55.0,0.5339805825
2019,2018,69A000,ENROLL,All,11.0,0.3235294118
2019,2018,700317,ENROLL,All,119.0,0.6102564103
2019,2018,700319,ENROLL,All,96.0,0.5303867403
2019,2018,710321,ENROLL,All,90.0,0.5487804878
2019,2018,710326,ENROLL,All,64.0,0.45390070920000003
2019,2018,710327,ENROLL,All,23.0,0.575
2019,2018,710342,ENROLL,All,243.0,0.7253731343
2019,2018,720316,ENROLL,All,51.0,0.42148760329999996
2019,2018,730352,ENROLL,All,159.0,0.4818181818
2019,2018,73B000,ENROLL,All,70.0,0.7608695651999999
2019,2018,740309,ENROLL,All,102.0,0.6296296296
2019,2018,740333,ENROLL,All,257.0,0.6222760291
2019,2018,740344,ENROLL,All,87.0,0.54375
2019,2018,740366,ENROLL,All,216.0,0.6813880126
2019,2018,740374,ENROLL,All,113.0,0.5305164319
2019,2018,740378,ENROLL,All,0.0,
2019,2018,740388,ENROLL,All,250.0,0.6631299735
2019,2018,750317,ENROLL,All,9.0,
2019,2018,750318,ENROLL,All,105.0,0.6730769231
2019,2018,760318,ENROLL,All,101.0,0.5674157303
2019,2018,760339,ENROLL,All,112.0,0.6511627907
2019,2018,760348,ENROLL,All,102.0,0.4553571429
2019,2018,760354,ENROLL,All,59.0,0.6704545454999999
2019,2018,760358,ENROLL,All,115.0,0.48319327729999995
2019,2018,760380,ENROLL,All,103.0,0.5852272727000001
2019,2018,760388,ENROLL,All,107.0,0.5783783784000001
2019,2018,761304,ENROLL,All,174.0,0.5321100917
2019,2018,76A000,ENROLL,All,71.0,0.6016949153
2019,2018,770342,ENROLL,All,1.0,
2019,2018,770348,ENROLL,All,207.0,0.5085995086
2019,2018,770349,ENROLL,All,47.0,0.7833333333
2019,2018,780325,ENROLL,All,70.0,0.4242424242
2019,2018,780342,ENROLL,All,196.0,0.3983739837
2019,2018,780385,ENROLL,All,19.0,0.7916666667
2019,2018,780391,ENROLL,All,71.0,0.3966480447
2019,2018,780401,ENROLL,All,72.0,0.3512195122
2019,2018,780402,ENROLL,All,45.0,0.36885245899999997
2019,2018,780420,ENROLL,All,181.0,0.42191142189999997
2019,2018,790314,ENROLL,All,113.0,0.49561403509999996
2019,2018,790354,ENROLL,All,122.0,0.5781990521
2019,2018,790366,ENROLL,All,76.0,0.4021164021
2019,2018,790378,ENROLL,All,135.0,0.5744680851
2019,2018,790379,ENROLL,All,49.0,0.6282051282
2019,2018,800308,ENROLL,All,2.0,
2019,2018,800340,ENROLL,All,120.0,0.5333333333
2019,2018,800361,ENROLL,All,173.0,0.5785953177000001
2019,2018,800376,ENROLL,All,71.0,0.49305555560000003
2019,2018,800394,ENROLL,All,40.0,0.7692307692
2019,2018,800396,ENROLL,All,95.0,0.5191256831000001
2019,2018,800400,ENROLL,All,106.0,0.4753363229
2019,2018,800408,ENROLL,All,141.0,0.5241635688
2019,2018,810324,ENROLL,All,93.0,0.6038961039
2019,2018,810340,ENROLL,All,92.0,0.6216216216
2019,2018,810384,ENROLL,All,120.0,0.6349206349000001
2019,2018,810385,ENROLL,All,24.0,0.6486486486
2019,2018,810386,ENROLL,All,16.0,0.1927710843
2019,2018,81A000,ENROLL,All,79.0,0.95
2019,2018,81B000,ENROLL,All,16.0,0.8421052631999999
2019,2018,820324,ENROLL,All,36.0,0.7058823529000001
2019,2018,820348,ENROLL,All,71.0,0.5220588235
2019,2018,820349,ENROLL,All,58.0,0.4754098361
2019,2018,820352,ENROLL,All,101.0,0.5872093023
2019,2018,820388,ENROLL,All,64.0,0.512
2019,2018,821308,ENROLL,All,117.0,0.6157894736999999
2019,2018,830316,ENROLL,All,1.0,
2019,2018,830343,ENROLL,All,198.0,0.5395095368
2019,2018,830348,ENROLL,All,26.0,0.6190476189999999
2019,2018,840302,ENROLL,All,30.0,0.3529411765
2019,2018,840332,ENROLL,All,71.0,0.4896551724
2019,2018,840356,ENROLL,All,54.0,0.5294117647
2019,2018,840361,ENROLL,All,40.0,0.8333333333
2019,2018,840368,ENROLL,All,95.0,0.6209150327
2019,2018,840370,ENROLL,All,0.0,
2019,2018,84B000,ENROLL,All,98.0,0.9423076923
2019,2018,850324,ENROLL,All,3.0,
