year,agency_code,target_list,subgroup_list
2019,111369,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,111700,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,WH7"
2019,11A000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,11B000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,11C000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,HI7,SWD,WH7"
2019,11D000,"4 Year Graduation Rate,Math Grade 11,Math Grades 3-8,Reading Grade 10,Reading Grades 3-8","ALL,EDS,WH7"
2019,11K000,"Math Grades 3-8,Reading Grades 3-8","ALL,WH7"
2019,120304,,
2019,120308,4 Year Graduation Rate,"ALL,EDS,WH7"
2019,120310,"4 Year Graduation Rate,Math Grade 11","ALL,WH7"
2019,120312,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,SWD,WH7"
2019,120314,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,SWD,WH7"
2019,120315,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,EDS,ELS,HI7,MU7,SWD,WH7"
2019,120316,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,WH7"
2019,120318,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,BL7,EDS,HI7,SWD,WH7"
2019,120320,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,120324,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,120334,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,EDS,ELS,HI7,SWD,WH7"
2019,120338,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,120340,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7"
2019,120344,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,120346,"4 Year Graduation Rate,Math Grade 11,Reading Grade 10","ALL,EDS,WH7"
2019,120350,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,ELS,HI7,SWD,WH7"
2019,120352,,
2019,120354,,
2019,120360,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,120364,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,120368,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,120370,"4 Year Graduation Rate,EL Progress,Math Grade 11,Reading Grade 10","ALL,EDS,HI7,WH7"
2019,120372,,
2019,120374,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,120376,"Math Grades 3-8,Reading Grades 3-8","ALL,AS7,BL7,EDS,ELS,MU7,SWD,WH7"
2019,120380,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,120386,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,SWD,WH7"
2019,120390,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
2019,12A000,"Math Grades 3-8,Reading Grades 3-8","ALL,EDS,WH7"
2019,130304,"EL Progress,Math Grades 3-8,Reading Grades 3-8","ALL,BL7,EDS,ELS,HI7,SWD,WH7"
