year,agency_code,category_code,crime,short_term,long_term,expulsion
2017,160314,H,1.49,15.92,0.11,0.0
2017,160316,E,3.19,2.13,0.0,0.0
2017,160317,E,0.0,3.33,0.0,0.0
2017,160318,M,2.04,14.03,0.0,0.0
2017,160322,E,0.0,0.73,0.0,0.0
2017,160324,E,0.27,2.46,0.0,0.0
2017,160326,M,0.24,6.55,0.24,0.0
2017,160332,I,0.39,2.33,0.0,0.0
2017,160344,H,1.58,30.9,0.0,0.0
2017,160352,E,0.0,1.77,0.0,0.0
2017,160LEA,A,7.14,132.14,0.0,0.0
2017,160LEA,E,0.23,3.15,0.03,0.0
2017,160LEA,H,1.4,23.18,0.08,0.0
2017,160LEA,I,0.39,2.33,0.0,0.0
2017,160LEA,M,0.96,9.38,0.06,0.0
2017,160LEA,T,,,,
2017,16B000,E,0.0,0.0,0.0,0.0
2017,170316,H,1.35,31.65,0.12,0.0
2017,170334,E,0.0,8.11,0.0,0.0
2017,170338,M,1.03,37.95,0.0,0.0
2017,170339,E,0.0,19.7,0.0,0.0
2017,170342,E,0.0,6.57,0.0,0.0
2017,170344,E,0.53,4.74,0.0,0.0
2017,170LEA,E,0.08,10.4,0.0,0.0
2017,170LEA,H,1.35,31.65,0.12,0.0
2017,170LEA,M,1.03,37.95,0.0,0.0
2017,180302,M,1.13,9.98,0.0,0.0
2017,180304,E,0.48,1.12,0.0,0.0
2017,180308,H,0.35,4.6,0.12,0.0
2017,180312,E,0.0,10.14,0.0,0.0
2017,180316,E,1.2,3.59,0.0,0.0
2017,180320,H,0.86,10.96,0.0,0.0
2017,180323,A,1.06,5.32,0.0,0.0
2017,180324,E,0.24,1.43,0.0,0.0
2017,180325,H,0.51,2.28,0.0,0.0
2017,180326,E,0.22,3.24,0.0,0.0
2017,180332,E,0.99,1.23,0.0,0.0
2017,180336,E,0.18,1.09,0.0,0.0
2017,180340,H,0.81,9.24,0.0,0.0
2017,180342,M,0.0,14.96,0.0,0.0
2017,180343,E,0.19,0.58,0.0,0.0
2017,180344,E,0.59,4.54,0.0,0.0
2017,180346,M,0.0,8.67,0.0,0.0
2017,180348,H,2.03,16.67,0.0,0.0
2017,180352,M,0.97,7.0,0.0,0.0
2017,180356,E,0.0,3.34,0.13,0.0
2017,180360,E,0.53,2.48,0.0,0.0
2017,180364,M,0.43,8.51,0.0,0.0
2017,180368,E,0.0,3.29,0.0,0.0
2017,180372,E,0.0,5.44,0.0,0.0
2017,180376,H,1.61,20.18,0.08,0.0
2017,180379,E,0.0,5.06,0.0,0.0
2017,180380,E,0.97,1.35,0.0,0.0
2017,180388,E,0.25,5.09,0.0,0.0
2017,180LEA,A,1.06,5.32,0.0,0.0
2017,180LEA,E,0.37,3.18,0.01,0.0
2017,180LEA,H,1.11,12.06,0.04,0.0
2017,180LEA,M,0.53,9.95,0.0,0.0
2017,180LEA,T,,,,
2017,181312,M,0.0,18.54,0.17,0.0
2017,181316,M,2.66,35.27,0.0,0.0
2017,181318,T,0.0,20.0,0.0,0.0
2017,181322,H,0.38,23.19,0.19,0.0
2017,181326,E,0.0,2.44,0.0,0.0
2017,181332,E,0.0,9.17,0.0,0.0
2017,181336,E,0.27,3.5,0.0,0.0
2017,181342,E,0.72,21.38,0.36,0.0
2017,181344,E,0.0,4.19,0.0,0.0
2017,181LEA,E,0.15,7.19,0.05,0.0
2017,181LEA,H,0.38,23.19,0.19,0.0
2017,181LEA,M,1.11,25.53,0.1,0.0
2017,181LEA,T,0.0,20.0,0.0,0.0
2017,182304,A,0.0,10.0,0.0,0.0
2017,182316,H,2.24,17.52,0.0,0.0
2017,182321,M,0.16,15.94,0.0,0.0
2017,182322,E,0.0,2.77,0.0,0.0
2017,182324,E,0.51,1.53,0.0,0.0
2017,182328,E,0.0,1.84,0.0,0.0
2017,182700,H,0.88,2.2,0.0,0.0
2017,182LEA,A,0.0,10.0,0.0,0.0
2017,182LEA,E,0.15,2.07,0.0,0.0
2017,182LEA,H,1.93,14.0,0.0,0.0
2017,182LEA,M,0.16,15.94,0.0,0.0
2017,190304,I,0.0,1.9,0.0,0.0
2017,190308,I,0.0,4.4,0.0,0.0
2017,190310,H,3.03,18.18,0.0,0.0
2017,190312,M,0.37,8.47,0.0,0.0
2017,190316,H,1.5,15.79,0.0,0.0
2017,190328,M,0.0,17.11,0.0,0.0
2017,190332,I,0.0,7.77,0.0,0.0
2017,190336,H,2.08,13.55,0.24,0.12
2017,190339,M,0.47,4.52,0.0,0.0
2017,190340,I,0.0,0.7,0.0,0.0
2017,190341,E,0.19,2.61,0.0,0.0
2017,190342,H,1.46,6.36,0.15,0.0
2017,190346,E,0.0,1.84,0.0,0.0
2017,190348,E,0.8,3.98,0.0,0.0
2017,190350,E,0.76,2.12,0.0,0.0
2017,190352,I,0.0,4.81,0.0,0.0
2017,190370,E,0.0,3.7,0.0,0.0
2017,190501,H,0.0,0.0,0.0,0.0
2017,190LEA,E,0.34,2.75,0.0,0.0
2017,190LEA,H,1.68,10.17,0.15,0.04
2017,190LEA,I,0.0,4.08,0.0,0.0
2017,190LEA,M,0.31,9.1,0.0,0.0
2017,19A000,A,0.0,1.28,0.0,0.0
2017,19B000,A,0.0,1.18,0.0,0.0
2017,19C000,E,0.56,5.08,0.0,0.0
2017,200304,E,0.0,3.19,0.0,0.0
2017,200308,H,0.0,5.93,0.42,0.0
2017,200310,M,1.08,4.3,0.0,0.0
2017,200312,I,0.0,2.96,0.0,0.0
2017,200314,H,0.0,3.26,0.0,0.0
2017,200316,E,0.0,0.0,0.0,0.0
2017,200320,I,0.0,8.0,0.0,0.0
2017,200322,T,6.0,14.0,0.0,0.0
2017,200324,E,0.22,2.7,0.0,0.0
2017,200328,H,0.21,2.67,0.21,0.0
2017,200330,M,0.32,6.03,0.32,0.0
2017,200332,E,0.0,4.14,0.69,0.0
2017,200336,I,0.0,4.27,0.36,0.0
2017,200350,H,0.0,3.38,0.0,0.0
2017,200LEA,E,0.1,2.78,0.1,0.0
2017,200LEA,H,0.09,3.6,0.19,0.0
2017,200LEA,I,0.0,5.08,0.15,0.0
2017,200LEA,M,0.6,5.39,0.2,0.0
2017,200LEA,T,6.0,14.0,0.0,0.0
2017,20A000,I,0.52,6.19,0.0,0.0
2017,210304,M,0.92,33.49,0.23,0.0
2017,210306,E,0.38,15.04,0.38,0.0
2017,210312,H,1.34,12.19,0.0,0.0
2017,210316,E,0.0,9.43,0.0,0.0
2017,210LEA,E,0.2,12.45,0.2,0.0
2017,210LEA,H,1.34,12.19,0.0,0.0
2017,210LEA,M,0.92,33.49,0.23,0.0
2017,220308,E,0.0,2.04,0.0,0.0
2017,220310,H,0.53,2.11,0.0,0.0
2017,220312,M,0.0,0.46,0.0,0.0
2017,220LEA,E,0.0,2.04,0.0,0.0
2017,220LEA,H,0.53,2.11,0.0,0.0
2017,220LEA,M,0.0,0.46,0.0,0.0
2017,230304,E,0.24,6.46,0.0,0.0
2017,230308,E,0.0,6.16,0.0,0.0
2017,230312,H,2.58,36.35,0.0,0.0
2017,230316,M,0.81,14.63,0.0,0.0
2017,230320,E,0.0,2.28,0.0,0.0
2017,230322,H,0.0,2.9,0.0,0.0
2017,230324,H,1.95,28.16,0.17,0.0
2017,230328,M,0.95,30.78,0.0,0.0
2017,230330,T,10.4,337.6,4.8,0.0
2017,230334,E,0.43,5.6,0.0,0.0
2017,230336,M,1.28,20.51,0.0,0.0
2017,230340,E,0.0,11.73,0.0,0.0
2017,230342,E,0.75,23.4,0.0,0.0
2017,230344,E,0.31,14.55,0.0,0.0
2017,230346,E,8.26,38.53,0.0,0.0
2017,230348,E,0.27,14.17,0.0,0.0
2017,230350,H,1.22,32.63,0.0,0.0
2017,230351,M,0.6,12.35,0.0,0.0
2017,230352,M,0.0,23.13,0.0,0.0
2017,230355,E,1.99,17.55,0.66,0.0
2017,230357,E,0.34,3.37,0.0,0.0
2017,230359,A,13.33,17.14,0.0,0.0
2017,230361,H,1.56,23.71,0.0,0.0
2017,230362,M,0.44,40.62,0.0,0.0
2017,230364,E,0.0,4.2,0.0,0.0
2017,230368,E,0.0,14.89,0.0,0.0
2017,230370,E,1.02,10.46,0.0,0.0
2017,230376,E,0.0,11.72,0.0,0.0
2017,230380,E,0.0,7.85,0.0,0.0
2017,230LEA,A,13.33,17.14,0.0,0.0
2017,230LEA,E,0.72,11.74,0.03,0.0
2017,230LEA,H,1.73,29.24,0.04,0.0
2017,230LEA,M,0.69,23.23,0.0,0.0
2017,230LEA,T,10.4,337.6,4.8,0.0
2017,23A000,I,0.35,12.61,0.0,0.0
2017,240304,M,0.0,17.91,0.0,0.0
2017,240308,E,0.0,6.46,0.0,0.0
2017,240328,I,0.0,7.32,0.0,0.0
2017,240330,M,0.0,44.55,0.0,0.0
2017,240332,E,0.0,15.06,0.0,0.0
2017,240334,H,1.18,14.12,0.0,0.0
2017,240344,I,0.0,26.53,0.0,0.0
2017,240352,E,0.0,4.13,0.0,0.0
2017,240354,E,0.0,10.03,0.0,0.0
2017,240356,M,0.0,19.05,0.0,0.0
2017,240368,M,0.0,4.64,0.0,0.0
