year,agency_code,dance_cat,music_cat,theatre_cat,va_cat
2019,340400,N,Y,N,Y
2019,340403,N,Y,N,Y
2019,340406,N,Y,Y,Y
2019,340416,N,Y,N,Y
2019,340420,N,Y,N,Y
2019,340424,N,Y,N,Y
2019,340426,N,Y,N,Y
2019,340427,N,N,N,Y
2019,340428,N,Y,N,Y
2019,340430,N,Y,N,Y
2019,340432,N,Y,N,Y
2019,340436,N,Y,N,Y
2019,340440,N,Y,N,Y
2019,340442,N,Y,N,Y
2019,340448,N,Y,N,Y
2019,340452,Y,Y,Y,Y
2019,340453,N,Y,N,Y
2019,340454,Y,Y,Y,Y
2019,340457,N,Y,N,Y
2019,340460,Y,Y,Y,Y
2019,340462,N,Y,N,Y
2019,340464,N,Y,N,Y
2019,340472,N,Y,N,Y
2019,340476,N,Y,N,Y
2019,340480,Y,Y,N,Y
2019,340486,Y,Y,Y,Y
2019,340488,N,N,N,Y
2019,340490,N,Y,N,Y
2019,340492,Y,Y,Y,Y
2019,340494,N,Y,N,Y
2019,340495,Y,Y,Y,Y
2019,340496,Y,Y,Y,Y
2019,340504,N,Y,N,Y
2019,340508,N,Y,N,Y
2019,340512,N,Y,N,Y
2019,340514,N,Y,N,Y
2019,340516,N,Y,N,Y
2019,340520,N,Y,N,Y
2019,340528,N,Y,N,Y
2019,340530,N,Y,N,Y
2019,340531,N,Y,N,Y
2019,340532,N,Y,N,Y
2019,340536,N,Y,N,Y
2019,340540,N,Y,N,Y
2019,340542,Y,Y,Y,Y
2019,340544,N,Y,N,Y
2019,340548,N,Y,N,Y
2019,340556,Y,Y,Y,Y
2019,340560,N,Y,N,Y
2019,340564,N,Y,N,Y
2019,340568,Y,Y,N,Y
2019,34B000,N,Y,N,Y
2019,34D000,N,Y,Y,N
2019,34F000,N,Y,N,Y
2019,34G000,Y,Y,N,Y
2019,34H000,Y,Y,Y,Y
2019,34Z000,N,Y,N,Y
2019,350304,N,Y,N,Y
2019,350308,N,Y,N,Y
2019,350310,N,Y,N,Y
2019,350312,N,Y,N,Y
2019,350316,N,Y,N,Y
2019,350317,N,Y,N,Y
2019,350318,N,Y,N,Y
2019,350321,N,Y,Y,Y
2019,350324,N,Y,Y,Y
2019,350330,N,Y,N,Y
2019,350331,N,Y,N,Y
2019,350332,N,Y,N,Y
2019,350336,N,Y,N,Y
2019,350338,N,Y,N,Y
2019,350339,N,Y,N,Y
2019,350340,N,Y,N,Y
2019,35A000,N,Y,N,Y
2019,35B000,N,Y,N,Y
2019,360310,N,Y,Y,Y
2019,360320,N,Y,N,Y
2019,360324,N,Y,N,Y
2019,360332,N,Y,N,Y
2019,360336,N,Y,N,Y
2019,360337,N,N,N,Y
2019,360338,N,Y,N,Y
2019,360339,N,Y,N,Y
2019,360340,N,Y,N,Y
2019,360344,N,Y,N,Y
2019,360348,N,Y,N,Y
2019,360352,N,Y,N,Y
2019,360360,N,Y,Y,Y
2019,360364,N,Y,N,Y
2019,360372,N,Y,N,Y
2019,360376,N,Y,N,Y
2019,360378,N,Y,Y,Y
2019,360380,N,Y,N,Y
2019,360390,Y,Y,Y,Y
2019,360392,N,Y,N,Y
2019,360394,N,Y,N,Y
2019,360396,N,Y,Y,Y
2019,360400,N,Y,N,Y
2019,360408,N,Y,N,Y
2019,360418,N,Y,Y,Y
2019,360420,N,Y,N,Y
2019,360426,N,Y,N,Y
2019,360428,Y,Y,Y,Y
2019,360430,N,Y,N,Y
2019,360431,N,Y,N,Y
2019,360432,N,Y,N,Y
2019,360436,N,Y,N,Y
2019,360438,N,Y,N,Y
2019,360440,N,Y,N,Y
2019,360448,N,Y,N,Y
2019,360456,N,Y,N,Y
