year,agency_code,stu_enroll,cte_enroll,pct
2019,740374,805,603,74.91
2019,740376,195,43,22.05
2019,740388,1609,1175,73.03
2019,740396,71,29,40.85
2019,740402,394,255,64.72
2019,740500,267,49,18.35
2019,750317,62,27,43.55
2019,750318,621,490,78.9
2019,750319,517,504,97.49
2019,760318,667,545,81.71
2019,760338,559,426,76.21
2019,760339,740,615,83.11
2019,760348,828,722,87.2
2019,760352,702,493,70.23
2019,760354,353,57,16.15
2019,760357,564,362,64.18
2019,760358,900,723,80.33
2019,760360,539,384,71.24
2019,760378,689,416,60.38
2019,760380,682,585,85.78
2019,760382,448,294,65.63
2019,760388,814,647,79.48
2019,761304,1295,1038,80.15
2019,761308,583,374,64.15
2019,761336,497,330,66.4
2019,76A000,1047,129,12.32
2019,770316,240,213,88.75
2019,770328,515,470,91.26
2019,770342,73,4,5.48
2019,770348,1336,1101,82.41
2019,770349,275,57,20.73
2019,770351,469,348,74.2
2019,770360,671,601,89.57
2019,780324,153,146,95.42
2019,780325,623,513,82.34
2019,780326,301,182,60.47
2019,780330,241,2,0.83
2019,780336,465,173,37.2
2019,780341,426,337,79.11
2019,780342,1848,1340,72.51
2019,780344,387,306,79.07
2019,780352,245,160,65.31
2019,780360,188,176,93.62
2019,780368,678,526,77.58
2019,780376,102,1,0.98
2019,780384,323,222,68.73
2019,780385,230,184,80.0
2019,780391,725,510,70.34
2019,780393,527,372,70.59
2019,780396,135,133,98.52
2019,780401,935,757,80.96
2019,780402,456,330,72.37
2019,780403,517,449,86.85
2019,780410,152,70,46.05
2019,780420,1480,1006,67.97
2019,790314,858,671,78.21
2019,790330,674,547,81.16
2019,790354,774,591,76.36
2019,790366,676,417,61.69
2019,790374,608,497,81.74
2019,790378,1058,760,71.83
2019,790379,327,169,51.68
2019,790380,768,611,79.56
2019,790392,49,14,28.57
2019,790394,635,568,89.45
2019,800308,95,51,53.68
2019,800314,838,516,61.58
2019,800320,520,251,48.27
2019,800328,526,317,60.27
2019,800340,955,762,79.79
2019,800361,1200,818,68.17
2019,800363,581,186,32.01
2019,800376,535,439,82.06
2019,800377,466,278,59.66
2019,800394,244,69,28.28
2019,800396,887,631,71.14
2019,800398,754,636,84.35
2019,800400,956,818,85.56
2019,800408,1033,739,71.54
2019,800410,644,339,52.64
2019,810324,694,571,82.28
2019,810326,541,459,84.84
2019,810340,722,621,86.01
2019,810342,603,463,76.78
2019,810378,670,559,83.43
2019,810384,772,530,68.65
2019,810385,190,89,46.84
2019,810386,166,43,25.9
2019,81B000,268,36,13.43
2019,820324,259,54,20.85
2019,820347,419,307,73.27
2019,820348,490,427,87.14
2019,820349,468,352,75.21
2019,820352,786,658,83.72
2019,820354,608,592,97.37
2019,820370,424,294,69.34
2019,820372,429,366,85.31
2019,820388,468,386,82.48
2019,821308,811,670,82.61
2019,821320,719,678,94.3
