year,agency_code,category_code,ni,eff,he,ni_pct,eff_pct,he_pct
2019,160344,H,5,50,21,0.065789476,0.6578947306,0.2763157785
2019,160352,E,2,30,22,0.0370370373,0.555555582,0.40740740299999995
2019,170316,H,9,33,11,0.16981132329999998,0.6226415038,0.2075471729
2019,170334,E,1,21,2,0.0416666679,0.875,0.0833333358
2019,170338,M,9,24,4,0.2432432473,0.6486486197,0.10810811070000001
2019,170339,E,4,13,10,0.1481481493,0.4814814925,0.3703703582
2019,170342,E,3,15,3,0.1428571492,0.7142857313,0.1428571492
2019,170344,E,4,8,3,0.2666666806,0.5333333611,0.200000003
2019,180302,M,3,14,20,0.0810810775,0.3783783913,0.5405405164
2019,180304,E,1,28,16,0.022222222799999997,0.6222222447,0.3555555642
2019,180308,H,6,24,15,0.1333333403,0.5333333611,0.3333333433
2019,180312,E,2,13,6,0.095238097,0.6190476418,0.2857142985
2019,180316,E,3,26,7,0.0833333358,0.7222222090000001,0.1944444478
2019,180320,H,6,24,20,0.11999999730000001,0.4799999893,0.400000006
2019,180323,A,1,6,5,0.0833333358,0.5,0.4166666567
2019,180324,E,0,22,6,0.0,0.7857142687,0.2142857164
2019,180325,H,0,9,5,0.0,0.6428571343,0.3571428657
2019,180326,E,2,15,10,0.0740740746,0.555555582,0.3703703582
2019,180332,E,1,19,5,0.0399999991,0.7599999905,0.200000003
2019,180336,E,4,19,7,0.1333333403,0.6333333254,0.2333333343
2019,180340,H,2,39,7,0.0416666679,0.8125,0.1458333284
2019,180342,M,4,18,7,0.137931034,0.6206896304999999,0.2413793057
2019,180343,E,2,33,0,0.0571428575,0.9428571463,0.0
2019,180344,E,0,27,2,0.0,0.9310345054000001,0.068965517
2019,180346,M,5,17,6,0.1785714328,0.6071428657,0.2142857164
2019,180348,H,3,21,26,0.0599999987,0.41999998689999996,0.5199999809
2019,180352,M,7,12,5,0.2916666567,0.5,0.2083333284
2019,180356,E,2,36,7,0.0444444455,0.8000000119,0.1555555612
2019,180360,E,2,30,6,0.052631579299999995,0.7894737124,0.1578947306
2019,180364,M,4,17,8,0.137931034,0.5862069129999999,0.2758620679
2019,180368,E,0,23,6,0.0,0.7931034565,0.20689655839999999
2019,180372,E,2,25,18,0.0444444455,0.555555582,0.400000006
2019,180376,H,8,30,28,0.1212121248,0.4545454681,0.42424243689999996
2019,180379,E,1,24,10,0.028571428700000002,0.6857143044,0.2857142985
2019,180380,E,4,24,6,0.1176470593,0.7058823705,0.1764705926
2019,180388,E,4,27,3,0.1176470593,0.7941176295,0.0882352963
2019,181312,M,2,22,9,0.0606060624,0.6666666864999999,0.2727272809
2019,181316,M,9,16,6,0.290322572,0.5161290169,0.1935483813
2019,181318,T,0,13,3,0.0,0.8125,0.1875
2019,181322,H,13,31,16,0.2166666687,0.5166666508,0.2666666806
2019,181326,E,5,17,2,0.2083333284,0.7083333135,0.0833333358
2019,181332,E,1,14,6,0.0476190485,0.6666666864999999,0.2857142985
2019,181336,E,6,12,7,0.23999999460000002,0.4799999893,0.2800000012
2019,181342,E,0,19,12,0.0,0.6129032373,0.38709676270000004
2019,181344,E,2,20,8,0.06666667009999999,0.6666666864999999,0.2666666806
2019,182000,,0,0,1,0.0,0.0,1.0
2019,182304,A,0,4,8,0.0,0.3333333433,0.6666666864999999
2019,182316,H,3,30,13,0.0652173907,0.6521739364,0.2826086879
2019,182321,M,12,17,9,0.3157894611,0.4473684132,0.23684211079999998
2019,182322,E,4,20,5,0.137931034,0.6896551847,0.1724137962
2019,182324,E,1,17,6,0.0416666679,0.7083333135,0.25
2019,182328,E,5,21,5,0.1612903178,0.6774193645000001,0.1612903178
2019,182700,H,2,8,0,0.200000003,0.8000000119,0.0
2019,190304,I,1,10,3,0.0714285746,0.7142857313,0.2142857164
2019,190308,I,0,13,13,0.0,0.5,0.5
2019,190310,H,0,6,2,0.0,0.75,0.25
2019,190312,M,8,32,3,0.1860465109,0.7441860437000001,0.06976744530000001
2019,190316,H,3,23,2,0.1071428582,0.821428597,0.0714285746
2019,190328,M,5,21,1,0.1851851791,0.7777777909999999,0.0370370373
2019,190332,I,2,15,0,0.1176470593,0.8823529481999999,0.0
2019,190336,H,2,41,12,0.0363636352,0.7454545498,0.2181818187
2019,190339,M,2,32,8,0.0476190485,0.7619047761,0.190476194
2019,190340,I,1,17,7,0.0399999991,0.6800000072,0.2800000012
2019,190341,E,2,31,7,0.050000000700000005,0.7749999762,0.174999997
2019,190342,H,1,59,22,0.0121951215,0.7195122242,0.2682926953
2019,190346,E,7,34,10,0.13725490869999998,0.6666666864999999,0.19607843460000002
2019,190348,E,6,25,6,0.1621621549,0.6756756902,0.1621621549
2019,190350,E,3,32,18,0.0566037744,0.6037735939,0.33962264659999997
2019,190352,I,4,17,8,0.137931034,0.5862069129999999,0.2758620679
2019,190370,E,1,35,13,0.0204081628,0.7142857313,0.26530611519999997
