year,agency_code,career_only,career_college_college_unc,college_college_unc_only,college_only,global_language
2019,580368,0.0,22.0,59.0,10.0,1.0
2019,58B000,1.0,8.0,26.0,3.0,
2019,590328,,,,,5.0
2019,590330,0.0,71.0,111.0,83.0,
2019,600302,24.0,88.0,381.0,57.0,2.0
2019,600312,24.0,68.0,187.0,79.0,1.0
2019,600334,0.0,6.0,60.0,5.0,6.0
2019,600341,0.0,4.0,1.0,14.0,
2019,600361,37.0,64.0,60.0,49.0,1.0
2019,600364,2.0,1.0,2.0,3.0,
2019,600377,1.0,48.0,75.0,59.0,3.0
2019,600386,10.0,12.0,1.0,0.0,2.0
2019,600397,3.0,8.0,28.0,35.0,
2019,600404,0.0,0.0,5.0,0.0,11.0
2019,600405,0.0,8.0,24.0,43.0,
2019,600415,27.0,42.0,22.0,45.0,
2019,600426,4.0,69.0,65.0,118.0,2.0
2019,600443,0.0,5.0,79.0,0.0,5.0
2019,600445,3.0,84.0,90.0,99.0,3.0
2019,600457,14.0,15.0,26.0,25.0,
2019,600466,6.0,30.0,335.0,95.0,9.0
2019,600480,12.0,16.0,81.0,48.0,3.0
2019,600482,1.0,6.0,29.0,23.0,
2019,600490,27.0,98.0,70.0,63.0,
2019,600496,23.0,145.0,28.0,2.0,44.0
2019,600498,2.0,0.0,3.0,1.0,
2019,600499,2.0,0.0,8.0,8.0,1.0
2019,600508,11.0,53.0,191.0,34.0,4.0
2019,600535,10.0,36.0,193.0,65.0,1.0
2019,600567,0.0,40.0,5.0,0.0,3.0
2019,600576,4.0,7.0,32.0,18.0,
2019,600579,8.0,14.0,25.0,28.0,2.0
2019,600592,15.0,15.0,23.0,36.0,1.0
2019,600594,0.0,0.0,1.0,1.0,1.0
2019,60D000,0.0,0.0,165.0,0.0,48.0
2019,60G000,0.0,0.0,49.0,4.0,6.0
2019,60I000,0.0,0.0,11.0,1.0,45.0
2019,60S000,0.0,1.0,15.0,0.0,4.0
2019,60V000,0.0,0.0,11.0,0.0,
2019,610332,0.0,1.0,10.0,0.0,
2019,610334,2.0,56.0,9.0,3.0,10.0
2019,620316,0.0,40.0,82.0,8.0,
2019,620340,0.0,31.0,30.0,5.0,10.0
2019,630330,0.0,0.0,1.0,1.0,
2019,630332,2.0,35.0,41.0,14.0,1.0
2019,630336,5.0,74.0,246.0,26.0,12.0
2019,630360,1.0,89.0,142.0,21.0,8.0
2019,640346,6.0,40.0,80.0,11.0,2.0
2019,640347,0.0,0.0,5.0,0.0,
2019,640350,2.0,47.0,85.0,8.0,6.0
2019,640361,0.0,41.0,86.0,13.0,31.0
2019,640364,2.0,47.0,100.0,30.0,
2019,64A000,0.0,0.0,37.0,0.0,
2019,650326,2.0,60.0,244.0,24.0,32.0
