agency_code,pct_rating_P1_Accomplished,pct_rating_P1_Developing,pct_rating_P1_Distinguished,pct_rating_P1_NotDemostrated,pct_rating_P1_Proficient,pct_rating_P2_Accomplished,pct_rating_P2_Developing,pct_rating_P2_Distinguished,pct_rating_P2_NotDemostrated,pct_rating_P2_Proficient,pct_rating_P3_Accomplished,pct_rating_P3_Developing,pct_rating_P3_Distinguished,pct_rating_P3_NotDemostrated,pct_rating_P3_Proficient,pct_rating_P4_Accomplished,pct_rating_P4_Developing,pct_rating_P4_Distinguished,pct_rating_P4_NotDemostrated,pct_rating_P4_Proficient,pct_rating_P5_Accomplished,pct_rating_P5_Developing,pct_rating_P5_Distinguished,pct_rating_P5_NotDemostrated,pct_rating_P5_Proficient,pct_rating_P6_Accomplished,pct_rating_P6_Developing,pct_rating_P6_Distinguished,pct_rating_P6_NotDemostrated,pct_rating_P6_Proficient,pct_rating_P7_Accomplished,pct_rating_P7_Developing,pct_rating_P7_Distinguished,pct_rating_P7_NotDemostrated,pct_rating_P7_Proficient,pct_rating_PS_DoesNotMeetExpectedGrowth,pct_rating_PS_ExceedsExpectedGrowth,pct_rating_PS_MeetsExpectedGrowth,pct_rating_T1_Accomplished,pct_rating_T1_Developing,pct_rating_T1_Distinguished,pct_rating_T1_NotDemostrated,pct_rating_T1_Proficient,pct_rating_T2_Accomplished,pct_rating_T2_Developing,pct_rating_T2_Distinguished,pct_rating_T2_NotDemostrated,pct_rating_T2_Proficient,pct_rating_T3_Accomplished,pct_rating_T3_Developing,pct_rating_T3_Distinguished,pct_rating_T3_NotDemostrated,pct_rating_T3_Proficient,pct_rating_T4_Accomplished,pct_rating_T4_Developing,pct_rating_T4_Distinguished,pct_rating_T4_NotDemostrated,pct_rating_T4_Proficient,pct_rating_T5_Accomplished,pct_rating_T5_Developing,pct_rating_T5_Distinguished,pct_rating_T5_NotDemostrated,pct_rating_T5_Proficient,pct_rating_TS_DoesNotMeetExpectedGrowth,pct_rating_TS_ExceedsExpectedGrowth,pct_rating_TS_MeetsExpectedGrowth
06A000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,,0.5,,,0.5,,,,0.5,0.667,,,,0.333,1.0,,,,,,,
06B000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,,0.333,,,1.0,,,,,1.0,,,,,0.667,,0.333,,,1.0,,,,,,,1.0
070302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5579999999999999,,0.07,,0.3720000000000001,0.5,,0.1,,0.4,0.4,,,,0.6,0.721,,0.047,,0.233,0.2,,0.1,,0.7,0.071,0.393,0.536
070308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514,,,,0.486,0.429,,,,0.5710000000000001,0.14300000000000002,,,,0.857,0.429,0.029,,,0.5429999999999999,0.14300000000000002,,,,0.857,0.14800000000000002,0.222,0.63
070310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,0.2,,0.4,1.0,,,,,1.0,,,,,0.2,,0.2,,0.6,0.5,,,,0.5,0.667,,0.333
070311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,0.875,0.125
070325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,0.125,,0.125,0.727,,,,0.273,0.636,0.091,,,0.273,0.792,,0.083,,0.125,0.727,,,,0.273,0.389,0.222,0.389
070326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.639,,0.056,,0.306,0.563,,,,0.438,0.25,,,,0.75,0.5,,0.028,,0.472,0.188,,0.063,,0.75,,0.56,0.44
070327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8420000000000001,,,,0.158,0.583,,,,0.417,0.583,,,,0.417,0.8420000000000001,,,,0.158,0.5,,,,0.5,0.231,0.077,0.6920000000000001
070328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7190000000000001,,,,0.281,0.9,,,,0.1,0.8,,,,0.2,0.75,,,,0.25,1.0,,,,,0.12,0.08,0.8
070329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892,,,,0.108,1.0,,,,,0.875,,,,0.125,0.8109999999999999,,,,0.189,1.0,,,,,0.08,0.2,0.72
070330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545,,0.212,,0.242,0.625,,0.063,,0.313,0.813,,,,0.188,0.848,,,,0.152,0.438,,0.188,,0.375,0.381,0.095,0.524
070338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,0.02,0.04,,0.4,0.45,0.05,,,0.5,0.2,,,,0.8,0.56,0.04,0.02,,0.38,0.25,0.05,,,0.7,0.378,0.108,0.514
070339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.667,0.037000000000000005,,,0.29600000000000004,0.455,,,,0.545,0.455,0.091,,,0.455,0.481,0.037000000000000005,,,0.481,0.273,0.091,,,0.636,0.053,0.316,0.632
070340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17600000000000002,0.17600000000000002,0.059,,0.588,,0.222,,,0.778,,0.222,,,0.778,0.235,0.17600000000000002,,,0.588,,0.222,,,0.778,,0.2,0.8
070342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.526,,0.105,,0.368,0.429,,0.048,,0.524,0.28600000000000003,,0.048,,0.667,0.386,,0.08800000000000001,,0.526,0.19,,0.048,,0.762,0.231,0.333,0.436
070LEA,0.36,0.04,0.08,,0.52,0.4,,0.32,,0.28,0.44,,0.12,,0.44,0.4,,0.04,,0.56,0.48,,0.12,,0.4,0.24,,0.2,,0.56,0.52,,0.04,,0.44,0.32,0.36,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07A000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0
