agency_code,count_ALL_PK_ENROLL,count_AM7_PK_ENROLL,count_AS7_PK_ENROLL,count_BL7_PK_ENROLL,count_ELS_PK_ENROLL,count_FEM_PK_ENROLL,count_HI7_PK_ENROLL,count_MALE_PK_ENROLL,count_MU7_PK_ENROLL,count_PI7_PK_ENROLL,count_SWD_PK_ENROLL,count_WH7_PK_ENROLL
030316,12.0,,,,0.0,7.0,1.0,5.0,,,0.0,11.0
030320,43.0,,,,0.0,20.0,16.0,23.0,2.0,,0.0,25.0
030LEA,73.0,,,,0.0,35.0,24.0,38.0,2.0,,0.0,47.0
050330,65.0,1.0,,,4.0,34.0,8.0,31.0,1.0,,0.0,55.0
050LEA,65.0,1.0,,,4.0,34.0,8.0,31.0,1.0,,0.0,55.0
060304,15.0,,,,3.0,5.0,4.0,10.0,,,0.0,11.0
060316,17.0,,,,1.0,16.0,1.0,1.0,,,0.0,16.0
060322,15.0,,,,1.0,7.0,,8.0,,,0.0,15.0
060328,31.0,,,,8.0,16.0,8.0,15.0,,,2.0,23.0
060332,15.0,,,,0.0,9.0,,6.0,,,0.0,15.0
060LEA,93.0,,,,13.0,53.0,13.0,40.0,,,2.0,80.0
070302,88.0,,1.0,39.0,0.0,41.0,20.0,47.0,5.0,,0.0,23.0
070326,33.0,,,7.0,0.0,19.0,6.0,14.0,4.0,,0.0,16.0
070329,29.0,,,5.0,0.0,13.0,6.0,16.0,1.0,1.0,0.0,16.0
070340,18.0,,,10.0,0.0,10.0,,8.0,5.0,,0.0,3.0
070LEA,168.0,,1.0,61.0,0.0,83.0,32.0,85.0,15.0,1.0,0.0,58.0
080348,15.0,,,11.0,0.0,9.0,,6.0,,,0.0,4.0
080356,18.0,,,15.0,0.0,7.0,2.0,11.0,,,0.0,1.0
080360,18.0,,,14.0,0.0,7.0,1.0,11.0,,,0.0,3.0
080362,40.0,,1.0,27.0,0.0,22.0,,18.0,2.0,,0.0,10.0
080LEA,91.0,,1.0,67.0,0.0,45.0,3.0,46.0,2.0,,0.0,18.0
090304,18.0,2.0,,11.0,0.0,10.0,2.0,8.0,,,0.0,3.0
