agency_code,pct_enrolled_AM7_CHARTER,pct_enrolled_AS7_CHARTER,pct_enrolled_BL7_CHARTER,pct_enrolled_EDS_CHARTER,pct_enrolled_ELS_CHARTER,pct_enrolled_HI7_CHARTER,pct_enrolled_MU7_CHARTER,pct_enrolled_PI7_CHARTER,pct_enrolled_SWD_CHARTER,pct_enrolled_WH7_CHARTER
41C000,5.0,5.0,88.8,49.6,5.0,5.8,5.0,5.0,10.8,5.0
41D000,5.0,8.7,26.0,5.0,5.0,8.6,8.3,5.0,10.0,47.8
41F000,5.0,5.0,58.8,58.8,8.1,16.0,5.4,5.0,9.5,14.4
41G000,5.0,5.0,10.5,5.0,5.0,5.0,6.1,5.0,8.8,75.4
41H000,5.0,5.0,87.3,53.0,5.0,6.6,5.0,5.0,8.9,5.0
41J000,5.0,12.9,10.7,14.1,5.0,7.4,5.0,5.0,7.3,67.2
41K000,5.0,5.0,37.3,5.0,5.0,5.6,9.5,5.0,13.0,46.6
41L000,5.0,5.0,73.1,70.1,9.4,12.6,5.0,5.0,5.0,6.8
420000,6.5,5.0,83.0,67.6,5.0,5.0,5.0,5.0,14.5,5.0
42A000,5.0,5.0,86.7,59.5,5.0,5.0,5.0,5.0,10.2,5.0
430000,5.0,5.0,24.4,52.3,6.6,21.1,6.3,5.0,10.7,46.4
43C000,5.0,5.0,11.8,5.0,5.0,13.2,8.5,5.0,7.1,64.2
440000,5.0,5.0,5.0,49.3,5.0,8.4,5.0,5.0,16.9,86.2
44A000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,12.9,90.6
450000,5.0,5.0,5.0,50.0,9.2,24.3,5.0,5.0,13.5,65.3
45A000,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,20.6,86.4
45B000,5.0,5.0,5.0,5.0,5.0,5.0,7.2,5.0,5.0,86.1
490000,5.0,5.0,14.4,40.5,5.2,13.5,5.0,5.0,10.3,65.3
49B000,5.0,5.0,8.6,5.0,5.0,8.2,6.5,5.0,12.5,75.7
49D000,5.0,5.0,88.5,58.3,5.0,5.0,5.2,5.0,26.0,5.0
49E000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.2,86.8
49F000,5.0,7.0,5.0,8.3,5.0,8.8,8.2,5.0,11.0,70.3
49G000,5.0,5.0,8.7,37.0,5.0,9.7,7.3,5.0,6.7,73.7
500000,7.4,5.0,5.0,47.9,5.0,14.5,5.0,5.0,13.4,71.9
50A000,5.0,5.0,5.0,5.0,10.5,16.8,5.0,5.0,9.7,80.7
50Z000,5.0,5.0,5.0,37.3,5.0,5.0,11.8,5.0,19.6,82.4
510000,5.0,5.0,16.2,42.9,8.1,24.0,5.0,5.0,12.0,54.9
51A000,5.0,5.0,13.3,5.0,5.0,10.2,7.0,5.0,11.2,68.3
540000,5.0,5.0,47.2,49.9,5.0,14.3,5.0,5.0,15.4,34.2
54A000,5.0,5.0,94.9,76.3,5.0,5.0,5.0,5.0,15.2,5.0
550000,5.0,5.0,6.2,44.1,5.0,11.4,5.0,5.0,13.3,77.1
55A000,5.0,5.0,5.0,5.0,5.0,8.9,5.0,5.0,7.5,82.5
580000,5.0,5.0,50.2,49.0,5.0,8.7,5.0,5.0,16.7,37.1
58B000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.4,94.9
600000,5.0,7.1,37.7,35.6,11.2,24.5,5.0,5.0,8.7,27.7
60B000,5.0,5.0,90.2,90.6,5.0,8.8,5.0,5.0,5.0,5.0
60D000,5.0,6.7,13.0,5.0,5.0,5.0,5.1,5.0,5.6,70.0
60F000,5.0,58.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,33.7
60G000,5.0,5.0,22.8,15.4,5.0,10.0,5.0,5.0,8.3,62.3
60I000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13.0,85.1
60J000,5.0,10.6,6.0,5.0,5.0,9.2,5.0,5.0,8.5,69.3
60K000,5.0,5.0,44.3,5.0,5.1,21.0,10.2,5.0,22.8,23.7
60L000,5.0,5.0,88.5,58.9,5.0,8.2,5.0,5.0,8.5,5.0
60M000,5.0,5.5,10.7,5.0,5.0,5.9,5.0,5.0,12.6,73.5
60N000,5.0,5.0,85.1,71.3,5.0,5.3,7.4,5.0,9.6,5.0
60P000,5.0,5.0,75.7,16.0,5.0,19.5,5.0,5.0,11.8,5.0
60Q000,5.0,5.0,87.3,5.0,5.0,5.0,5.4,5.0,9.4,5.0
60S000,5.0,5.0,22.5,5.0,5.0,6.7,7.9,5.0,8.8,58.7
60U000,5.0,5.0,54.5,13.6,8.2,20.9,6.4,5.0,9.1,16.4
60V000,5.0,5.0,86.4,49.8,5.0,7.0,5.0,5.0,14.8,5.0
60Y000,5.0,5.0,5.0,5.0,5.0,9.2,6.6,5.0,6.3,78.7
61J000,5.0,5.0,27.5,5.0,5.0,16.5,5.5,5.0,5.5,45.0
61K000,5.0,5.0,39.3,5.0,5.0,10.9,8.7,5.0,12.6,39.3
61L000,5.0,5.0,67.2,14.1,5.0,21.9,7.8,5.0,5.0,5.0
61M000,5.0,5.0,18.6,5.0,5.0,8.9,9.9,5.0,5.0,60.9
61N000,5.0,35.9,41.4,5.0,7.4,9.8,5.0,5.0,5.0,8.6
61P000,5.0,5.0,45.0,5.0,5.0,14.4,11.3,5.0,5.0,28.1
61Q000,5.0,13.4,43.5,28.3,5.7,8.6,9.4,5.0,5.0,24.3
61R000,5.0,5.0,25.4,35.0,10.4,15.0,5.0,5.0,5.0,54.5
61S000,5.0,5.1,32.3,5.0,8.1,19.2,8.1,5.0,5.0,34.3
61T000,5.0,5.0,88.7,74.6,5.0,5.0,5.0,5.0,5.0,5.0
61U000,5.0,5.0,90.7,5.0,5.0,9.3,5.0,5.0,10.1,5.0
630000,5.0,5.0,16.0,41.0,5.0,13.9,5.0,5.0,11.9,63.5
63A000,5.0,5.0,9.5,5.0,5.0,8.9,5.0,5.0,10.4,73.0
63B000,5.0,5.0,9.0,5.0,5.0,8.8,8.2,5.0,11.4,72.4
640000,5.0,5.0,51.9,55.3,5.0,13.5,5.0,5.0,14.1,30.2
64A000,5.0,5.0,76.4,76.1,5.0,5.2,5.0,5.0,9.2,11.9
650000,5.0,5.0,20.0,37.4,5.0,14.1,5.0,5.0,10.6,59.6
65A000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.1,86.9
65B000,5.0,5.0,62.3,5.0,5.0,6.9,6.2,5.0,6.9,24.6
